english	translation	category	sub_category	source
Study	Studieren	actions	item	Fire
Remove	Ablegen	actions	item	Oak lectern
Lay	Legen	actions	item	Bird snare
Activate	Aktivieren	actions	item	Magic box
Crush	Zermahlen	actions	item	Smouldering heart
Eat-from	Essen-aus	actions	item	Smouldering pile of flesh
Bury	Begraben	actions	item	Giant bones
Examine	Untersuchen	actions	item	
Take	Nehmen	actions	item	
Light	Anzünden	actions	item	
(Members)	(Mitglieder)	actions	item	
Walk here	Hierher gehen	actions	manual	
Cancel	Abbrechen	actions	manual	
Accurate	Präzise	actions	menu	combatOptionsTab
Aggressive	Aggressiv	actions	menu	combatOptionsTab
Defensive	Defensiv	actions	menu	combatOptionsTab
Controlled	Kontrolliert	actions	menu	combatOptionsTab
Chop	Hacken	actions	menu	combatOptionsTab
Slash	Schlitzen	actions	menu	combatOptionsTab
Stab	Stechen	actions	menu	combatOptionsTab
Block	Blocken	actions	menu	combatOptionsTab
Pound	Schmettern	actions	menu	combatOptionsTab
Pummel	Prügeln	actions	menu	combatOptionsTab
Spike	Aufspießen	actions	menu	combatOptionsTab
Impale	Durchbohren	actions	menu	combatOptionsTab
Smash	Zerschmettern	actions	menu	combatOptionsTab
Lunge	Vorstoßen	actions	menu	combatOptionsTab
Swipe	Schwingen	actions	menu	combatOptionsTab
Hack	Zerhacken	actions	menu	combatOptionsTab
Reap	Ernten	actions	menu	combatOptionsTab
Rapid	Schnell	actions	menu	combatOptionsTab
Longrange	Weitschuss	actions	menu	combatOptionsTab
Flick	Schnippen	actions	menu	combatOptionsTab
Lash	Peitschen	actions	menu	combatOptionsTab
Deflect	Abwehren	actions	menu	combatOptionsTab
Fend	Abwehren	actions	menu	combatOptionsTab
Bash	Rammen	actions	menu	combatOptionsTab
Blaze	Lodern	actions	menu	combatOptionsTab
Scorch	Versengen	actions	menu	combatOptionsTab
Flare	Auflodern	actions	menu	combatOptionsTab
Punch	Schlagen	actions	menu	combatOptionsTab
Kick	Treten	actions	menu	combatOptionsTab
Hide	Verbergen	actions	menu	prayerTab
Activate	Aktivieren	actions	menu	prayerTab
Unhide	Einblenden	actions	menu	prayerTab
Deactivate	Deaktivieren	actions	menu	prayerTab
Animation	Animation	actions	menu	spellBookTab
Hide	Verbergen	actions	menu	spellBookTab
Cast	Wirken	actions	menu	spellBookTab
Unhide	Einblenden	actions	menu	spellBookTab
View	Anzeigen	actions	menu	spellBookTab
Warnings	Warnungen	actions	menu	spellBookTab
Configure	Konfigurieren	actions	menu	spellBookTab
Grand Exchange	Grand Exchange	actions	menu	spellBookTab
Seers'	Seers'	actions	menu	spellBookTab
Group: Previous	Gruppe: Vorheriges	actions	menu	spellBookTab
Group: Choose	Gruppe: Auswählen	actions	menu	spellBookTab
Outside	Draußen	actions	menu	spellBookTab
Yanille	Yanille	actions	menu	spellBookTab
Enable warning	Warnung aktivieren	actions	menu	spellBookTab
Disable warning	Warnung deaktivieren	actions	menu	spellBookTab
Turael	Turael	actions	menu	spellBookTab
Target	Ziel	actions	menu	spellBookTab
Setup	Einrichten	actions	menu	spellBookTab
Arceuus	Arceuus	actions	menu	spellBookTab
Ancient	Antik	actions	menu	spellBookTab
Standard	Standard	actions	menu	spellBookTab
Reanimate	Wiederbeleben	actions	menu	spellBookTab
Resurrect	Auferwecken	actions	menu	spellBookTab
Adjust Music Volume	Musiklautstärke anpassen	actions	menu	settingsTab
Adjust Area Sound Volume	Umgebungslautstärke anpassen	actions	menu	settingsTab
Adjust Sound Effect Volume	Soundeffektlautstärke anpassen	actions	menu	settingsTab
Toggle unlock message	Freischaltnachricht umschalten	actions	menu	settingsTab
Play	Spielen	actions	menu	
Open Activity Adviser	Aktivitätsberater öffnen	actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)	<colNum0>Chatmodus festlegen:</col> Gruppe (/@g)	actions	menu	
<colNum0>Set chat mode:</col> Guest Clan (/@gc)	<colNum0>Chatmodus festlegen:</col> Gastclan (/@gc)	actions	menu	
<colNum0>Set chat mode:</col> Clan (/@c)	<colNum0>Chatmodus festlegen:</col> Clan (/@c)	actions	menu	
<colNum0>Set chat mode:</col> Channel (/@f)	<colNum0>Chatmodus festlegen:</col> Kanal (/@f)	actions	menu	
<colNum0>Set chat mode:</col> Public (/@p)	<colNum0>Chatmodus festlegen:</col> Öffentlich (/@p)	actions	menu	
Clear history	Verlauf löschen	actions	menu	
Switch tab	Tab wechseln	actions	menu	
Configure filter	Filter konfigurieren	actions	menu	
<colNum0>Game:</col> Clear history	<colNum0>Spiel:</col> Verlauf löschen	actions	menu	
<colNum0>Game:</col> Filter	<colNum0>Spiel:</col> Filter	actions	menu	
Setup your autochat	Autochat einrichten	actions	menu	
Filter public chat	Öffentlichen Chat filtern	actions	menu	
<colNum0>Public:</col> Clear history	<colNum0>Öffentlich:</col> Verlauf löschen	actions	menu	
<colNum0>Public:</col> Hide	<colNum0>Öffentlich:</col> Verbergen	actions	menu	
<colNum0>Public:</col> Show none	<colNum0>Öffentlich:</col> Keine anzeigen	actions	menu	
<colNum0>Public:</col> Show friends	<colNum0>Öffentlich:</col> Freunde anzeigen	actions	menu	
<colNum0>Public:</col> Show standard	<colNum0>Öffentlich:</col> Standard anzeigen	actions	menu	
<colNum0>Public:</col> Show autochat	<colNum0>Öffentlich:</col> Autochat anzeigen	actions	menu	
<colNum0>Private:</col> Clear history	<colNum0>Privat:</col> Verlauf löschen	actions	menu	
<colNum0>Private:</col> Show none	<colNum0>Privat:</col> Keine anzeigen	actions	menu	
<colNum0>Private:</col> Show friends	<colNum0>Privat:</col> Freunde anzeigen	actions	menu	
<colNum0>Private:</col> Show all	<colNum0>Privat:</col> Alle anzeigen	actions	menu	
<colNum0>Channel:</col> Clear history	<colNum0>Kanal:</col> Verlauf löschen	actions	menu	
<colNum0>Channel:</col> Show none	<colNum0>Kanal:</col> Keine anzeigen	actions	menu	
<colNum0>Channel:</col> Show friends	<colNum0>Kanal:</col> Freunde anzeigen	actions	menu	
<colNum0>Channel:</col> Show all	<colNum0>Kanal:</col> Alle anzeigen	actions	menu	
<colNum0>Clan:</col> Clear history	<colNum0>Clan:</col> Verlauf löschen	actions	menu	
<colNum0>Clan:</col> Show none	<colNum0>Clan:</col> Keine anzeigen	actions	menu	
