english	translation	category	sub_category	source
Welcome to Old School RuneScape.	Willkommen bei Old School RuneScape.	gameText		
Did you know? You can change any aspect of your appearance at any makeover provider by using the button in the top left corner of any makeover interface.</col>	Wusstest du schon? Du kannst jeden Aspekt deines Aussehens bei jedem Stylisten ändern, indem du die Schaltfläche in der oberen linken Ecke jeder Umstyling-Oberfläche verwendest.</col>	gameText		
There are a lot of people on this world. You might want to switch to a quieter one. You can do so by using the world switcher in the logout menu.	Auf dieser Welt sind viele Spieler. Vielleicht möchtest du zu einer ruhigeren wechseln. Das kannst du mit dem Weltwechsler im Abmeldemenü tun.	gameText		
<colNum0>You have battlestaves waiting to be collected from Zaff.	<colNum0>Bei Zaff warten Kampfstäbe darauf, von dir abgeholt zu werden.	gameText		
<colNum0>Your Kingdom of Miscellania approval is <Num0>%, and your coffer has <Num1>M coins.	<colNum0>Deine Zustimmung im Königreich Miscellania beträgt <Num0>%, und deine Schatztruhe enthält <Num1>M Münzen.	gameText		
To talk in your Ironman Group's channel, start each line of chat with //// or /g.	Um im Kanal deiner Ironman-Gruppe zu sprechen, beginne jede Chatzeile mit //// oder /g.	gameText		
Did you know? There is a setting in the Bank settings and on the Bank Deposit interface that lets you lock slots in your inventory so their content doesn't get deposited.</col>	Wusstest du schon? In den Bankeinstellungen und auf der Einzahlungsoberfläche der Bank gibt es eine Einstellung, mit der du Plätze in deinem Inventar sperren kannst, sodass ihr Inhalt nicht eingezahlt wird.</col>	gameText		
Did you know? By default, the smallest max hitsplat shown is <Num0>, but there is a setting to change that in the Settings menu.</col>	Wusstest du schon? Standardmäßig ist der kleinste angezeigte maximale Trefferwert <Num0>, aber es gibt im Einstellungsmenü eine Einstellung, um das zu ändern.</col>	gameText		
Did you know? There is a setting in the Settings menu to automatically re-enable running once you have regained enough energy. This will however interrupt any action in progress.</col>	Wusstest du schon? Im Einstellungsmenü gibt es eine Einstellung, um das Laufen automatisch wieder zu aktivieren, sobald du genug Energie zurückgewonnen hast. Dies unterbricht jedoch jede laufende Aktion.</col>	gameText		
Did you know? You can put two halves of a pizza together to make a whole pizza!</col>	Wusstest du schon? Du kannst zwei Pizzahälften zusammensetzen, um eine ganze Pizza zu machen!</col>	gameText		
Did you know? If you find entering buildings tricky because the roof is in the way, you can hide roofs at all time by toggling the Hide roofs setting in the Settings menu.</col>	Wusstest du schon? Wenn dir das Betreten von Gebäuden schwerfällt, weil das Dach im Weg ist, kannst du Dächer jederzeit ausblenden, indem du die Einstellung 'Dächer ausblenden' im Einstellungsmenü aktivierst.</col>	gameText		
Did you know? You can hide the Help button in the Bank interface via the Bank settings.</col>	Wusstest du schon? Du kannst die Hilfe-Schaltfläche in der Bankoberfläche über die Bankeinstellungen ausblenden.</col>	gameText		
Did you know? There's a man called Phials in Rimmington that will unnote items for a small fee. Perfect for Ultimate Ironmen.</col>	Wusstest du schon? In Rimmington gibt es einen Mann namens Phials, der gegen eine kleine Gebühr Gegenstände entzettelt. Perfekt für Ultimate Ironmen.</col>	gameText		
Nothing interesting happens.	Nichts Interessantes geschieht.	gameText		
You swing your axe at the tree.	Du schwingst deine Axt gegen den Baum.	gameText		
You get some logs.	Du erhältst etwas Holz.	gameText		
You do not have an axe which you have the woodcutting level to use.	Du hast keine Axt, für deren Verwendung du die nötige Holzfäll-Stufe besitzt.	gameText		
You need to be on a members' world to do that.	Du musst auf einer Mitgliederwelt sein, um das zu tun.	gameText		
The door won't open - you need at least <Num0> Quest Points.	Die Tür lässt sich nicht öffnen - du brauchst mindestens <Num0> Questpunkte.	gameText		
There is currently no ore available in this rock.	In diesem Felsen ist derzeit kein Erz verfügbar.	gameText		
You can't unlock the pillory, you'll let all the criminals out!	Du kannst den Pranger nicht entriegeln, sonst lässt du alle Verbrecher frei!	gameText		
You search the crates but find nothing of value.	Du durchsuchst die Kisten, findest aber nichts von Wert.	gameText		
You search the crate, but find nothing of note.	Du durchsuchst die Kiste, findest aber nichts Nennenswertes.	gameText		
You don't have enough coins.	Du hast nicht genug Münzen.	gameText		
I can't reach that!	Ich komme da nicht ran!	gameText		
The drawers are empty.	Die Schubladen sind leer.	gameText		
You search the books...	Du durchsuchst die Bücher...	gameText		
You find nothing to interest you.	Du findest nichts, was dich interessiert.	gameText		
You don't find anything that you'd ever want to read.	Du findest nichts, was du jemals lesen wollen würdest.	gameText		
You pull back the cover from over the manhole.	Du ziehst die Abdeckung vom Schachtdeckel weg.	gameText		
You climb down through the manhole.	Du kletterst durch den Schacht hinab.	gameText		
You place the cover back over the manhole.	Du legst die Abdeckung wieder über den Schacht.	gameText		
You already have full Prayer points.	Du hast bereits volle Gebetspunkte.	gameText		
You search the chest but find nothing.	Du durchsuchst die Truhe, findest aber nichts.	gameText		
You take the coffin from the grave.	Du nimmst den Sarg aus dem Grab.	gameText		
You ecxamine the gravestone. It shows...	Du untersuchst den Grabstein. Er zeigt...	gameText		
You put the coffin into the grave.	Du legst den Sarg in das Grab.	gameText		
You get some oak logs.	Du erhältst etwas Eichenholz.	gameText		
You get some magic logs.	Du erhältst etwas Magieholz.	gameText		
You get some yew logs.	Du erhältst etwas Eibenholz.	gameText		
You get some maple logs.	Du erhältst etwas Ahornholz.	gameText		
You get some willow logs.	Du erhältst etwas Weidenholz.	gameText		
You get some achey tree logs.	Du erhältst etwas Schmerzbaumholz.	gameText		
You get some mathogany logs.	Du erhältst etwas Mahagoniholz.	gameText		
You get some teak logs.	Du erhältst etwas Teakholz.	gameText		
You get some red logs.	Du erhältst etwas rotes Holz.	gameText		
You get some green logs.	Du erhältst etwas grünes Holz.	gameText		
You get some blue logs.	Du erhältst etwas blaues Holz.	gameText		
You get some white logs.	Du erhältst etwas weißes Holz.	gameText		
You get some scrapey tree logs.	Du erhältst etwas Kratzbaumholz.	gameText		
You get some purple logs.	Du erhältst etwas violettes Holz.	gameText		
You get some arctic pine logs.	Du erhältst etwas Polarkiefernholz.	gameText		
You get some windswept logs.	Du erhältst etwas windgepeitschtes Holz.	gameText		
You get some juniper logs.	Du erhältst etwas Wacholderholz.	gameText		
You get some redwood logs.	Du erhältst etwas Rotholz.	gameText		
You get some blisterwood logs.	Du erhältst etwas Blasenbaumholz.	gameText		
You get some jatoba logs.	Du erhältst etwas Jatobaholz.	gameText		
You get some camphor logs.	Du erhältst etwas Kampferholz.	gameText		
You get some ironwood logs.	Du erhältst etwas Eisenholz.	gameText		
You get some rosewood logs.	Du erhältst etwas Rosenholz.	gameText		
A magical force prevents you from banking this item!	Eine magische Kraft hindert dich daran, diesen Gegenstand einzulagern!	gameText		
You need to be on a members' world to gain experience in Sailing.	Du musst auf einer Mitgliederwelt sein, um Erfahrung im Segeln zu sammeln.	gameText		
You need to be on a members' world to gain experience in Agility.	Du musst auf einer Mitgliederwelt sein, um Erfahrung in Beweglichkeit zu sammeln.	gameText		
You need to be on a members' world to gain experience in Herblore.	Du musst auf einer Mitgliederwelt sein, um Erfahrung in Kräuterkunde zu sammeln.	gameText		
You need to be on a members' world to gain experience in Thieving.	Du musst auf einer Mitgliederwelt sein, um Erfahrung in Diebstahl zu sammeln.	gameText		
You need to be on a members' world to gain experience in Slayer.	Du musst auf einer Mitgliederwelt sein, um Erfahrung in Schlächter zu sammeln.	gameText		
You need to be on a members' world to gain experience in Farming.	Du musst auf einer Mitgliederwelt sein, um Erfahrung in Landwirtschaft zu sammeln.	gameText		
