english	translation	category	sub_category	source
All	Alle	interface	chatButtons	
Game 	Spiel 	interface	chatButtons	
Public 	Öffentlich 	interface	chatButtons	
Private 	Privat 	interface	chatButtons	
 On	 An	interface	chatButtons	
Channel 	Kanal 	interface	chatButtons	
Clan 	Clan 	interface	chatButtons	
Trade 	Handel 	interface	chatButtons	
Group 	Gruppe 	interface	chatButtons	
 <colNum0>Autochat</col>	 <colNum0>Autochat</col>	interface	chatButtons	
 <colNum0>Friends</col>	 <colNum0>Freunde</col>	interface	chatButtons	
 <colNum0>Filtered</col>	 <colNum0>Gefiltert</col>	interface	chatButtons	
 <colNum0>Hide</col>	 <colNum0>Verbergen</col>	interface	chatButtons	
 <colNum0>Off</col>	 <colNum0>Aus</col>	interface	chatButtons	
Combat Achievements - Overview	Kampferfolge - Übersicht	interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points	Gesamtpunkte: <Num0> - Nächste Freischaltung in <Num1> Punkten	interface	combAchvmt	
Difficulty Tiers	Schwierigkeitsstufen	interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>	Kampfprofil - <!PLAYER_NAME0>	interface	combAchvmt	
Easy	Einfach	interface	combAchvmt	
Medium	Mittel	interface	combAchvmt	
Hard	Schwer	interface	combAchvmt	
Elite	Elite	interface	combAchvmt	
Master	Meister	interface	combAchvmt	
Grandmaster	Großmeister	interface	combAchvmt	
Tasks Completed:	Abgeschlossene Aufgaben:	interface	combAchvmt	
Boss Kill Count:	Boss-Tötungszahl:	interface	combAchvmt	
Skilling Boss Kill Count:	Skilling-Boss-Tötungszahl:	interface	combAchvmt	
Raid Completions:	Raid-Abschlüsse:	interface	combAchvmt	
Top Boss:	Top-Boss:	interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)	<!ANY_TRANSLATED0> (<Num0>)	interface	combAchvmt	
Top Skilling Boss:	Top-Skilling-Boss:	interface	combAchvmt	
Top Raid:	Top-Raid:	interface	combAchvmt	
Nothing!	Nichts!	interface	combAchvmt	
Overview	Übersicht	interface	combAchvmt	
Tasks	Aufgaben	interface	combAchvmt	
Bosses	Bosse	interface	combAchvmt	
Rewards	Belohnungen	interface	combAchvmt	
Combat Achievements - Tasks	Kampferfolge - Aufgaben	interface	combAchvmt	
There are no tasks available to you that match your filters.	Es sind keine Aufgaben verfügbar, die deinen Filtern entsprechen.	interface	combAchvmt	
Filters	Filter	interface	combAchvmt	
Tier:	Stufe:	interface	combAchvmt	
All	Alle	interface	combAchvmt	
Type:	Typ:	interface	combAchvmt	
Monster:	Monster:	interface	combAchvmt	
Completed:	Abgeschlossen:	interface	combAchvmt	
Noxious Foe	Schädlicher Feind	interface	combAchvmt	
Barrows Novice	Barrows-Neuling	interface	combAchvmt	
Defence? What Defence?	Verteidigung? Welche Verteidigung?	interface	combAchvmt	
Big, Black and Fiery	Groß, schwarz und feurig	interface	combAchvmt	
The Demonic Punching Bag	Der dämonische Sandsack	interface	combAchvmt	
Bryophyta Novice	Bryophyta-Neuling	interface	combAchvmt	
Protection from Moss	Schutz vor Moos	interface	combAchvmt	
Preparation Is Key	Vorbereitung ist alles	interface	combAchvmt	
A Slow Death	Ein langsamer Tod	interface	combAchvmt	
Fighting as Intended II	Kampf wie vorgesehen II	interface	combAchvmt	
Deranged Archaeologist Novice	Wahnsinniger-Archäologe-Neuling	interface	combAchvmt	
The Walking Volcano	Der wandelnde Vulkan	interface	combAchvmt	
Into the Den of Giants	In die Höhle der Riesen	interface	combAchvmt	
A Greater Foe	Ein stärkerer Feind	interface	combAchvmt	
Not So Great After All	Doch nicht so großartig	interface	combAchvmt	
A Demon's Best Friend	Der beste Freund eines Dämons	interface	combAchvmt	
Obor Novice	Obor-Neuling	interface	combAchvmt	
Sleeping Giant	Schlafender Riese	interface	combAchvmt	
Fighting as Intended	Kampf wie vorgesehen	interface	combAchvmt	
King Black Dragon Novice	King-Black-Dragon-Neuling	interface	combAchvmt	
A Scaley Encounter	Eine schuppige Begegnung	interface	combAchvmt	
Shayzien Protector	Shayzien-Beschützer	interface	combAchvmt	
Giant Mole Novice	Giant-Mole-Neuling	interface	combAchvmt	
Sarachnis Novice	Sarachnis-Neuling	interface	combAchvmt	
Wintertodt Novice	Wintertodt-Neuling	interface	combAchvmt	
Mummy!	Mami!	interface	combAchvmt	
Handyman	Handwerker	interface	combAchvmt	
Cosy	Mollig warm	interface	combAchvmt	
A Slithery Encounter	Eine schlängelnde Begegnung	interface	combAchvmt	
Tempoross Novice	Tempoross-Neuling	interface	combAchvmt	
Master of Buckets	Eimermeister	interface	combAchvmt	
Calm Before the Storm	Ruhe vor dem Sturm	interface	combAchvmt	
Fire in the Hole!	Feuer im Loch!	interface	combAchvmt	
Scurrius Novice	Scurrius-Neuling	interface	combAchvmt	
Sit Rat	Sitz, Rättchen!	interface	combAchvmt	
One by one	Eins nach dem anderen	interface	combAchvmt	
Elemental Company	Elementare Gesellschaft	interface	combAchvmt	
Let them fight	Lass sie kämpfen	interface	combAchvmt	
Sit Back and Relax	Zurücklehnen und entspannen	interface	combAchvmt	
Barrows Champion	Barrows-Champion	interface	combAchvmt	
Can't Touch Me	Can't Touch This!	interface	combAchvmt	
Pray for Success	Bete um Erfolg	interface	combAchvmt	
Brutal, Big, Black and Firey	Brutal, groß, schwarz und feurig	interface	combAchvmt	
Bryophyta Champion	Bryophyta-Champion	interface	combAchvmt	
Quick Cutter	Schneller Schnitter	interface	combAchvmt	
Demonic Weakening	Dämonische Schwächung	interface	combAchvmt	
Demonbane Weaponry	Dämonenbann-Waffen	interface	combAchvmt	
Chaos Fanatic Champion	Chaos-Fanatiker-Champion	interface	combAchvmt	
Sorry, What Was That?	Entschuldigung, was war das?	interface	combAchvmt	
Crazy Archaeologist Champion	Verrückter-Archäologe-Champion	interface	combAchvmt	
Mage of the Ruins	Magier der Ruinen	interface	combAchvmt	
I'd Rather Not Learn	Ich will es lieber nicht lernen	interface	combAchvmt	
Deranged Archaeologist Champion	Wahnsinniger-Archäologe-Champion	interface	combAchvmt	
Mage of the Swamp	Magier des Sumpfes	interface	combAchvmt	
I'd Rather Be Illiterate	Ich wäre lieber Analphabet	interface	combAchvmt	
A Smashing Time	Eine zerschmetternde Zeit	interface	combAchvmt	
Obor Champion	Obor-Champion	interface	combAchvmt	
Back to the Wall	Mit dem Rücken zur Wand	interface	combAchvmt	
Squashing the Giant	Den Riesen zerquetschen	interface	combAchvmt	
King Black Dragon Champion	King-Black-Dragon-Champion	interface	combAchvmt	
