english	translation	category	sub_category	source
Dwarf remains	Zwergenüberreste	name	item	Dwarf remains
Toolkit	Werkzeugkasten	name	item	Toolkit
Steel cannonball	Stahlkanonenkugel	name	item	Steel cannonball
Nulodion's notes	Nulodions Notizen	name	item	Nulodion's notes
Ammo mould	Munitionsform	name	item	Ammo mould
Instruction manual	Bedienungsanleitung	name	item	Instruction manual
Cannon base	Kanonensockel	name	item	Cannon base
Cannon stand	Kanonenständer	name	item	Cannon stand
Cannon barrels	Kanonenläufe	name	item	Cannon barrels
Cannon furnace	Kanonenofen	name	item	Cannon furnace
Railing	Geländer	name	item	Railing
Holy table napkin	Heilige Tischserviette	name	item	Holy table napkin
Magic whistle	Magische Pfeife	name	item	Magic whistle
Grail bell	Gralsglocke	name	item	Grail bell
Magic gold feather	Magische goldene Feder	name	item	Magic gold feather
Holy grail	Heiliger Gral	name	item	Holy grail
White cog	Weißes Zahnrad	name	item	White cog
Black cog	Schwarzes Zahnrad	name	item	Black cog
Blue cog	Blaues Zahnrad	name	item	Blue cog
Red cog	Rotes Zahnrad	name	item	Red cog
Rat poison	Rattengift	name	item	Rat poison
Red vine worm	Roter Rebenwurm	name	item	Red vine worm
Fishing trophy	Angeltrophäe	name	item	Fishing trophy
Fishing pass	Angelschein	name	item	Fishing pass
Insect repellent	Insektenschutzmittel	name	item	Insect repellent
Bucket of wax	Eimer Wachs	name	item	Bucket of wax
Lit black candle	Brennende schwarze Kerze	name	item	Lit black candle
Lit candle	Brennende Kerze	name	item	Lit candle
Excalibur	Excalibur	name	item	Excalibur
Candle	Kerze	name	item	Candle
Black candle	Schwarze Kerze	name	item	Black candle
Bronze arrowtips	Bronzepfeilspitzen	name	item	Bronze arrowtips
Iron arrowtips	Eisenpfeilspitzen	name	item	Iron arrowtips
Steel arrowtips	Stahlpfeilspitzen	name	item	Steel arrowtips
Mithril arrowtips	Mithrilpfeilspitzen	name	item	Mithril arrowtips
Adamant arrowtips	Adamantpfeilspitzen	name	item	Adamant arrowtips
Rune arrowtips	Runenpfeilspitzen	name	item	Rune arrowtips
