english	translation	category	sub_category	source
Destroy	Destruir	inventoryActions	item	Dwarf remains
Drop	Soltar	inventoryActions	item	Cannonball
Read	Leer	inventoryActions	item	Nulodion's notes
Set-up	Configurar	inventoryActions	item	Cannon base
Blow	Soplar	inventoryActions	item	Magic whistle
Ring	Tocar	inventoryActions	item	Grail bell
Blow-on	Soplar sobre	inventoryActions	item	Magic gold feather
Extinguish	Extinguir	inventoryActions	item	Lit black candle
Wield	Empuñar	inventoryActions	item	Excalibur
Wear	Usar	inventoryActions	item	Khazard helmet
Empty	Vaciar	inventoryActions	item	Guam potion (unf)
Drink	Beber	inventoryActions	item	Strength potion(4)
Clean	Limpiar	inventoryActions	item	Grimy guam leaf
Eat	Comer	inventoryActions	item	Jangerberries
Equip	Equipar	inventoryActions	item	Cattleprod
Plant	Plantar	inventoryActions	item	Mithril seeds
Open	Abrir	inventoryActions	item	Casket
Throw	Lanzar	inventoryActions	item	Bird feed
Bury	Enterrar	inventoryActions	item	Bones
Inspect	Inspeccionar	inventoryActions	item	Ghost's skull
Bail-with	Achicar con	inventoryActions	item	Bailing bucket
Activate	Activar	inventoryActions	item	Locating crystal
Search	Buscar	inventoryActions	item	Panning tray
Polish	Pulir	inventoryActions	item	Buttons
Look-at	Mirar	inventoryActions	item	Level 1 certificate
Complete	Completar	inventoryActions	item	Radimus notes
Swing	Balancear	inventoryActions	item	Bullroarer
Look	Ver	inventoryActions	item	Sketch
Enchant-Vials	Encantar frascos	inventoryActions	item	Binding book
Investigate	Investigar	inventoryActions	item	Dark dagger
Cast Spell	Lanzar hechizo	inventoryActions	item	Holy force
Hold	Sostener	inventoryActions	item	Gnomeball
Dig	Cavar	inventoryActions	item	Spade
Blackout	Apagón	inventoryActions	item	Disk of returning
Check	Verificar	inventoryActions	item	Iban's staff
Locate	Localizar	inventoryActions	item	Air talisman
Rub-together	Frotar juntos	inventoryActions	item	Dry sticks
Study	Estudiar	inventoryActions	item	Map part
Rub	Frotar	inventoryActions	item	Amulet of glory
Edgeville	Edgeville	inventoryActions	item	Amulet of glory(1)
Karamja	Karamja	inventoryActions	item	Amulet of glory(1)
Draynor Village	Pueblo Draynor	inventoryActions	item	Amulet of glory(1)
Al Kharid	Al Kharid	inventoryActions	item	Amulet of glory(1)
Tan Leather	Curtir cuero	inventoryActions	item	Leather
Empty Bowl	Vaciar cuenco	inventoryActions	item	Burnt stew
Mix-cocktail	Mezclar cóctel	inventoryActions	item	Cocktail shaker
Remove-legs	Quitar patas	inventoryActions	item	Swamp toad
Prepare	Preparar	inventoryActions	item	Half baked bowl
Empty Tray	Vaciar bandeja	inventoryActions	item	Burnt crunchies
Empty Tin	Vaciar lata	inventoryActions	item	Burnt batta
Empty Dish	Vaciar plato	inventoryActions	item	Burnt pie
Guzzle	Tragar	inventoryActions	item	Rock cake
Play-with	Jugar con	inventoryActions	item	Brown toy horsey
Recharge Dragonstone	Recargar piedra dragón	inventoryActions	item	Dead orb
Break	Romper	inventoryActions	item	Ring of recoil
Emir's Arena	Arena del Emir	inventoryActions	item	Ring of dueling(8)
Castle Wars	Guerras del Castillo	inventoryActions	item	Ring of dueling(8)
Ferox Enclave	Enclave Ferox	inventoryActions	item	Ring of dueling(8)
Fortis Colosseum	Coliseo Fortis	inventoryActions	item	Ring of dueling(8)
Toggle-respawn	Alternar reaparición	inventoryActions	item	Ring of life
Features	Características	inventoryActions	item	Ring of wealth
Look through	Mirar a través	inventoryActions	item	Sextant
Check steps	Verificar pasos	inventoryActions	item	Clue scroll (easy)
Release All	Liberar todo	inventoryActions	item	Bloated toad
Release	Liberar	inventoryActions	item	Bloated toad
