english	translation	category	sub_category	source
Talk-to	に話しかける	actions	npc	Tool Leprechaun
Exchange	と交換	actions	npc	Tool Leprechaun
Attack	を攻撃	actions	npc	Molanisk
Trade	と取引	actions	npc	Hudo
Travel	で移動	actions	npc	Rug Merchant
Pet	をなでる	actions	npc	Dog
Guess-letter	の文字を当てる	actions	npc	Hangman game
Banish	を消す	actions	npc	Hangman game
Reset	リセット	actions	npc	Hangman game
Hit	を当てる	actions	npc	Combat stone
Dismiss	解任する	actions	npc	Dr Jekyll
Rewards	報酬	actions	npc	Emblem Trader
Skull	頭蓋骨	actions	npc	Emblem Trader
Pay	に支払う	actions	npc	Ayesha
Armour	鎧	actions	npc	Ironman tutor
Check-pets	でペットを確認	actions	npc	Leagues Tutor
Collect-items	でアイテムを回収	actions	npc	Leagues Tutor
Claim-trophies	でトロフィーを回収	actions	npc	Leagues Tutor
Pick-up	を拾う	actions	npc	Dark core
Metamorphosis	変身	actions	npc	Dark core
Pick	を拾う	actions	npc	Strange plant
Grab	を捕まえる	actions	npc	Suspect
Pop	を割る	actions	npc	Balloon Animal
Kill	を殺す	actions	npc	Pheasant
Disturb	を邪魔する	actions	npc	Phosani's Nightmare
Gauntlets	から手袋をもらう	actions	npc	Avan
Lure	にルアーを落とす	actions	npc	Rod Fishing spot
Bait	に餌を落とす	actions	npc	Rod Fishing spot
Pickpocket	から盗む	actions	npc	Guard
Assignment	から討伐任務を受ける	actions	npc	Turael
Search	探す	actions	npc	Entomologist
Confront	対峙する	actions	npc	Mi-Gor
Transport	で移動	actions	npc	Brother Tranquility
Intimidate	を脅す	actions	npc	Zombie swab
Fish	魚	actions	npc	Fishing spot
Smash-ice	氷を砕く	actions	npc	Ice block
Shear	の毛を刈る	actions	npc	Sheep
Knock-Out	を気絶させる	actions	npc	Bandit
Bank	銀行	actions	npc	Banker
Collect	からアイテムを回収	actions	npc	Banker
Check-Approval	と支持率を確認	actions	npc	Arnor
Tuxedo-time	タキシードタイム	actions	npc	Larry
Mines	鉱山へ	actions	npc	Dartog
Cellar	地下室へ	actions	npc	Dartog
Sew	を縫う	actions	npc	Patchy
Dream	夢を見る	actions	npc	Dominic Onion
Take-boat	ボートで移動	actions	npc	Monk of Entrana
Inspect	を調べる	actions	npc	Lumbridge Guide
Trade-General-Store	と雑貨を売買	actions	npc	Razmire Keelgan
Trade-Builders-Store	と建材用品を売買	actions	npc	Razmire Keelgan
Haircut	で髪をセット	actions	npc	Hairdresser
Shave	でヒゲをセット	actions	npc	Hairdresser
Makeover	で作り直す	actions	npc	Makeover Mage
Talk-To	に話しかける	actions	npc	Tarquin
Quick-falcon	からハヤブサを借りる	actions	npc	Matthias
Retrieve	を呼び戻す	actions	npc	Gyr Falcon
Give-Sword	に剣を渡す	actions	npc	Tindel Marchant
Mine	を掘る	actions	npc	Elemental rock
Push	を押す	actions	npc	Trolley
Pull	を引く	actions	npc	Trolley
Big-push	を強く押す	actions	npc	Trolley
Place	を置く	actions	npc	Trolley
Claim-arrows	から矢を回収	actions	npc	Rantz
Inflate	を膨らませる	actions	npc	Swamp toad
Pluck	から羽をむしる	actions	npc	Chompy bird
Shout-to	に叫ぶ	actions	npc	Nickolaus
Quick-travel	すぐに移動	actions	npc	Desert eagle
Walk-past	の横を通り過ぎる	actions	npc	Eagle
Threaten	を脅す	actions	npc	Kebbit
Small Net	で小さい漁網で釣る	actions	npc	Fishing spot
Net	で網で釣る	actions	npc	Fishing spot
Ammo	大砲弾	actions	npc	Leon
Cage	カゴ	actions	npc	Fishing spot
Harpoon	もり	actions	npc	Fishing spot
Big Net	で大きな魚網で釣る	actions	npc	Fishing spot
Use-rod	竿を使う	actions	npc	Fishing spot
Escort	をエスコート	actions	npc	Smiddi Ryak (hard)
Supply	に物資を渡す	actions	npc	Smiddi Ryak (hard)
Claim-runes	ルーンを請求	actions	npc	Lundail
Chase	を追いかける	actions	npc	Cat
Interact	とやり取りをする	actions	npc	Cat
Catch	を捕まえる	actions	npc	Baby impling
Get-rewards	から報酬をもらう	actions	npc	Commander Connad
Tutorial	チュートリアル開始	actions	npc	Captain Cain
Start-minigame	ミニゲーム開始	actions	npc	Guardian mummy
Teleport	ワープ	actions	npc	Apprentice
Join-Crew	クルーに参加	actions	npc	San Fan
Join-Team	チームに参加	actions	npc	Honest Jimmy
Pick-pocket	のポッケをする	actions	npc	Fairy Godfather
Craft-goods	物を創る	actions	npc	Thakkrad Sigmundson
Rellekka	でレレカへ移動	actions	npc	Maria Gunnars
Neitiznot	でネイチズノットへ移動	actions	npc	Maria Gunnars
Jatizso	でジャチゾへ移動	actions	npc	Mord Gunnars
Watch-shouting	の口喧嘩を観る	actions	npc	Guard
Kick	を蹴る	actions	npc	Bed
Claim-Tokens	からトークンを請求	actions	npc	Lorelai
History	歴史	actions	npc	Grand Exchange Clerk
Sets	設定	actions	npc	Grand Exchange Clerk
Prices	と値段を確認	actions	npc	Brugsen Bursen
Exchange fire cape	とファイアーケープを交換	actions	npc	TzHaar-Mej-Jal
Destroy	を破壊	actions	npc	Door-support
Tickets	チケット	actions	npc	Cart conductor
Listen-to	聴く	actions	npc	Red Axe Director
Claim-Shield	盾を請求	actions	npc	Gamfred
talk	に話しかける	actions	npc	Gate of War
Get job (easy)	から仕事をもらう（簡単）	actions	npc	Gianne jnr.
Get job (hard)	から仕事をもらう（難関）	actions	npc	Gianne jnr.
Repairs	修復	actions	npc	Dark Mage
Sober-Up	の酔いを覚ます	actions	npc	Skippy
Walk here	ここへ歩く	actions	npc	Purepker895
Follow	を追う	actions	npc	Purepker895
Pay (north-west)	に支払う（北東）	actions	npc	Elstan
Pay (south-east)	に支払う（南西）	actions	npc	Elstan
Pay (north)	に支払う（北）	actions	npc	Dantaera
Pay (south)	に支払う（南）	actions	npc	Dantaera
Detach	を取り外す	actions	npc	Combat dummy
Upgrade	を強化する	actions	npc	Combat dummy
Remove	を取り除く	actions	npc	Combat dummy
Shoo	を追い払う	actions	npc	Clockwork cat
Fur Clothing	に革製品作成を依頼	actions	npc	Asyff
Shoo-away	を追い払う	actions	npc	Stray dog
Tease	を挑発する	actions	npc	Sabre-toothed kyatt
Leave	で去る	actions	npc	Squire
Claim-slime	にスライムを請求	actions	npc	Robin
Use	を使う	actions	npc	Portal
Exit	出口	actions	npc	Portal
Relocate	で再配置	actions	npc	Estate agent
Redecorate	で模様替え	actions	npc	Estate agent
Buy-plank	から板を購入	actions	npc	Sawmill operator
Age	で年齢確認	actions	npc	Hans
Tackle	タックル	actions	npc	Gnome baller
Pass-to	にパス	actions	npc	Gnome winger
Claim	回収	actions	npc	Ranged combat tutor
Buy	から購入	actions	npc	Fadli
Heal	回復	actions	npc	A'abla
Stroke	をなでる	actions	npc	Gertrude's cat
Climb-over	を登る	actions	npc	Pile of bones
Melt	を融かす	actions	npc	Crust of ice
Clear	をキレイにする	actions	npc	Furnace grate
Take	取る	actions	npc	Iron pickaxe
Steal-from	から盗む	actions	npc	Digsite workman
Pay-fare	に運賃を支払う	actions	npc	Captain Tobias
Pay-Fare	に運賃を支払う	actions	npc	Customs officer
Go-inside	中へ入る	actions	npc	House
Pirate's Cove	と海賊の隠れ家へ移動	actions	npc	Lokar Searunner
Deposit-items	でアイテムを預ける	actions	npc	Peer the Seer
Miscellania	ミセラニア	actions	npc	Sailor
Prod	を突く	actions	npc	Red Sheep
Return-Home	で帰還する	actions	npc	Bill Teach
Devices	デバイスを購入	actions	npc	Ava
Chop	を切る	actions	npc	Undead tree
Roll	を転がす	actions	npc	Boulder
Watch	を眺める	actions	npc	Mercenary Captain
Buy-pass	からパスを購入	actions	npc	Shantay
Pass	にパス	actions	npc	Shantay Guard
Fly	飛ぶ	actions	npc	Auguste
Decant	移し替える	actions	npc	Zahur
Clean	綺麗にする	actions	npc	Zahur
Make unfinished potion(s)	に未完成の薬液を調合	actions	npc	Zahur
Shoot	撃つ	actions	npc	Target
Shop	店	actions	npc	Ezekial Lovecraft
Board	ボード	actions	npc	Ogre boat
Potions	薬液	actions	npc	Apothecary
Grab-feather	羽を取る	actions	npc	Desert Phoenix
Take-from	から取る	actions	npc	Jig cart
Coffer	前払い金	actions	npc	Yohnus
Call-Over	を呼ぶ	actions	npc	Zombie
Insult	を侮辱する	actions	npc	Zombie
Scare	を怖がらせる	actions	npc	Zombie
Skin	の革を剥ぎ取る	actions	npc	Swamp snake
Burn	を燃やす	actions	npc	Barricade
Extinguish	を消火	actions	npc	Barricade
Quick-withdraw	即引き出し	actions	npc	Elnock Inquisitor
Check-gates	ゲートを確認	actions	npc	Wandering impling
Sand	砂	actions	npc	Bert
Request-supplies	資源をリクエスト	actions	npc	Bork Sigmundson
Listen	聴く	actions	npc	Key Master
Check	確認	actions	npc	Probita
View Laps	ラップ数を確認	actions	npc	Grace
Toggle Counter	カウンターの切り替え	actions	npc	Grace
Tap	タップ	actions	npc	Skullball
Show-Goal	ゴールを見せる	actions	npc	Skullball
Give-Stick	棒を渡す	actions	npc	Agility Trainer
Waterbirth Island	ウオーターバース島	actions	npc	Jarvald
Take-flyer	からビラをもらう	actions	npc	Ali the Leaflet Dropper
Trade-with	と取引	actions	npc	Rewards Guardian
Trade-Co-op	とCo-opを売買	actions	npc	Gabooty
Trade-Drinks	と飲み物を売買	actions	npc	Gabooty
Send-parcel	小包を送る	actions	npc	Rionasta
Peek	覗く	actions	npc	Eye
Deposit-box	預ける	actions	npc	Financial Seer
Move	動かす	actions	npc	Boulder
Log-storage	丸太を保管	actions	npc	Friendly Forester
Claim Sand	から砂を回収	actions	npc	Drew
Deposit buckets	にバケツを預ける	actions	npc	Drew
Toggle warnings	で警告表示を切り替える	actions	npc	Doomsayer
Remove PvP Protection	でPvP防止を解除する	actions	npc	Doomsayer
Observe	眺める	actions	npc	Maze Guardian
New-maze	新たな迷路	actions	npc	Maze Guardian
Maxhit Variant	最高ヒットの種類	actions	npc	Combat Test
Kill-count	キル数	actions	npc	Soldier
Canyon-count (east)	数（東）	actions	npc	Soldier
Canyon-count (west)	数（西）	actions	npc	Soldier
Pay (north-east)	に支払う（北東）	actions	npc	Marisi
Pay (south-west)	に支払う（南西）	actions	npc	Marisi
Task	タスク	actions	npc	Captain Khaled
Help	を手伝う	actions	npc	Villia
Spellbook	で魔導書を変更	actions	npc	Tyss
Climb-on	にまたがる	actions	npc	Stunted demonic gorilla
Glider	のグライダーで移動	actions	npc	Captain Shoracks
Watermill	と水車まで移動	actions	npc	Mistag
Join	参加	actions	npc	Lisa
Locking	の色を固定	actions	npc	Rift guardian
Check Scores	得点を確認	actions	npc	Captain Kalt
Contract	と契約	actions	npc	Amy
Port Sarim	とサリム港へ移動	actions	npc	Captain Magoro
Port Piscarilius	とピスカリリウス港へ移動	actions	npc	Captain Magoro
Feed	に餌を与える	actions	npc	Lux grub
Douse	消火	actions	npc	Fire
Cut	を切る	actions	npc	Meat tree
Smash	を砕く	actions	npc	Jewelled Crab
Claim-cape	からマントを請求	actions	npc	Captain Rimor
Set-difficulty	難易度を設定	actions	npc	Captain Rimor
Fight	と戦う	actions	npc	Abigale
Bars	延べ棒	actions	npc	Pirate Jackie the Fruit
Toggle-minerals	でミネラルの切り替え	actions	npc	Belona
Kitten	子猫	actions	npc	Gertrude
Toggle-vials	で試薬瓶の処理を切り替える	actions	npc	Barbarian guard
Redeem-code	でコードを引き換える	actions	npc	Recruiter
Purchase Amulet	からアミュレットを購入	actions	npc	Wizard Mizgog
Staves	杖	actions	npc	Dark Mage
Deboard	下船	actions	npc	Barge guard
Toggle Fossils	化石の設定を切り替える	actions	npc	Peter
Poke	を突く	actions	npc	Bobbing fossil
Training	鍛える	actions	npc	Mairin
Harvest	から収穫する	actions	npc	Herbiboar
Stun	を気絶させる	actions	npc	Hoop Snake
Murder	を殺害	actions	npc	Conrad King
Challenge	挑戦	actions	npc	The Mimic
Quick-Travel	すぐに移動	actions	npc	Barge guard
Escape	離脱	actions	npc	Brundt the Chieftain
Scry	透視	actions	npc	Abigaila
Claim Pet Rock	ペットの石を請求	actions	npc	Askeladden
Standard Variant	を通常版に戻す	actions	npc	Combat Test (maxhit)
Get-log	からログをもらう	actions	npc	The Collector
Count-log	ログを数える	actions	npc	The Collector
Get bird	から鳥をもらう	actions	npc	Alry the Angler
Pay (Fruit tree)	に支払う（果物の木）	actions	npc	Nikkie
Pay (tree patch)	に支払う（木）	actions	npc	Rosie
Pay (Redwood tree)	に支払う（セコイア）	actions	npc	Alexandra
Pay (Spirit tree)	に支払う（精霊樹）	actions	npc	Latlink Fastbell
Swap	入れ替える	actions	npc	Ornate combat dummy
Pay (Celastrus tree)	に支払う（セラストラスの木）	actions	npc	Taylor
Land's End	ランズ・エンドへ移動	actions	npc	Veos
Join Castle Wars	キャッスル・ウォーズに参加	actions	npc	Saradominist recruiter
Holiday-items	とイベントアイテムを売買	actions	npc	Diango
Tan-hides	革をなす	actions	npc	Eodan
Ardougne	でアルドインへ移動	actions	npc	Captain Barnaby
Brimhaven	でブリムヘブンへ移動	actions	npc	Captain Barnaby
Rimmington	でリミングトンへ移動	actions	npc	Captain Barnaby
Enchant	魔法付与	actions	npc	Eluned
Quick-escape	即離脱	actions	npc	Elena
Investigate	調査する	actions	npc	Elderly Elf
Fix-exoskeleton	外骨格を直す	actions	npc	Elderly Elf
Chop down	を切り倒す	actions	npc	Tree
Sing	歌う	actions	npc	Reese
Statistics	統計情報	actions	npc	Ystwyth
Repair	を修復	actions	npc	Aneirin
Open Adventure Paths	冒険の旅路を開く	actions	npc	Adventurer Jon
Island of Stone	でストーン島へ移動	actions	npc	Haskell
Charter	と船を契約	actions	npc	Trader Stan
Charter-to Brimhaven	とブリムヘブンまで契約	actions	npc	Trader Stan
Charter-to Catherby	とカサビーまで契約	actions	npc	Trader Stan
Charter-to Mos Le'Harmless	とモス・レ・ハムレスまで契約	actions	npc	Trader Stan
Charter-to Musa Point	とムサ・ポイントまで契約	actions	npc	Trader Stan
Charter-to Port Khazard	とカザード港まで契約	actions	npc	Trader Stan
Charter-to Port Phasmatys	とファズマティス港まで契約	actions	npc	Trader Stan
Charter-to Port Sarim	とサリム港まで契約	actions	npc	Trader Stan
