english	translation	category	sub_category	source
You can now use the Falador Agility shortcut and the Shayzien basic course.		lvl_up_msg	Agility	Agility level up messages
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.		lvl_up_msg	Agility	Agility level up messages
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.		lvl_up_msg	Agility	Agility level up messages
Members can scale Falador south wall with a mithril grapple.		lvl_up_msg	Agility	Agility level up messages
You can now use the stepping stones in Karamja Dungeon.		lvl_up_msg	Agility	Agility level up messages
You can now jump the fence south of Varrock.		lvl_up_msg	Agility	Agility level up messages
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Yanille Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use a Kourend Catacombs Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Grand Exchange Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the pipe contortion in Karamja Dungeon.		lvl_up_msg	Agility	Agility level up messages
Members can scale the Observatory cliff with a mithril grapple.		lvl_up_msg	Agility	Agility level up messages
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.		lvl_up_msg	Agility	Agility level up messages
You can now use the Falador Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Kourent Catacombs pillar jump Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the lower cliffside climb by Mount Karuulm.		lvl_up_msg	Agility	Agility level up messages
You can now use the Agility Pyramid, the Varrock course, the Stepping stones in south eastern Karamja and the Corsair Cove Resource Area shortcut. You can also use the Penguin Agility Course if you have begun the Cold War quest.		lvl_up_msg	Agility	Agility level up messages
You can now use the Draynor Manor stones to Champions' guild Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
Members can now use the Shilo Village river crossing.		lvl_up_msg	Agility	Agility level up messages
You can now use Ardougne log balance Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the pipe contortion in Karamja Dungeon and a Kourend Catacombs Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now enter the Barbarian Agility Course.		lvl_up_msg	Agility	Agility level up messages
Members can get off the water obelisk island near Catherby with a mithril grapple.		lvl_up_msg	Agility	Agility level up messages
You can now use the Gnome Stronghold Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use Al Kharid mining pit cliffside scramble Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
Members can scale Yanile south wall by using a mithril grapple.		lvl_up_msg	Agility	Agility level up messages
You can now use the Canifis course, pass high level Agility Arena obstacles and use the Hosidius lake isle jump Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim easy cliffside scramble Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use Dwarven mine narrow crevice Agility shortcut and climb the wall at Draynor toward Port Sarim.		lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim medium cliffside scramble Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim advanced cliffside scramble.		lvl_up_msg	Agility	Agility level up messages
You can now use the Elf area log balance and the Hosidius river jump Agility shorcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Cosmic Temple medium narrow walkway Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim hard cliffside scramble.		lvl_up_msg	Agility	Agility level up messages
You can now use the Ape Atoll Agility Course, the Shayzien advanced course and the log balance to Fremennik Province Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now equip Crystal Equipment, access the Falador course and cross the stepping stone near the Nature Grotto.		lvl_up_msg	Agility	Agility level up messages
You can now use the pipe from Edgeville dungeon to Varrock sewers Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now enter the Wilderness Agility Course, enter Floor 1 of the Hallowed Sepulchre and use the eastern scramble at the Arceuus essence mine.		lvl_up_msg	Agility	Agility level up messages
Members can take a shortcut south of the volcano on the island of Karamja by using a mithril grapple.		lvl_up_msg	Agility	Agility level up messages
You can now use the Motherlode Mine dark tunnel shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the stepping stone by Miscellania docks.		lvl_up_msg	Agility	Agility level up messages
You can now use the rock climb in the  Temple of the Eye.		lvl_up_msg	Agility	Agility level up messages
You can now jump over the eastern Rellekka fence.		lvl_up_msg	Agility	Agility level up messages
You can now use the Elven Overpass easy cliffside scramble Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Werewolf and Seers' Village courses, jump the pillars in the Wintertodt's prison, access the God Wars Dungeon via the Agility route, jump the estuary across Mos Le'Harmless and the		lvl_up_msg	Agility	Agility level up messages
You can now use the Slayer tower medium spiked chain climb Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now enter Floor 2 of the Hallowed Sepulchre, use the Slayer Dungeon narrow crevice shortcut, the stepping stones in the Necropolis and the upper cliffside climb by Mount Karuulm.		lvl_up_msg	Agility	Agility level up messages
You can now use the Taverley dungeon lesser demon fence Agility shortcut and the Darkmeyer wall shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Trollheim Wilderness Agility shortcut and the Rope to the Fossil Island Volcano.		lvl_up_msg	Agility	Agility level up messages
You can now use the Temple on the Salve to Morytania and easy Revenant cave Agility shortcuts.		lvl_up_msg	Agility	Agility level up messages
You can now use the Cosmic Temple advanced narrow walkway Agility shortcut and jump the stepping stone from Lumbridge to the Desert.		lvl_up_msg	Agility	Agility level up messages
You can now use the Elven Overpass medium cliffside scramble and the Ice Mountain western scramble Agility shortcuts.		lvl_up_msg	Agility	Agility level up messages
You can now use the northern scramble at the Arceuus essence mine.		lvl_up_msg	Agility	Agility level up messages
You can now use the Dorgeshuun and Pollnivneach Courses, use the Taverley Dungeon dragon and Fossil Island hardwood shortcuts, access the Saradomin God Wars Dungeon area and equip Rings of Endurance		lvl_up_msg	Agility	Agility level up messages
You can now use the Slayer tower advanced spiked chain climb Agility shortcut and the Gu'Tanoth wall climb if you have completed the Watchtower quest.		lvl_up_msg	Agility	Agility level up messages
You can now enter Floor 3 of the Hallowed Sepulchre, and use the Stronghold Slayer Cave narrow tunnel and Asgarnian Ice Dungeon wyvern tunnel.		lvl_up_msg	Agility	Agility level up messages
You can now use the Troll Stronghold wall-climb and the western descent at the Arceuus essence mine.		lvl_up_msg	Agility	Agility level up messages
You can now use the Lava Dragon Isle lava jump and the Meiyerditch Laboratory tunnels.		lvl_up_msg	Agility	Agility level up messages
You can now use the Prifddinas Agility Course, the medium Revenant Cave shortcuts and the Forthos Dungeon shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the island crossing near Zul-Andra.		lvl_up_msg	Agility	Agility level up messages
You can now use the Shilo Village river crossing.		lvl_up_msg	Agility	Agility level up messages
You can now use the Iorwerth Dungeon northern shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Kharazi Jungle vine climb.		lvl_up_msg	Agility	Agility level up messages
You can now use the Rellekka course and the Taverley Dungeon spiked blades jump Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Slayer Dungeon spiked blades jump Agility shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now enter Floor 4 of the Hallowed Sepulchre and use the Lava Maze stepping stone shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Brimhaven Dungeon eastern stepping stones shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Iorwerth Dungeon southern shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the Elven Overpass advanced cliffside scramble.		lvl_up_msg	Agility	Agility level up messages
You can now use the Kalphite Lair crevice.		lvl_up_msg	Agility	Agility level up messages
You can now use the Brimhaven Dungeon vine climb.		lvl_up_msg	Agility	Agility level up messages
You can now use the Karuulm dungeon pipe shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now use the hard Revenant cave shortcuts.		lvl_up_msg	Agility	Agility level up messages
You can now use the Ardougne course.		lvl_up_msg	Agility	Agility level up messages
You can now use the Viyeldi Caves cliff shortcut.		lvl_up_msg	Agility	Agility level up messages
You can now enter Floor 5 of the Hallowed Sepulchre.		lvl_up_msg	Agility	Agility level up messages
You can now use the advanced shortcut to the Meiyerditch Laboratories (with 78 mining).		lvl_up_msg	Agility	Agility level up messages
You can now wield Steel Weaponry!		lvl_up_msg	Attack	Attack level up messages
You can now wield Black Weaponry and members can wield White Weaponry!		lvl_up_msg	Attack	Attack level up messages
You can now wield Mithril Weaponry!		lvl_up_msg	Attack	Attack level up messages
You can now wield Adamant Weaponry and members can wield Swamp Lizards and Bryophyta's Staff!		lvl_up_msg	Attack	Attack level up messages
You can now wield Rune Weaponry and Barronite maces. Members can wield Brine Sabres and Ivandis Flails!		lvl_up_msg	Attack	Attack level up messages
Members can now wield Void Knight equipment!		lvl_up_msg	Attack	Attack level up messages
Members can now wield Granite weapons, Blisterwood weapons, Keris daggers and the Ancient Sceptre!		lvl_up_msg	Attack	Attack level up messages
Members can now wield Dragon Weaponry, Viggora's Chainmace, The Colossal Blade, Red Salamanders and the Keris Partisan!		lvl_up_msg	Attack	Attack level up messages
You can now wield the 3rd age longsword, 3rd Age Druidic staff (with 65 prayer), the Sarachnis Cudgel and Keris partisans!		lvl_up_msg	Attack	Attack level up messages
Members can now wield the Saradomin Sword, the Abyssal Whip & Dagger, the Zamorak Spear, the Ursine Chainmace, Crystal Equipment and Barrows weaponry!		lvl_up_msg	Attack	Attack level up messages
Members can now wield Black Salamanders, the Saradomin Sword, the Abyssal Whip & Dagger, the Zamorak Spear, the Ursine Chainmace, Crystal Equipment and Barrows weaponry!		lvl_up_msg	Attack	Attack level up messages
Members can now wield the Saradomin Sword, the Abyssal Whip, Dagger & Bludgeon, the Zamorak Spear, the Ursine Chainmace, Crystal Equipment and Barrows weaponry!		lvl_up_msg	Attack	Attack level up messages
Members can now wield Black Salamanders, the Saradomin Sword, the Abyssal Whip, Dagger & Bludgeon, the Zamorak Spear, the Ursine Chainmace, Crystal Equipment and Barrows weaponry!		lvl_up_msg	Attack	Attack level up messages
Members can now wield Godswords, the Blessed Saradomin Sword, Abyssal Tentacle, Staff of the Dead, Staff of Light, Staff of Balance, Dinh's Bulwark, Arclight, Vesta's blighted longsword and the Voidwaker!		lvl_up_msg	Attack	Attack level up messages
Members can now wield the Dragon Hunter Lance!		lvl_up_msg	Attack	Attack level up messages
Members can now wield the Scythe of Vitur, the Ghrazi Rapier, the Inquisitor's Mace, the Blade of Saeldor and the upgraded Keris Partisan!		lvl_up_msg	Attack	Attack level up messages
Members can now wield Osmumten's Fang!		lvl_up_msg	Attack	Attack level up messages
You can now build: Torn curtains Brown rug		lvl_up_msg	Construction	Construction level up messages
You can now build: Clay fireplace		lvl_up_msg	Construction	Construction level up messages
You can now build: Wooden bookcase		lvl_up_msg	Construction	Construction level up messages
You can now build: Firepit, Tree, Decorative Rock, Cat blanket		lvl_up_msg	Construction	Construction level up messages
You can now build: Wooden shelves 1 Mid-level plants		lvl_up_msg	Construction	Construction level up messages
You can now build: Pump and drain Beer barrel		lvl_up_msg	Construction	Construction level up messages
You can now build: Wooden chair		lvl_up_msg	Construction	Construction level up messages
You can now build: Wooden larder		lvl_up_msg	Construction	Construction level up messages
You can now build: Wooden dining bench, Wooden dining table, Nice tree, Pond		lvl_up_msg	Construction	Construction level up messages
You can now build: Firepit with hook		lvl_up_msg	Construction	Construction level up messages
Cider barrel, High-level plants, STASH units (beginner)		lvl_up_msg	Construction	Construction level up messages
You can now build: Rug		lvl_up_msg	Construction	Construction level up messages
You can now build: Rocking chair		lvl_up_msg	Construction	Construction level up messages
Oak tree, Imp Statue		lvl_up_msg	Construction	Construction level up messages
You can now build: Crafting table 1 Pluming stand Oak wall decoration		lvl_up_msg	Construction	Construction level up messages
You can now build: Wooden workbench Firepit with pot		lvl_up_msg	Construction	Construction level up messages
You can now build: Asgarnian Ale barrel Curtains		lvl_up_msg	Construction	Construction level up messages
You can now build: Oak chair Cat basket		lvl_up_msg	Construction	Construction level up messages
You can now build: Wooden bed Shoe box		lvl_up_msg	Construction	Construction level up messages
You can now build: Wooden shaving stand		lvl_up_msg	Construction	Construction level up messages
You can now build: Oak dining bench Oak dining table		lvl_up_msg	Construction	Construction level up messages
You can now build: Wooden shelves 3		lvl_up_msg	Construction	Construction level up messages
You can now build: Small oven		lvl_up_msg	Construction	Construction level up messages
You can now build: Crafting table 2 Tool store 2 Oak clock		lvl_up_msg	Construction	Construction level up messages
You can now build: Oak armchair Greenman's Ale barrel Rope bell-pull		lvl_up_msg	Construction	Construction level up messages
You can now build: Pump and tub, Oak chest of drawers, STASH units (easy), Oak staircase, Trophy pedestal		lvl_up_msg	Construction	Construction level up messages
You can now build: Trailblazer rug Rug Suit of armour		lvl_up_msg	Construction	Construction level up messages
You can now build: Large oven Oak bookcase Oak shaving stand		lvl_up_msg	Construction	Construction level up messages
You can now build: Oak bed, Hoop-and-stick game, Willow tree, Small storage unit, Banner Stand		lvl_up_msg	Construction	Construction level up messages
You can now build: Carved oak dining bench Carved oak dining table		lvl_up_msg	Construction	Construction level up messages
You can now build: Oak kitchen table, Oak workbench, Boxing ring, Trailblazer globe, League statue		lvl_up_msg	Construction	Construction level up messages
You can now build: Stone fireplace Oak larder Cushioned cat basket		lvl_up_msg	Construction	Construction level up messages
Oak prize chest, Boxing glove rack, Oak outfit stand		lvl_up_msg	Construction	Construction level up messages
Fire of Nourishment, Fire of Eternal Light, Small portrait		lvl_up_msg	Construction	Construction level up messages
You can now build: Dragon bitter barrel, Oak Trophy Case, Teak wall decoration, Mounted Bass		lvl_up_msg	Construction	Construction level up messages
