english	translation	category	sub_category	source
Ground Markers	地面マーカー	name	menu	
Instance Map	インスタンスの地図	name	menu	
Attack	攻撃力	name	menu	
Hitpoints	体力	name	menu	
Mining	採掘	name	menu	
Strength	腕力	name	menu	
Agility	運動神経	name	menu	
Smithing	鍛冶	name	menu	
Defence	守備力	name	menu	
Herblore	調合	name	menu	
Fishing	釣り	name	menu	
Ranged	弓	name	menu	
Thieving	盗み	name	menu	
Cooking	料理	name	menu	
Prayer	祈り	name	menu	
Crafting	工作	name	menu	
Firemaking	火起こし	name	menu	
Magic	魔法	name	menu	
Fletching	木材加工	name	menu	
Woodcutting	木こり	name	menu	
Runecraft	ルーン作り	name	menu	
Slayer	討伐	name	menu	
Farming	農業	name	menu	
Construction	建築	name	menu	
Hunter	狩人	name	menu	
