english	translation	category	sub_category	source
Crate	箱	name	object	Crate
Cave Entrance	洞窟の入口	name	object	Cave Entrance
Door	ドア	name	object	Door
Broken multicannon	壊れたマルチキャノン	name	object	Broken multicannon
Dwarf multicannon	ドワーフのマルチキャノン	name	object	Dwarf multicannon
Cannon base	大砲の台	name	object	Cannon base
Cannon stand	大砲のスタンド	name	object	Cannon stand
Cannon barrels	大砲の砲身	name	object	Cannon barrels
Ladder	ハシゴ	name	object	Ladder
Rock pile	岩の山	name	object	Rock pile
Mud pile	泥の山	name	object	Mud pile
Railing	手すり	name	object	Railing
Mysterious statue	謎の像	name	object	Mysterious statue
Sacks	袋	name	object	Sacks
Clock spindle	時計のスピンドル	name	object	Clock spindle
Lever	レバー	name	object	Lever
Gate	ゲート	name	object	Gate
Food trough	エサ入れ	name	object	Food trough
Wall Pipe	壁のパイプ	name	object	Wall Pipe
Fishing spot	釣り場	name	object	Fishing spot
Water	水をあげる	name	object	Water
Loose Railing	緩いフェンス	name	object	Loose Railing
Stairs	階段	name	object	Stairs
Vine	ツル	name	object	Vine
Chaos altar	混沌の祭壇	name	object	Chaos altar
Giant crystal	巨大な水晶	name	object	Giant crystal
Beehive	ハチの巣	name	object	Beehive
Gangplank	渡り板	name	object	Gangplank
Large door	大きなドア	name	object	Large door
Chest	宝箱	name	object	Chest
Prison Gate	牢屋の扉	name	object	Prison Gate
Lever bracket	レバーの装着口	name	object	Lever bracket
Trapdoor	落とし戸	name	object	Trapdoor
Closed chest	閉じた宝箱	name	object	Closed chest
Open chest	開いた宝箱	name	object	Open chest
Cooking range	ガスレンジ	name	object	Cooking range
Party Balloon	パーティー風船	name	object	Party Balloon
Compost heap	堆肥の山	name	object	Compost heap
Fountain	噴水	name	object	Fountain
Rocks	岩石	name	object	Rocks
Bookcase	本棚	name	object	Bookcase
Wall	壁	name	object	Wall
Strange machine	不思議な機械	name	object	Strange machine
Incinerator	焼却炉	name	object	Incinerator
Gnome glider	ノームのグライダー	name	object	Gnome glider
Crashed glider	墜落したグライダー	name	object	Crashed glider
Blurberry bar	ブラーベリーのバー	name	object	Blurberry bar
Hollowed rock	空の岩	name	object	Hollowed rock
Lamp	ランプ	name	object	Lamp
Candles	ロウソク	name	object	Candles
Chandelier	シャンデリア	name	object	Chandelier
Ice Light	氷の灯り	name	object	Ice Light
Sail		name	object	Sail
Figurehead	船首像	name	object	Figurehead
Pile of rope	ロープの山	name	object	Pile of rope
