english	translation	category	sub_category	source
Destroy		inventoryActions	item	Dwarf remains
Drop		inventoryActions	item	Cannonball
Read		inventoryActions	item	Nulodion's notes
Set-up		inventoryActions	item	Cannon base
Blow		inventoryActions	item	Magic whistle
Ring		inventoryActions	item	Grail bell
Blow-on		inventoryActions	item	Magic gold feather
Extinguish		inventoryActions	item	Lit black candle
Wield		inventoryActions	item	Excalibur
Wear		inventoryActions	item	Khazard helmet
Empty		inventoryActions	item	Guam potion (unf)
Drink		inventoryActions	item	Strength potion(4)
Clean		inventoryActions	item	Grimy guam leaf
Eat		inventoryActions	item	Jangerberries
Equip		inventoryActions	item	Cattleprod
Plant		inventoryActions	item	Mithril seeds
Open		inventoryActions	item	Casket
Throw		inventoryActions	item	Bird feed
Bury		inventoryActions	item	Bones
Inspect		inventoryActions	item	Ghost's skull
Bail-with		inventoryActions	item	Bailing bucket
Activate		inventoryActions	item	Locating crystal
Search		inventoryActions	item	Panning tray
Polish		inventoryActions	item	Buttons
Look-at		inventoryActions	item	Level 1 certificate
Complete		inventoryActions	item	Radimus notes
Swing		inventoryActions	item	Bullroarer
Look		inventoryActions	item	Sketch
Enchant-Vials		inventoryActions	item	Binding book
Investigate		inventoryActions	item	Dark dagger
Cast Spell		inventoryActions	item	Holy force
Hold		inventoryActions	item	Gnomeball
Dig		inventoryActions	item	Spade
Blackout		inventoryActions	item	Disk of returning
Check		inventoryActions	item	Iban's staff
Locate		inventoryActions	item	Air talisman
Rub-together		inventoryActions	item	Dry sticks
Study		inventoryActions	item	Map part
Rub		inventoryActions	item	Amulet of glory
Empty Bowl		inventoryActions	item	Burnt stew
Mix-cocktail		inventoryActions	item	Cocktail shaker
Remove-legs		inventoryActions	item	Swamp toad
Prepare		inventoryActions	item	Half baked bowl
Empty Tray		inventoryActions	item	Burnt crunchies
Empty Tin		inventoryActions	item	Burnt batta
Empty Dish		inventoryActions	item	Burnt pie
Guzzle		inventoryActions	item	Rock cake
Play-with		inventoryActions	item	Brown toy horsey
Break		inventoryActions	item	Ring of recoil
Toggle-respawn		inventoryActions	item	Ring of life
Features		inventoryActions	item	Ring of wealth
Look through		inventoryActions	item	Sextant
Check steps		inventoryActions	item	Clue scroll (easy)
Release All		inventoryActions	item	Bloated toad
Release		inventoryActions	item	Bloated toad
Check kills		inventoryActions	item	Ogre bow
Fill		inventoryActions	item	Druid pouch
Cast Bloom		inventoryActions	item	Silver sickle (b)
Cast		inventoryActions	item	Druidic spell
Debug		inventoryActions	item	Boss helper tool
Play		inventoryActions	item	Lyre
Interact		inventoryActions	item	Pet rock
Shake		inventoryActions	item	Vase
Remove-lid		inventoryActions	item	Sealed vase
Preach		inventoryActions	item	Holy book
View		inventoryActions	item	Spare controls
Listen		inventoryActions	item	Monkey dentures
Poke		inventoryActions	item	Monkey
Heal		inventoryActions	item	Bandages
Loop		inventoryActions	item	Yo-yo
Walk		inventoryActions	item	Yo-yo
Crazy		inventoryActions	item	Yo-yo
Ride		inventoryActions	item	Sled
Partner		inventoryActions	item	Enchanted gem
Log		inventoryActions	item	Enchanted gem
Repair		inventoryActions	item	Model ship
Follow		inventoryActions	item	Treasure map
Count		inventoryActions	item	Petition form
Check-keys		inventoryActions	item	Steel key ring
Dance		inventoryActions	item	Rubber chicken
Assemble		inventoryActions	item	Base schematics
Spin		inventoryActions	item	Spinning plate
Remove-one		inventoryActions	item	Apples(2)
Build		inventoryActions	item	Rogue kit
Use		inventoryActions	item	Null
Slice		inventoryActions	item	Rotten potato
Peel		inventoryActions	item	Rotten potato
Mash		inventoryActions	item	Rotten potato
Lletya		inventoryActions	item	Teleport crystal (4)
Prifddinas		inventoryActions	item	Teleport crystal (4)
Toggle		inventoryActions	item	Teleport crystal (4)
Uncharge		inventoryActions	item	Broodoo shield (10)
Scan		inventoryActions	item	Commorb
Contact		inventoryActions	item	Commorb
Playback		inventoryActions	item	Commorb
Talk-At		inventoryActions	item	Fishbowl
Play-With		inventoryActions	item	Fishbowl
Feed		inventoryActions	item	Fishbowl
Untangle		inventoryActions	item	Fishbowl and net
Check-charge		inventoryActions	item	Camulet
Display		inventoryActions	item	Zombie head
Question		inventoryActions	item	Zombie head
Chant		inventoryActions	item	Demonic sigil
Feel		inventoryActions	item	Enchanted key
Remove-rat		inventoryActions	item	Rat pole
Jump		inventoryActions	item	Blue marionette
Bow		inventoryActions	item	Blue marionette
Talk-to		inventoryActions	item	Progress hat
Return		inventoryActions	item	Prison key
Smell		inventoryActions	item	Spicy stew
Release-all		inventoryActions	item	Balloon toad
Wind		inventoryActions	item	Toy soldier
Separate		inventoryActions	item	Kbd heads
Unstuff		inventoryActions	item	Stuffed crawling hand
Varrock		inventoryActions	item	Varrock teleport
