english	translation	category	sub_category	source
Tool Leprechaun	農具のレプラコーン	name	npc	Tool Leprechaun
Molanisk	モラニスク	name	npc	Molanisk
Aberrant spectre	異形の亡霊	name	npc	Aberrant spectre
Nechryael	ネクリャエル	name	npc	Nechryael
Twig	小枝	name	npc	Twig
Death spawn	デス・スポーン	name	npc	Death spawn
Hudo	フード	name	npc	Hudo
Piles	パイルズ	name	npc	Piles
Rometti	ロメッチ	name	npc	Rometti
Gulluck	グルック	name	npc	Gulluck
Heckel Funch	ヘッケル・ファンチ	name	npc	Heckel Funch
Rug Merchant	カーペット商人	name	npc	Rug Merchant
Monkey	サル	name	npc	Monkey
Zombie	ゾンビ	name	npc	Zombie
Summoned Zombie	召喚ゾンビ	name	npc	Summoned Zombie
Skeleton	スケルトン	name	npc	Skeleton
Skeleton Mage	スケルトンの魔術師	name	npc	Skeleton Mage
Ghost	幽霊	name	npc	Ghost
Rock Crab	岩ガニ	name	npc	Rock Crab
Rocks	岩石	name	npc	Rocks
Hellhound	ヘルハウンド	name	npc	Hellhound
Wolf	オオカミ	name	npc	Wolf
White wolf	白オオカミ	name	npc	White wolf
Big Wolf	大きなオオカミ	name	npc	Big Wolf
Dog	犬	name	npc	Dog
Wild dog	野生犬	name	npc	Wild dog
Guard dog	番犬	name	npc	Guard dog
Ignatius Vulcan	イグナチアス・バルカン	name	npc	Ignatius Vulcan
Crawling hand	這う手	name	npc	Crawling hand
Cockatrice	コカトリス	name	npc	Cockatrice
Basilisk	バジリスク	name	npc	Basilisk
Kurask	クラスク	name	npc	Kurask
Abyssal demon	深淵の悪魔	name	npc	Abyssal demon
Left head	左の頭	name	npc	Left head
Middle head	真ん中の頭	name	npc	Middle head
Right head	右の頭	name	npc	Right head
Kalphite Queen	女王カルファイト	name	npc	Kalphite Queen
Tentacle	触手	name	npc	Tentacle
Hobgoblin	ホブゴブリン	name	npc	Hobgoblin
Troll	トロール	name	npc	Troll
Huge spider	大きなクモ	name	npc	Huge spider
Ogre	オーガ	name	npc	Ogre
Baby red dragon	幼い赤竜	name	npc	Baby red dragon
Kalphite Soldier	兵隊カルファイト	name	npc	Kalphite Soldier
Steel dragon	鋼鉄の竜	name	npc	Steel dragon
Dagannoth	ダガノス	name	npc	Dagannoth
