english	translation	category	sub_category	source
Study	Studer	actions	item	Fire
Remove	Fjern	actions	item	Oak lectern
Lay	Legg	actions	item	Bird snare
Activate	Aktiver	actions	item	Magic box
Crush	Knus	actions	item	Smouldering heart
Eat-from	Spis fra	actions	item	Smouldering pile of flesh
Examine	Utforsk	actions	item	
Take	Ta	actions	item	
Light	Tenn	actions	item	
Walk here	Gå her	actions	manual	
Examine	Undersøk	actions	manual	
Cancel	Kanseller	actions	manual	
Add to canvas	Legg til lerret	actions	manual	
Wiki	Wiki	actions	manual	
Walk here	Gå her	actions	manual	
Cancel	Kanseller	actions	manual	
Accurate	Nøyaktig	actions	menu	combatOptionsTab
Aggressive	Aggressiv	actions	menu	combatOptionsTab
Defensive	Defensive	actions	menu	combatOptionsTab
Controlled	Kontrollert	actions	menu	combatOptionsTab
Chop	Hakk	actions	menu	combatOptionsTab
Slash	Slash	actions	menu	combatOptionsTab
Stab	Stikk	actions	menu	combatOptionsTab
Block	Blokker	actions	menu	combatOptionsTab
Pound	Bank	actions	menu	combatOptionsTab
Pummel	Slå	actions	menu	combatOptionsTab
Spike	Spidd	actions	menu	combatOptionsTab
Impale	Stikk	actions	menu	combatOptionsTab
Smash	Knus	actions	menu	combatOptionsTab
Lunge	Stikk	actions	menu	combatOptionsTab
Swipe	Sveip	actions	menu	combatOptionsTab
Hack	Hugg	actions	menu	combatOptionsTab
Reap	Høste	actions	menu	combatOptionsTab
Rapid	Hurtig	actions	menu	combatOptionsTab
Longrange	Lang avstand	actions	menu	combatOptionsTab
Flick	Flick	actions	menu	combatOptionsTab
Lash	Pisk	actions	menu	combatOptionsTab
Deflect	Avlede	actions	menu	combatOptionsTab
Fend	Avverg	actions	menu	combatOptionsTab
Bash	Slå	actions	menu	combatOptionsTab
Blaze	Tenn	actions	menu	combatOptionsTab
Scorch	Brenn	actions	menu	combatOptionsTab
Flare	Bluss	actions	menu	combatOptionsTab
Animation	Animasjon	actions	menu	spellBookTab
Hide	Gjem	actions	menu	spellBookTab
Cast	Kast	actions	menu	spellBookTab
Unhide	Ugjem	actions	menu	spellBookTab
View	Vis	actions	menu	spellBookTab
Warnings	Advarsler	actions	menu	spellBookTab
Configure	Konfigurer	actions	menu	spellBookTab
Grand Exchange	Grand Exchange	actions	menu	spellBookTab
Seers'	Seers'	actions	menu	spellBookTab
Group: Previous	Gruppe: Forrige	actions	menu	spellBookTab
Group: Choose	Gruppe: Velg	actions	menu	spellBookTab
Outside	Utsiden	actions	menu	spellBookTab
Yanille	Yanille	actions	menu	spellBookTab
Enable warning	Skru på advarsel	actions	menu	spellBookTab
Disable warning	Skru av advarsel	actions	menu	spellBookTab
Turael	Turael	actions	menu	spellBookTab
Target	Mål	actions	menu	spellBookTab
Setup	Oppsett	actions	menu	spellBookTab
Arceuus	Arceuus	actions	menu	spellBookTab
Ancient	Eldgammel	actions	menu	spellBookTab
Standard	Standard	actions	menu	spellBookTab
Reanimate	Reanimer	actions	menu	spellBookTab
Resurrect	Gjennoppstå	actions	menu	spellBookTab
Adjust Music Volume	Endre musikkvolum	actions	menu	settingsTab
Adjust Area Sound Volume	Endre stedsvolum	actions	menu	settingsTab
Adjust Sound Effect Volume	Endre lydeffektvolum	actions	menu	settingsTab
Toggle unlock message	Advarsel for ny musikk	actions	menu	settingsTab
Play	Spille	actions	menu	
Open Activity Adviser	Åpne aktivitetsanbefaler	actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)	<colNum0>Sett chattemodus:</col> Gruppe (/@g)	actions	menu	
