english	translation	category	sub_category	source
Destroy	Ødelegg	inventoryActions	item	Dwarf remains
Drop	Slipp	inventoryActions	item	Cannonball
Read	Les	inventoryActions	item	Nulodion's notes
Set-up	Oppsett	inventoryActions	item	Cannon base
Blow	Blås	inventoryActions	item	Magic whistle
Ring	Ring	inventoryActions	item	Grail bell
Blow-on	Blås på	inventoryActions	item	Magic gold feather
Extinguish	Slukk	inventoryActions	item	Lit black candle
Wield	Bruk	inventoryActions	item	Excalibur
Wear	Bruk	inventoryActions	item	Khazard helmet
Empty	Tømm	inventoryActions	item	Guam potion (unf)
Drink	Drikk	inventoryActions	item	Strength potion(4)
Clean	Rengjør	inventoryActions	item	Grimy guam leaf
Eat	Spis	inventoryActions	item	Jangerberries
Equip	Ta på	inventoryActions	item	Cattleprod
Plant	Plante	inventoryActions	item	Mithril seeds
Open	Åpne	inventoryActions	item	Casket
Throw	Kast	inventoryActions	item	Bird feed
Bury	Begrave	inventoryActions	item	Bones
Inspect	Undersøke	inventoryActions	item	Ghost's skull
Bail-with	Kausjon med	inventoryActions	item	Bailing bucket
Activate	Aktiver	inventoryActions	item	Locating crystal
Search	Søk	inventoryActions	item	Panning tray
Polish	Puss	inventoryActions	item	Buttons
Look-at	Se-på	inventoryActions	item	Level 1 certificate
Complete	Fullfør	inventoryActions	item	Radimus notes
Swing	Sving	inventoryActions	item	Bullroarer
Look	Se	inventoryActions	item	Sketch
Enchant-Vials	Fortryll-hetteglass	inventoryActions	item	Binding book
Investigate	Undersøk	inventoryActions	item	Dark dagger
Cast Spell	Kast trolldom	inventoryActions	item	Holy force
Hold	Hold	inventoryActions	item	Gnomeball
Dig	Grav	inventoryActions	item	Spade
Blackout	Blackout	inventoryActions	item	Disk of returning
Check	Sjekk	inventoryActions	item	Iban's staff
Locate	Finn	inventoryActions	item	Air talisman
Rub-together	Gni sammen	inventoryActions	item	Dry sticks
Study	Studer	inventoryActions	item	Map part
Rub	Gni	inventoryActions	item	Amulet of glory
Empty Bowl	Tøm bolle	inventoryActions	item	Burnt stew
Mix-cocktail	Mix-cocktail	inventoryActions	item	Cocktail shaker
Remove-legs	Fjern bena	inventoryActions	item	Swamp toad
Prepare	Forbered	inventoryActions	item	Half baked bowl
Empty Tray	Tøm brett	inventoryActions	item	Burnt crunchies
Empty Tin	Tøm boks	inventoryActions	item	Burnt batta
Empty Dish	Tøm tallerken	inventoryActions	item	Burnt pie
Guzzle	Sluk	inventoryActions	item	Rock cake
Play-with	Lek-med	inventoryActions	item	Brown toy horsey
Break	Ødelegg	inventoryActions	item	Ring of recoil
Toggle-respawn	Skru på respawn	inventoryActions	item	Ring of life
Features	Funksjoner	inventoryActions	item	Ring of wealth
