english	translation	category	sub_category	source
Study	Изучать	actions	item	Fire
Remove	Удалять	actions	item	Oak lectern
Lay	Класть	actions	item	Bird snare
Activate	Активировать	actions	item	Magic box
Crush	Раздавить	actions	item	Smouldering heart
Eat-from	Ешь-из	actions	item	Smouldering pile of flesh
Examine	Исследовать	actions	item	
Take	Брать	actions	item	
Light	Свет	actions	item	
(Members)	(Участники)	actions	item	
Walk here	Иди сюда	actions	manual	
Cancel	Отмена	actions	manual	
Accurate	Точный	actions	menu	combatOptionsTab
Aggressive	Агрессивный	actions	menu	combatOptionsTab
Defensive	Защитный	actions	menu	combatOptionsTab
Controlled	Контролируемый	actions	menu	combatOptionsTab
Chop	Нарезать	actions	menu	combatOptionsTab
Slash	Слэш	actions	menu	combatOptionsTab
Stab	Удар ножом	actions	menu	combatOptionsTab
Block	Блокировать	actions	menu	combatOptionsTab
Pound	Фунт	actions	menu	combatOptionsTab
Pummel	Избиение	actions	menu	combatOptionsTab
Spike	Шип	actions	menu	combatOptionsTab
Impale	Пронзить	actions	menu	combatOptionsTab
Smash	Разгромить	actions	menu	combatOptionsTab
Lunge	Выпад	actions	menu	combatOptionsTab
Swipe	Проведите пальцем	actions	menu	combatOptionsTab
Hack	Взломать	actions	menu	combatOptionsTab
Reap	Рип	actions	menu	combatOptionsTab
Rapid	Стремительный	actions	menu	combatOptionsTab
Longrange	Дальний	actions	menu	combatOptionsTab
Flick	Флик	actions	menu	combatOptionsTab
Lash	Лэш	actions	menu	combatOptionsTab
Deflect	Отклонить	actions	menu	combatOptionsTab
Fend	Fend	actions	menu	combatOptionsTab
Bash	Баш	actions	menu	combatOptionsTab
Blaze	Пламя	actions	menu	combatOptionsTab
Scorch	Ожог	actions	menu	combatOptionsTab
Flare	Вспышка	actions	menu	combatOptionsTab
Punch	Ударить кулаком	actions	menu	combatOptionsTab
Kick	Пинать	actions	menu	combatOptionsTab
Hide	Скрывать	actions	menu	prayerTab
Activate	Активировать	actions	menu	prayerTab
Unhide	Показать	actions	menu	prayerTab
Deactivate	Деактивировать	actions	menu	prayerTab
Animation	Анимация	actions	menu	spellBookTab
Hide	Скрывать	actions	menu	spellBookTab
Cast	Бросать	actions	menu	spellBookTab
Unhide	Показать	actions	menu	spellBookTab
View	Вид	actions	menu	spellBookTab
Warnings	Предупреждения	actions	menu	spellBookTab
Configure	Настроить	actions	menu	spellBookTab
Grand Exchange	Гранд-обмен	actions	menu	spellBookTab
Seers'	Провидцы	actions	menu	spellBookTab
Group: Previous	Группа: Предыдущая	actions	menu	spellBookTab
Group: Choose	Группа: Выбрать	actions	menu	spellBookTab
Outside	Снаружи	actions	menu	spellBookTab
Yanille	Яниль	actions	menu	spellBookTab
Enable warning	Включить предупреждение	actions	menu	spellBookTab
Disable warning	Отключить предупреждение	actions	menu	spellBookTab
Turael	Тураэль	actions	menu	spellBookTab
Target	Цель	actions	menu	spellBookTab
Setup	Настраивать	actions	menu	spellBookTab
Arceuus	Арсеус	actions	menu	spellBookTab
Ancient	Древний	actions	menu	spellBookTab
Standard	Стандарт	actions	menu	spellBookTab
Reanimate	Реанимировать	actions	menu	spellBookTab
Resurrect	Воскресить	actions	menu	spellBookTab
Adjust Music Volume	Отрегулируйте громкость музыки	actions	menu	settingsTab
Adjust Area Sound Volume	Отрегулируйте громкость звука в зоне	actions	menu	settingsTab
Adjust Sound Effect Volume	Отрегулируйте громкость звукового эффекта	actions	menu	settingsTab
Toggle unlock message	Переключить сообщение разблокировки	actions	menu	settingsTab
Play	Играть	actions	menu	
Open Activity Adviser	Советник по открытым действиям	actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)	<colNum0>Установить режим чата:</col> Группа (/@g)	actions	menu	
<colNum0>Set chat mode:</col> Guest Clan (/@gc)	<colNum0>Установить режим чата:</col> Гостевой клан (/@gc)	actions	menu	
<colNum0>Set chat mode:</col> Clan (/@c)	<colNum0>Установить режим чата:</col> Клан (/@c)	actions	menu	
<colNum0>Set chat mode:</col> Channel (/@f)	<colNum0>Установить режим чата:</col> Канал (/@f)	actions	menu	
<colNum0>Set chat mode:</col> Public (/@p)	<colNum0>Установить режим чата:</col> Публичный (/@p)	actions	menu	
Clear history	Очистить историю	actions	menu	
Switch tab	Переключить вкладку	actions	menu	
Configure filter	Настроить фильтр	actions	menu	
<colNum0>Game:</col> Clear history	<colNum0>Игра:</col> Очистить историю	actions	menu	
<colNum0>Game:</col> Filter	<colNum0>Игра:</col> Фильтр	actions	menu	
Setup your autochat	Настройте свой авточат	actions	menu	
Filter public chat	Фильтр публичного чата	actions	menu	
<colNum0>Public:</col> Clear history	<colNum0>Публичный:</col> Очистить историю	actions	menu	
<colNum0>Public:</col> Hide	<colNum0>Публичный:</col> Скрыть	actions	menu	
<colNum0>Public:</col> Show none	<colNum0>Публичный:</col> Показывать ничего	actions	menu	
<colNum0>Public:</col> Show friends	<colNum0>Публичный:</col> Показать друзей	actions	menu	
<colNum0>Public:</col> Show standard	<colNum0>Публичный:</col> Показать стандарт	actions	menu	
<colNum0>Public:</col> Show autochat	<colNum0>Публичный:</col> Показать авточат	actions	menu	
<colNum0>Private:</col> Clear history	<colNum0>Личное:</col> Очистить историю	actions	menu	
<colNum0>Private:</col> Show none	<colNum0>Частное:</col> Показывать ничего	actions	menu	
<colNum0>Private:</col> Show friends	<colNum0>Частное:</col> Показать друзей	actions	menu	
<colNum0>Private:</col> Show all	<colNum0>Частное:</col> Показать все	actions	menu	
<colNum0>Channel:</col> Clear history	<colNum0>Канал:</col> Очистить историю	actions	menu	
<colNum0>Channel:</col> Show none	<colNum0>Канал:</col> Не показывать	actions	menu	
<colNum0>Channel:</col> Show friends	<colNum0>Канал:</col> Показать друзей	actions	menu	
<colNum0>Channel:</col> Show all	<colNum0>Канал:</col> Показать все	actions	menu	
<colNum0>Clan:</col> Clear history	<colNum0>Клан:</col> Очистить историю	actions	menu	
<colNum0>Clan:</col> Show none	<colNum0>Клан:</col> Показать ничего	actions	menu	
<colNum0>Clan:</col> Show friends	<colNum0>Клан:</col> Показать друзей	actions	menu	
<colNum0>Clan:</col> Show all	<colNum0>Клан:</col> Показать все	actions	menu	
<colNum0>Group:</col> Clear history	<colNum0>Группа:</col> Очистить историю	actions	menu	
<colNum0>Group:</col> Show none	<colNum0>Группа:</col> Не показывать	actions	menu	
<colNum0>Group:</col> Show friends	<colNum0>Группа:</col> Показать друзей	actions	menu	
<colNum0>Group:</col> Show all	<colNum0>Группа:</col> Показать все	actions	menu	
Report game bug	Сообщить об ошибке в игре	actions	menu	
Report abuse	Сообщить о злоупотреблении	actions	menu	
Combat Options	Варианты боя	actions	menu	
Skills	Навыки	actions	menu	
Achievement Diaries	Дневники достижений	actions	menu	
Inventory	Инвентарь	actions	menu	
Worn Equipment	Изношенное оборудование	actions	menu	
Enable prayer reordering	Включить изменение порядка молитв	actions	menu	
Disable prayer filtering	Отключить фильтрацию молитв	actions	menu	
Prayer	Молитва	actions	menu	
Enable spell reordering	Включить переупорядочивание заклинаний	actions	menu	
Disable spell filtering	Отключить фильтрацию заклинаний	actions	menu	
Magic	Магия	actions	menu	
Friends List	Список друзей	actions	menu	
Account Management	Управление счетом	actions	menu	
Ironman Group	Группа Ironman	actions	menu	
Settings	Настройки	actions	menu	
Emotes	Эмоции	actions	menu	
Music Player	Музыкальный плеер	actions	menu	
Logout	Выйти	actions	menu	
Look West	Посмотрите на Запад	actions	menu	
Look South	Посмотрите на юг	actions	menu	
Look East	Посмотрите на восток	actions	menu	
Look North	Посмотрите на север	actions	menu	
Setup	Настраивать	actions	menu	
Hide	Скрывать	actions	menu	
Show	Показывать	actions	menu	
Activate	Активировать	actions	menu	
Toggle Run	Переключить бег	actions	menu	
Use	Использовать	actions	menu	
Bond Pouch	Бонд-мешок	actions	menu	
Open Store	Открыть магазин	actions	menu	
Clear	Прозрачный	actions	menu	
Import	Импорт	actions	menu	
Export	Экспорт	actions	menu	
Fullscreen <colNum0>World Map</col>	Полноэкранный режим <colNum0>Карта мира</col>	actions	menu	
Floating <colNum0>World Map</col>	Плавающая <colNum0>карта мира</col>	actions	menu	
DPS	ДПС	actions	menu	
Search	Поиск	actions	menu	
Lookup	Искать	actions	menu	
Auto retaliate	Автоматический ответ	actions	menu	combatOptionsTab
Use <colNum0>Special Attack</col>	Использовать <colNum0>Специальную атаку</col>	actions	menu	combatOptionsTab
Wiki	Вики	actions	menu	
Add to canvas	Добавить на холст	actions	menu	
View <colNum0>Attack</col> guide	Посмотреть руководство по <colNum0>атаке</col>	actions	menu	skillsTab
View <colNum0>Hitpoints</col> guide	Посмотреть руководство по <colNum0>Hitpoints</col>	actions	menu	skillsTab
View <colNum0>Mining</col> guide	Посмотреть руководство по <colNum0>горному делу</col>	actions	menu	skillsTab
View <colNum0>Strength</col> guide	Посмотреть руководство <colNum0>Сила</col>	actions	menu	skillsTab
View <colNum0>Agility</col> guide	Посмотреть руководство по <colNum0>Agility</col>	actions	menu	skillsTab
View <colNum0>Smithing</col> guide	Посмотреть руководство по <colNum0>кузнечному делу</col>	actions	menu	skillsTab
View <colNum0>Defence</col> guide	Посмотреть руководство по <colNum0>Защите</col>	actions	menu	skillsTab
View <colNum0>Herblore</col> guide	Посмотреть руководство <colNum0>Herblore</col>	actions	menu	skillsTab
View <colNum0>Fishing</col> guide	Посмотреть руководство по <colNum0>рыбалке</col>	actions	menu	skillsTab
View <colNum0>Ranged</col> guide	Посмотреть <colNum0>Ранж</col> руководство	actions	menu	skillsTab
View <colNum0>Thieving</col> guide	Посмотреть руководство <colNum0>Воровство</col>	actions	menu	skillsTab
View <colNum0>Cooking</col> guide	Посмотреть <colNum0>руководство по приготовлению</col>	actions	menu	skillsTab
View <colNum0>Prayer</col> guide	Посмотреть руководство по <colNum0>молитве</col>	actions	menu	skillsTab
View <colNum0>Crafting</col> guide	Посмотреть руководство по <colNum0>изготовлению</col>	actions	menu	skillsTab
View <colNum0>Firemaking</col> guide	Посмотреть руководство по <colNum0>разведению огня</col>	actions	menu	skillsTab
View <colNum0>Magic</col> guide	Посмотреть руководство по <colNum0>Magic</col>	actions	menu	skillsTab
View <colNum0>Fletching</col> guide	Посмотреть руководство <colNum0>Fletching</col>	actions	menu	skillsTab
View <colNum0>Woodcutting</col> guide	Посмотреть руководство по <colNum0>резке дерева</col>	actions	menu	skillsTab
View <colNum0>Runecraft</col> guide	Посмотреть руководство по <colNum0>Runecraft</col>	actions	menu	skillsTab
View <colNum0>Slayer</col> guide	Посмотреть руководство <colNum0>Slayer</col>	actions	menu	skillsTab
View <colNum0>Farming</col> guide	Посмотреть руководство по <colNum0>Фермерство</col>	actions	menu	skillsTab
View <colNum0>Construction</col> guide	Посмотреть руководство по <colNum0>строительству</col>	actions	menu	skillsTab
View <colNum0>Hunter</col> guide	Посмотреть руководство <colNum0>Охотник</col>	actions	menu	skillsTab
Character Summary	Краткое описание персонажа	actions	menu	characterSummaryTab
Achievement Diaries	Дневники достижений	actions	menu	characterSummaryTab
Quest List	Список квестов	actions	menu	characterSummaryTab
Character Summary	Краткое описание персонажа	actions	menu	achievementDiaryTab
Achievement Diaries	Дневники достижений	actions	menu	achievementDiaryTab
Quest List	Список квестов	actions	menu	achievementDiaryTab
Character Summary	Краткое описание персонажа	actions	menu	questListTab
Achievement Diaries	Дневники достижений	actions	menu	questListTab
Quest List	Список квестов	actions	menu	questListTab
Character Summary	Краткое описание персонажа	actions	menu	
Quest List	Список квестов	actions	menu	
Rewards	Награды	actions	menu	characterSummaryTab
Tasks	Задачи	actions	menu	characterSummaryTab
Bosses	Боссы	actions	menu	characterSummaryTab
Overview	Обзор	actions	menu	characterSummaryTab
Collection Log	Журнал сбора	actions	menu	characterSummaryTab
Reveal	Раскрывать	actions	menu	characterSummaryTab
Hide	Скрывать	actions	menu	characterSummaryTab
Open	Открыть	actions	menu	questListTab
Close	Закрывать	actions	menu	questListTab
Start Quest Helper	Запустить Quest Helper	actions	menu	questListTab
Open wiki quick guide:	Краткое руководство по вики:	actions	menu	questListTab
Open wiki guide:	Открыть вики-руководство:	actions	menu	questListTab
Show on map:	Показать на карте:	actions	menu	questListTab
Read journal:	Читать журнал:	actions	menu	questListTab
Start Helper	Запустить помощника	actions	menu	achievementDiaryTab
Wiki <colNum0>Ardougne Journal</col>	Wiki <colNum0>Журнал Ардуня</col>	actions	menu	achievementDiaryTab
Open <colNum0>Ardougne Journal</col>	Откройте <colNum0>Журнал Ардуня</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Desert Journal</col>	Wiki <colNum0>Журнал пустыни</col>	actions	menu	achievementDiaryTab
Open <colNum0>Desert Journal</col>	Открыть <colNum0>Журнал пустыни</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Falador Journal</col>	Wiki <colNum0>Журнал Фаладора</col>	actions	menu	achievementDiaryTab
Open <colNum0>Falador Journal</col>	Откройте <colNum0>Журнал Фаладора</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Fremennik Journal</col>	Wiki <colNum0>Журнал Фременников</col>	actions	menu	achievementDiaryTab
Open <colNum0>Fremennik Journal</col>	Открыть <colNum0>Журнал Фременника</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Kandarin Journal</col>	Wiki <colNum0>Журнал Кандарина</col>	actions	menu	achievementDiaryTab
Open <colNum0>Kandarin Journal</col>	Откройте <colNum0>Кандаринский журнал</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Karamja Journal</col>	Wiki <colNum0>Журнал Карамджа</col>	actions	menu	achievementDiaryTab
Open <colNum0>Karamja Journal</col>	Открыть <colNum0>Журнал Карамджа</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Kourend & Kebos Journal</col>	Wiki <colNum0>Журнал Kourend & Kebos</col>	actions	menu	achievementDiaryTab
Open <colNum0>Kourend & Kebos Journal</col>	Открыть <colNum0>Журнал Куренда и Кебоса</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Lumbridge & Draynor Journal</col>	Wiki <colNum0>Журнал Ламбриджа и Дрейнора</col>	actions	menu	achievementDiaryTab
Open <colNum0>Lumbridge & Draynor Journal</col>	Открыть <colNum0>Журнал Lumbridge & Draynor</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Morytania Journal</col>	Вики <colNum0>Журнал Моритании</col>	actions	menu	achievementDiaryTab
Open <colNum0>Morytania Journal</col>	Открыть <colNum0>Журнал Моритании</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Varrock Journal</col>	Wiki <colNum0>Журнал Varrock</col>	actions	menu	achievementDiaryTab
