english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.	Тело гнома, растерзанного гоблинами.	examine	item	Dwarf remains
Good for repairing broken cannons.	Хорошо подходит для ремонта сломанных пушек.	examine	item	Toolkit
Ammo for the Dwarf Cannon.	Боеприпасы для Гномьей пушки.	examine	item	Cannonball
Construction notes for Dwarf cannon ammo.	Замечания по изготовлению боеприпасов для гномьей пушки.	examine	item	Nulodion's notes
Used to make cannon ammunition.	Используется для изготовления артиллерийских боеприпасов.	examine	item	Ammo mould
An old note book.	Старая записная книжка.	examine	item	Instruction manual
The cannon is built on this.	На этом и построена пушка.	examine	item	Cannon base
The mounting for the multicannon.	Крепление для многоствольной пушки.	examine	item	Cannon stand
The barrels of the multicannon.	Стволы многоствольной пушки.	examine	item	Cannon barrels
This powers the multicannon.	Это питает мультипушку.	examine	item	Cannon furnace
A metal railing replacement.	Замена металлических перил.	examine	item	Railing
A cloth given to me by Sir Galahad.	Ткань, подаренная мне сэром Галахадом.	examine	item	Holy table napkin
A small tin whistle.	Маленький свисток.	examine	item	Magic whistle
I wonder what happens when I ring it?	Интересно, что произойдёт, когда я позвоню?	examine	item	Grail bell
It will point the way for me.	Он укажет мне путь.	examine	item	Magic gold feather
A holy and powerful artefact.	Священный и могущественный артефакт.	examine	item	Holy grail
A cog from some machinery.	Шестеренка какого-то механизма.	examine	item	White cog
Doesn't look very tasty.	Выглядит не очень вкусно.	examine	item	Rat poison
Wormy.	Червивый.	examine	item	Red vine worm
Hemenster fishing contest trophy.	Трофей рыболовного конкурса в Хеменстере.	examine	item	Fishing trophy
Pass to the Hemenster fishing contest.	Пропуск на соревнования по рыбной ловле в Хеменстере.	examine	item	Fishing pass
Drives away all known 6 legged creatures.	Отгоняет всех известных шестиногих существ.	examine	item	Insect repellent
It's a bucket of wax.	Это ведро с воском.	examine	item	Bucket of wax
A lit spooky candle.	Зажженная жуткая свеча.	examine	item	Lit black candle
A lit candle.	Зажженная свеча.	examine	item	Lit candle
This used to belong to King Arthur.	Раньше он принадлежал королю Артуру.	examine	item	Excalibur
A candle.	Свеча.	examine	item	Candle
A spooky candle.	Жутковатая свеча.	examine	item	Black candle
I can make some arrows with these.	Из них я могу сделать несколько стрел.	examine	item	Bronze arrowtips
Opal bolt tips.	Наконечники болтов опаловые.	examine	item	Opal bolt tips
Pearl bolt tips.	Перламутровые наконечники болтов.	examine	item	Pearl bolt tips
I can make bolts with these.	Из них я могу сделать болты.	examine	item	Barb bolttips
I need to find a string for this.	Мне нужно найти для этого строку.	examine	item	Longbow (u)
A wooden arrow shaft.	Деревянное древко стрелы.	examine	item	Arrow shaft
A wooden arrow shaft with flights attached.	Деревянное древко стрелы с прикрепленными оперениями.	examine	item	Headless arrow
An unstrung oak shortbow; I need a bowstring for this.	Короткий дубовый лук без тетивы; для него мне нужна тетива.	examine	item	Oak shortbow (u)
An unstrung oak longbow; I need a bowstring for this.	Дубовый длинный лук без тетивы; для него мне нужна тетива.	examine	item	Oak longbow (u)
An unstrung willow longbow; I need a bowstring for this.	Длинный ивовый лук без тетивы; для него мне нужна тетива.	examine	item	Willow longbow (u)
An unstrung willow shortbow; I need a bowstring for this.	Короткий ивовый лук без тетивы; для него мне нужна тетива.	examine	item	Willow shortbow (u)
An unstrung maple longbow; I need a bowstring for this.	Длинный кленовый лук без тетивы; для него мне нужна тетива.	examine	item	Maple longbow (u)
An unstrung maple shortbow; I need a bowstring for this.	Короткий кленовый лук без тетивы; для него мне нужна тетива.	examine	item	Maple shortbow (u)
An unstrung yew longbow; I need a bowstring for this.	Длинный тисовый лук без тетивы; для него мне нужна тетива.	examine	item	Yew longbow (u)
An unstrung yew shortbow; I need a bowstring for this.	Короткий тисовый лук без тетивы; для него мне нужна тетива.	examine	item	Yew shortbow (u)
An unstrung magic longbow; I need a bowstring for this.	Длинный магический лук без тетивы. Для него мне нужна тетива.	examine	item	Magic longbow (u)
An unstrung magic shortbow; I need a bowstring for this.	Короткий магический лук без тетивы. Для него мне нужна тетива.	examine	item	Magic shortbow (u)
A helmet, as worn by the minions of General Khazard.	Шлем, который носили приспешники генерала Хазарда.	examine	item	Khazard helmet
Armour, as worn by the minions of General Khazard.	Доспехи, которые носили приспешники генерала Хазарда.	examine	item	Khazard armour
These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).	Эти ключи открывают камеры на арене боя Хазарда (используются в квесте «Арена боя»).	examine	item	Khazard cell keys
A bottle of Khazard's worst brew.	Бутылка худшего пива от Khazard.	examine	item	Khali brew
Can only be fired from yew, magic, dark or twisted bows.	Стрелять можно только из тисовых, магических, темных или крученых луков.	examine	item	Ice arrows
A lever to open something perhaps?	Может быть, рычаг, чтобы что-то открыть?	examine	item	Lever
The power in this staff causes it to vibrate gently.	Сила этого посоха заставляет его мягко вибрировать.	examine	item	Staff of armadyl
It catches the light! (Quick access into the Temple of Ikov).	Он ловит свет! (Быстрый доступ в Храм Икова).	examine	item	Shiny key
An amulet made by Lucien.	Амулет, сделанный Люсьеном.	examine	item	Pendant of lucien
Worn by followers of Armadyl.	Носят последователи Армадила.	examine	item	Armadyl pendant
Magic boots that make you lighter than normal.	Волшебные ботинки, которые сделают вас легче обычного.	examine	item	Boots of lightness
It's very soft!	Он очень мягкий!	examine	item	Child's blanket
I need another ingredient to finish this Guam potion.	Мне нужен еще один ингредиент, чтобы закончить это зелье Гуама.	examine	item	Guam potion (unf)
I need another ingredient to finish this Marrentill potion.	Мне нужен еще один ингредиент, чтобы закончить это зелье Маррентилла.	examine	item	Marrentill potion (unf)
I need another ingredient to finish this Tarromin potion.	Мне нужен еще один ингредиент, чтобы закончить это зелье Тарромина.	examine	item	Tarromin potion (unf)
I need another ingredient to finish this Harralander potion.	Мне нужен еще один ингредиент, чтобы закончить это зелье Харралендера.	examine	item	Harralander potion (unf)
I need another ingredient to finish this Ranarr potion.	Мне нужен еще один ингредиент, чтобы закончить это зелье Ранарра.	examine	item	Ranarr potion (unf)
I need another ingredient to finish this Irit potion.	Мне нужен еще один ингредиент, чтобы закончить это зелье Ирита.	examine	item	Irit potion (unf)
I need another ingredient to finish this Avantoe potion.	Мне нужен еще один ингредиент, чтобы закончить это зелье Авантоэ.	examine	item	Avantoe potion (unf)
I need another ingredient to finish this Kwuarm potion.	Мне нужен еще один ингредиент, чтобы закончить это зелье Квуарма.	examine	item	Kwuarm potion (unf)
