english	translation	category	sub_category	source
All	Все	interface	chatButtons	
Game 	 Игра	interface	chatButtons	
Public 	 Публичный	interface	chatButtons	
Private 	 Частный	interface	chatButtons	
 On	 На	interface	chatButtons	
Channel 	 Канал	interface	chatButtons	
Clan 	 Клан	interface	chatButtons	
Trade 	 Торговля	interface	chatButtons	
Group 	 Группа	interface	chatButtons	
 <colNum0>Autochat</col>	 <colNum0>Авточат</col>	interface	chatButtons	
 <colNum0>Friends</col>	 <colNum0>Друзья</col>	interface	chatButtons	
 <colNum0>Filtered</col>	 <colNum0>Отфильтровано</col>	interface	chatButtons	
 <colNum0>Hide</col>	 <colNum0>Скрыть</col>	interface	chatButtons	
 <colNum0>Off</col>	 <colNum0>Выкл</col>	interface	chatButtons	
Combat Achievements - Overview	Боевые достижения - Обзор	interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points	Всего очков: <Num0> - Следующая разблокировка через <Num1> очков	interface	combAchvmt	
Difficulty Tiers	Уровни сложности	interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>	Боевой профиль - <!PLAYER_NAME0>	interface	combAchvmt	
Easy	Легкий	interface	combAchvmt	
Medium	Середина	interface	combAchvmt	
Hard	Жесткий	interface	combAchvmt	
Elite	Элита	interface	combAchvmt	
Master	Владелец	interface	combAchvmt	
Grandmaster	Гроссмейстер	interface	combAchvmt	
Tasks Completed:	Выполненные задачи:	interface	combAchvmt	
Boss Kill Count:	Количество убийств боссов:	interface	combAchvmt	
Skilling Boss Kill Count:	Количество убийств боссов Skilling:	interface	combAchvmt	
Raid Completions:	Завершения рейдов:	interface	combAchvmt	
Top Boss:	Главный босс:	interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)	<!ANY_TRANSLATED0> (<Num0>)	interface	combAchvmt	
Top Skilling Boss:	Лучший босс по навыкам:	interface	combAchvmt	
Top Raid:	Лучший рейд:	interface	combAchvmt	
Nothing!	Ничего!	interface	combAchvmt	
Overview	Обзор	interface	combAchvmt	
Tasks	Задачи	interface	combAchvmt	
Bosses	Боссы	interface	combAchvmt	
Rewards	Награды	interface	combAchvmt	
Combat Achievements - Tasks	Боевые достижения - Задачи	interface	combAchvmt	
There are no tasks available to you that match your filters.	Нет доступных вам задач, соответствующих вашим фильтрам.	interface	combAchvmt	
Filters	Фильтры	interface	combAchvmt	
Tier:	Уровень:	interface	combAchvmt	
All	Все	interface	combAchvmt	
Type:	Тип:	interface	combAchvmt	
Monster:	Монстр:	interface	combAchvmt	
Completed:	Завершенный:	interface	combAchvmt	
Monster: <colNum0><!ANY_TRANSLATED0></col>	Монстр: <colNum0><!ANY_TRANSLATED0></col>	interface	combAchvmt	
Noxious Foe	Вредный враг	interface	combAchvmt	
Barrows Novice	Новичок Барроус	interface	combAchvmt	
Defence? What Defence?	Защита? Какая защита?	interface	combAchvmt	
Big, Black and Fiery	Большой, черный и огненный	interface	combAchvmt	
The Demonic Punching Bag	Демоническая боксерская груша	interface	combAchvmt	
Bryophyta Novice	Бриофиты Новичок	interface	combAchvmt	
Protection from Moss	Защита от мха	interface	combAchvmt	
Preparation Is Key	Подготовка — это ключ	interface	combAchvmt	
A Slow Death	Медленная смерть	interface	combAchvmt	
Fighting as Intended II	Сражаться по назначению II	interface	combAchvmt	
Deranged Archaeologist Novice	Ненормальный археолог-новичок	interface	combAchvmt	
The Walking Volcano	Ходячий вулкан	interface	combAchvmt	
Into the Den of Giants	В логово великанов	interface	combAchvmt	
A Greater Foe	Великий враг	interface	combAchvmt	
Not So Great After All	Не все так уж и здорово	interface	combAchvmt	
A Demon's Best Friend	Лучший друг демона	interface	combAchvmt	
Obor Novice	Обор Новичок	interface	combAchvmt	
Sleeping Giant	Спящий великан	interface	combAchvmt	
Fighting as Intended	Борьба, как задумано	interface	combAchvmt	
King Black Dragon Novice	Король Черный Дракон Новичок	interface	combAchvmt	
A Scaley Encounter	Чешуйчатая встреча	interface	combAchvmt	
Shayzien Protector	Шайзиен Защитник	interface	combAchvmt	
Giant Mole Novice	Гигантский крот-новичок	interface	combAchvmt	
Sarachnis Novice	Сарахнис Новичок	interface	combAchvmt	
Wintertodt Novice	Новичок Винтертодта	interface	combAchvmt	
Mummy!	Мама!	interface	combAchvmt	
Handyman	Разнорабочий	interface	combAchvmt	
Cosy	Уютный	interface	combAchvmt	
A Slithery Encounter	Скользкая встреча	interface	combAchvmt	
Tempoross Novice	Темпоросс Новичок	interface	combAchvmt	
Master of Buckets	Мастер вёдер	interface	combAchvmt	
Calm Before the Storm	Затишье перед бурей	interface	combAchvmt	
Fire in the Hole!	Пожар в яме!	interface	combAchvmt	
Scurrius Novice	Скурриус Новичок	interface	combAchvmt	
Sit Rat	Сидеть Крыса	interface	combAchvmt	
One by one	Один за другим	interface	combAchvmt	
Elemental Company	Элементарная компания	interface	combAchvmt	
Let them fight	Пусть они дерутся.	interface	combAchvmt	
Sit Back and Relax	Устройтесь поудобнее и расслабьтесь	interface	combAchvmt	
Barrows Champion	Чемпион Барроуз	interface	combAchvmt	
Can't Touch Me	Не Можешь Прикоснуться Ко Мне	interface	combAchvmt	
Pray for Success	Молитесь об успехе	interface	combAchvmt	
Brutal, Big, Black and Firey	Брутальный, большой, черный и огненный	interface	combAchvmt	
Bryophyta Champion	Чемпион по бриофитам	interface	combAchvmt	
Quick Cutter	Быстрый резак	interface	combAchvmt	
Demonic Weakening	Демоническое Ослабление	interface	combAchvmt	
Demonbane Weaponry	Оружие Демонбейна	interface	combAchvmt	
Chaos Fanatic Champion	Чемпион фанатиков хаоса	interface	combAchvmt	
Sorry, What Was That?	Извините, что это было?	interface	combAchvmt	
Crazy Archaeologist Champion	Безумный чемпион археологов	interface	combAchvmt	
Mage of the Ruins	Маг Руин	interface	combAchvmt	
I'd Rather Not Learn	Я бы предпочел не учиться	interface	combAchvmt	
Deranged Archaeologist Champion	Чемпион по безумным археологам	interface	combAchvmt	
Mage of the Swamp	Маг Болота	interface	combAchvmt	
I'd Rather Be Illiterate	Я бы предпочел быть неграмотным	interface	combAchvmt	
A Smashing Time	Убойное время	interface	combAchvmt	
Obor Champion	Чемпион Обор	interface	combAchvmt	
Back to the Wall	Назад к стене	interface	combAchvmt	
Squashing the Giant	Раздавить гиганта	interface	combAchvmt	
King Black Dragon Champion	Чемпион Короля Черного Дракона	interface	combAchvmt	
Claw Clipper	Машинка для стрижки когтей	interface	combAchvmt	
Hide Penetration	Скрыть проникновение	interface	combAchvmt	
Antifire Protection	Противопожарная защита	interface	combAchvmt	
Master of Broad Weaponry	Мастер широкого оружия	interface	combAchvmt	
Giant Mole Champion	Чемпион по гигантским кротам	interface	combAchvmt	
Avoiding Those Little Arms	Избегая этих маленьких рук	interface	combAchvmt	
Dagannoth Prime Champion	Чемпион Премьер-лиги Даганнота	interface	combAchvmt	
Dagannoth Rex Champion	Чемпион Даганнот Рекс	interface	combAchvmt	
A Frozen King	Замороженный король	interface	combAchvmt	
Sarachnis Champion	Чемпион Сарахниса	interface	combAchvmt	
Newspaper Enthusiast	Газетный энтузиаст	interface	combAchvmt	
A Frozen Foe from the Past	Замороженный враг из прошлого	interface	combAchvmt	
Dagannoth Supreme Champion	Верховный Чемпион Даганнота	interface	combAchvmt	
Wintertodt Champion	Чемпион Винтертодта	interface	combAchvmt	
Can We Fix It?	Можем ли мы это исправить?	interface	combAchvmt	
Leaving No One Behind	Не оставляя никого позади	interface	combAchvmt	
Skotizo Champion	Чемпион Скотизо	interface	combAchvmt	
Tempoross Champion	Чемпион Темпоросса	interface	combAchvmt	
The Lone Angler	Одинокий рыболов	interface	combAchvmt	
Scurrius Champion	Чемпион Скурриуса	interface	combAchvmt	
Perfect Scurrius	Идеальный Скурриус	interface	combAchvmt	
Efficient Pest Control	Эффективная борьба с вредителями	interface	combAchvmt	
Lunar Triplet	Лунный триплет	interface	combAchvmt	
Perilous Novice	Опасный новичок	interface	combAchvmt	
Back to Our Roots	Возвращаемся к нашим корням	interface	combAchvmt	
Moons of Peril Speed-Trialist	Moons of Peril Speed-Trialist	interface	combAchvmt	
Hueycoatl Champion	Чемпион Уэйкоатля	interface	combAchvmt	
You're a wizard	Ты волшебник.	interface	combAchvmt	
Amoxliatl Champion	Чемпион Амокслиатль	interface	combAchvmt	
Temotli Triumph	Триумф Темотли	interface	combAchvmt	
Royal Titan Champion	Королевский Титан Чемпион	interface	combAchvmt	
Royal Titan Adept	Королевский титан-адепт	interface	combAchvmt	
It takes too long	Это займет слишком много времени.	interface	combAchvmt	
Abyssal Adept	Адепт Бездны	interface	combAchvmt	
They Grow Up Too Fast	Они растут слишком быстро	interface	combAchvmt	
Don't Whip Me	Не бейте меня	interface	combAchvmt	
Don't Stop Moving	Не прекращайте движение	interface	combAchvmt	
Kree'arra Adept	Адепт Кри'арра	interface	combAchvmt	
Airborne Showdown	Воздушно-десантные бои	interface	combAchvmt	
General Graardor Adept	Генерал Граардор Адепт	interface	combAchvmt	
Ourg Freezer	Наш Морозильник	interface	combAchvmt	
General Showdown	Генеральная битва	interface	combAchvmt	
Just Like That	Просто так	interface	combAchvmt	
Faithless Crypt Run	Faithless Crypt Run	interface	combAchvmt	
Callisto Adept	Каллисто Адепт	interface	combAchvmt	
Skotizo Adept	Скотизо Адепт	interface	combAchvmt	
Chaos Elemental Adept	Адепт стихии Хаоса	interface	combAchvmt	
Hoarder	Накопитель	interface	combAchvmt	
The Flincher	Флинчер	interface	combAchvmt	
Chaos Fanatic Adept	Адепт-фанатик Хаоса	interface	combAchvmt	
Praying to the Gods	Молитва богам	interface	combAchvmt	
Crazy Archaeologist Adept	Сумасшедший археолог-адепт	interface	combAchvmt	
Grotesque Guardians Adept	Гротескные Стражи Адепт	interface	combAchvmt	
Don't Look at the Eclipse	Не смотрите на затмение	interface	combAchvmt	
Prison Break	Побег из тюрьмы	interface	combAchvmt	
Granite Footwork	Гранитный футворк	interface	combAchvmt	
Heal No More	Больше не исцеляйся	interface	combAchvmt	
Static Awareness	Статическое Осознание	interface	combAchvmt	
Hespori Adept	Адепт Геспори	interface	combAchvmt	
Hesporisn't	Hesporisn't	interface	combAchvmt	
Weed Whacker	Уничтожитель сорняков	interface	combAchvmt	
Kalphite Queen Adept	Адепт королевы Кальфитов	interface	combAchvmt	
Chitin Penetrator	Хитиновый пенетратор	interface	combAchvmt	
Who Is the King Now?	Кто теперь король?	interface	combAchvmt	
Kraken Adept	Кракен Адепт	interface	combAchvmt	
Unnecessary Optimisation	Ненужная оптимизация	interface	combAchvmt	
Krakan't Hurt Me	Кракан не причинил мне вреда	interface	combAchvmt	
Why Are You Running?	Почему вы бежите?	interface	combAchvmt	
Whack-a-Mole	Ударь крота	interface	combAchvmt	
Nightmare Adept	Адепт Кошмара	interface	combAchvmt	
Dagannoth Prime Adept	Даганнот Главный Адепт	interface	combAchvmt	
Dagannoth Rex Adept	Даганнот Рекс Адепт	interface	combAchvmt	
Ready to Pounce	Готовы к прыжку	interface	combAchvmt	
Inspect Repellent	Осмотреть репеллент	interface	combAchvmt	
Commander Zilyana Adept	Командир Зилиана Адепт	interface	combAchvmt	
Commander Showdown	Командирский поединок	interface	combAchvmt	
Scorpia Adept	Скорпион Адепт	interface	combAchvmt	
I Can't Reach That	Я не могу этого достичь	interface	combAchvmt	
Guardians No More	Хранителей больше нет	interface	combAchvmt	
Zulrah Adept	Зулрах Адепт	interface	combAchvmt	
Dagannoth Supreme Adept	Даганнот Верховный Адепт	interface	combAchvmt	
Theatre of Blood: SM Adept	Театр Крови: SM Adept	interface	combAchvmt	
Venenatis Adept	Адепт Вененатис	interface	combAchvmt	
Vet'ion Adept	Вет'ион Адепт	interface	combAchvmt	
Why Fletch?	Почему Флетч?	interface	combAchvmt	
K'ril Tsutsaroth Adept	К'рил Цуцарот Адепт	interface	combAchvmt	
Yarr No More	Ярр больше нет	interface	combAchvmt	
Demonic Showdown	Демоническое противостояние	interface	combAchvmt	
Demonbane Weaponry II	Оружие Демонбейна II	interface	combAchvmt	
Dress Like You Mean It	Одевайтесь так, как вы хотите	interface	combAchvmt	
