english	translation	category	sub_category	source
Destroy	Разрушать	inventoryActions	item	Dwarf remains
Drop	Уронить	inventoryActions	item	Cannonball
Read	Читать	inventoryActions	item	Nulodion's notes
Set-up	Настраивать	inventoryActions	item	Cannon base
Blow	Дуть	inventoryActions	item	Magic whistle
Ring	Кольцо	inventoryActions	item	Grail bell
Blow-on	Надувание	inventoryActions	item	Magic gold feather
Extinguish	Потушить	inventoryActions	item	Lit black candle
Wield	Владеть	inventoryActions	item	Excalibur
Wear	Носить	inventoryActions	item	Khazard helmet
Empty	Пустой	inventoryActions	item	Guam potion (unf)
Drink	Напиток	inventoryActions	item	Strength potion(4)
Clean	Чистый	inventoryActions	item	Grimy guam leaf
Eat	Есть	inventoryActions	item	Jangerberries
Equip	Оснастить	inventoryActions	item	Cattleprod
Plant	Растение	inventoryActions	item	Mithril seeds
Open	Открыть	inventoryActions	item	Casket
Throw	Бросать	inventoryActions	item	Bird feed
Bury	Хоронить	inventoryActions	item	Bones
Inspect	Осмотреть	inventoryActions	item	Ghost's skull
Bail-with	Залог-с	inventoryActions	item	Bailing bucket
Activate	Активировать	inventoryActions	item	Locating crystal
Search	Поиск	inventoryActions	item	Panning tray
Polish	польский	inventoryActions	item	Buttons
Look-at	Посмотрите-на	inventoryActions	item	Level 1 certificate
Complete	Полный	inventoryActions	item	Radimus notes
Swing	Качать	inventoryActions	item	Bullroarer
Look	Смотреть	inventoryActions	item	Sketch
Enchant-Vials	Enchant-Фиалы	inventoryActions	item	Binding book
Investigate	Расследовать	inventoryActions	item	Dark dagger
Cast Spell	Заклинание	inventoryActions	item	Holy force
Hold	Держать	inventoryActions	item	Gnomeball
Dig	Копать	inventoryActions	item	Spade
Blackout	Блэкаут	inventoryActions	item	Disk of returning
Check	Проверять	inventoryActions	item	Iban's staff
Locate	Найдите	inventoryActions	item	Air talisman
Rub-together	Потрите вместе	inventoryActions	item	Dry sticks
Study	Изучать	inventoryActions	item	Map part
Rub	Руб	inventoryActions	item	Amulet of glory
Edgeville	Эджвилль	inventoryActions	item	Amulet of glory(1)
Karamja	Карамджа	inventoryActions	item	Amulet of glory(1)
Draynor Village	Деревня Дрейнор	inventoryActions	item	Amulet of glory(1)
Al Kharid	Аль-Харид	inventoryActions	item	Amulet of glory(1)
Tan Leather	Загорелая кожа	inventoryActions	item	Leather
Empty Bowl	Пустая миска	inventoryActions	item	Burnt stew
Mix-cocktail	Микс-коктейль	inventoryActions	item	Cocktail shaker
Remove-legs	Удалить-ноги	inventoryActions	item	Swamp toad
Prepare	Подготовить	inventoryActions	item	Half baked bowl
Empty Tray	Пустой лоток	inventoryActions	item	Burnt crunchies
Empty Tin	Пустая банка	inventoryActions	item	Burnt batta
Empty Dish	Пустая тарелка	inventoryActions	item	Burnt pie
Guzzle	Жрать	inventoryActions	item	Rock cake
Play-with	Играть-с	inventoryActions	item	Brown toy horsey
