english	translation	category	sub_category	source
Dwarf remains	Останки карлика	name	item	Dwarf remains
Toolkit	Инструментарий	name	item	Toolkit
Cannonball	Пушечное ядро	name	item	Cannonball
Nulodion's notes	Заметки Нулодиона	name	item	Nulodion's notes
Ammo mould	Форма для боеприпасов	name	item	Ammo mould
Instruction manual	Инструкция по эксплуатации	name	item	Instruction manual
Cannon base	База пушки	name	item	Cannon base
Cannon stand	Стойка для пушек	name	item	Cannon stand
Cannon barrels	Стволы пушек	name	item	Cannon barrels
Cannon furnace	Пушечная печь	name	item	Cannon furnace
Railing	Перила	name	item	Railing
Holy table napkin	Салфетка для священного стола	name	item	Holy table napkin
Magic whistle	Волшебный свисток	name	item	Magic whistle
Grail bell	колокольчик Грааля	name	item	Grail bell
Magic gold feather	Волшебное золотое перо	name	item	Magic gold feather
Holy grail	Святой Грааль	name	item	Holy grail
White cog	Белая шестеренка	name	item	White cog
Black cog	Черная шестеренка	name	item	Black cog
Blue cog	Синяя шестеренка	name	item	Blue cog
Red cog	Красная шестеренка	name	item	Red cog
Rat poison	Крысиный яд	name	item	Rat poison
Red vine worm	Красный виноградный червь	name	item	Red vine worm
Fishing trophy	Рыболовный трофей	name	item	Fishing trophy
Fishing pass	Пропуск на рыбалку	name	item	Fishing pass
Insect repellent	Средство от насекомых	name	item	Insect repellent
Bucket of wax	Ведро воска	name	item	Bucket of wax
Lit black candle	Зажженная черная свеча	name	item	Lit black candle
Lit candle	Зажженная свеча	name	item	Lit candle
Excalibur	Экскалибур	name	item	Excalibur
Candle	Свеча	name	item	Candle
Black candle	Черная свеча	name	item	Black candle
Bronze arrowtips	Бронзовые наконечники стрел	name	item	Bronze arrowtips
Iron arrowtips	Железные наконечники стрел	name	item	Iron arrowtips
Steel arrowtips	Стальные наконечники стрел	name	item	Steel arrowtips
Mithril arrowtips	Мифриловые наконечники стрел	name	item	Mithril arrowtips
Adamant arrowtips	Адамантовые наконечники стрел	name	item	Adamant arrowtips
Rune arrowtips	Рунические наконечники стрел	name	item	Rune arrowtips
Opal bolt tips	Опаловые наконечники болтов	name	item	Opal bolt tips
Pearl bolt tips	Перламутровые наконечники болтов	name	item	Pearl bolt tips
Barb bolttips	Наконечники болтов с зазубринами	name	item	Barb bolttips
Longbow (u)	Длинный лук (u)	name	item	Longbow (u)
Shortbow (u)	Короткий лук (u)	name	item	Shortbow (u)
Arrow shaft	Древко стрелы	name	item	Arrow shaft
Headless arrow	Стрела без наконечника	name	item	Headless arrow
Oak shortbow (u)	Дубовый короткий лук (u)	name	item	Oak shortbow (u)
Oak longbow (u)	Дубовый длинный лук (u)	name	item	Oak longbow (u)
Willow longbow (u)	Длинный лук Willow (u)	name	item	Willow longbow (u)
Willow shortbow (u)	Короткий лук Willow (u)	name	item	Willow shortbow (u)
Maple longbow (u)	Длинный кленовый лук (u)	name	item	Maple longbow (u)
Maple shortbow (u)	Короткий лук из клена (u)	name	item	Maple shortbow (u)
Yew longbow (u)	Тисовый длинный лук (u)	name	item	Yew longbow (u)
Yew shortbow (u)	Короткий лук из тиса (u)	name	item	Yew shortbow (u)
Magic longbow (u)	Волшебный длинный лук (u)	name	item	Magic longbow (u)
Magic shortbow (u)	Волшебный короткий лук (u)	name	item	Magic shortbow (u)
Khazard helmet	Шлем Хазард	name	item	Khazard helmet
Khazard armour	броня Хазарда	name	item	Khazard armour
Khazard cell keys	Ключи от ячейки Khazard	name	item	Khazard cell keys
Khali brew	Пиво Хали	name	item	Khali brew
Ice arrows	Ледяные стрелы	name	item	Ice arrows
Lever	Рычаг	name	item	Lever
Staff of armadyl	Посох армадила	name	item	Staff of armadyl
Shiny key	Блестящий ключ	name	item	Shiny key
