english	translation	category	sub_category	source
Hello.	Merhaba.	dialogue	'Beedy-eye' Jones	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?	Ah, size iyi günler ! Yüzünüz tanidik gelmedi, acaba Lunar Adasi'ndaki gemide bize katilmis olabilir misiniz?	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No, Lokar offered me a lift in Rellekka actually.	Hayir, aslinda Lokar beni Rellekka'ya birakmayi teklif etti.	dialogue	'Beedy-eye' Jones	Player
Oh, really? You don't look like a Fremennik to me!	Oh, gercekten mi? Bana bir Fremennik gibi görünmediniz!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well... I kind of am, and I kind of aren't. It's a long story.	Sey... Bir bakima öyleyim, bir bakima da degilim. Bu uzun bir hikaye.	dialogue	'Beedy-eye' Jones	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!	O zaman dinleyecek vaktim olmadigi icin üzgünüm! Görüsürüz genc fremennik-gercekte-fremennik-olmayan!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
'Bye.	Güle güle.	dialogue	'Beedy-eye' Jones	Player
Aren't you a little short for a pirate?	Bir korsan icin biraz kisa degil misin?	dialogue	'Beedy-eye' Jones	Player
My mother was a gnome. Apparently it was a very painful birth.	Annem bir gnomdu. Görünüse göre cok sancili bir dogum olmus.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
More info than I wanted, thanks!	Istedigimden daha fazla bilgi, tesekkürler!	dialogue	'Beedy-eye' Jones	Player
ARGH! SOUND THE ALARM! STOWAWAY ON BOARD! STOWAWAY ON BOARD!	ARGH! ALARMI CALIN! KACAK YOLCU GEMIDE! KACAK YOLCU GEMIDE!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No! I'm not a stowaway! Honest! I was invited here!	Hayir! Ben kacak yolcu degilim! Ben kacak yolcu degilim! Dürüst ol! Buraya davet edildim!	dialogue	'Beedy-eye' Jones	Player
Oh, sorry, my mistake then.	Oh, üzgünüm, benim hatam o zaman.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You must admit you do look a lot like a stowaway though.	Yine de bir kacak yolcuya cok benzedigini kabul etmelisin.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Why, what do they usually look like?	Neden, genelde neye benzerler?	dialogue	'Beedy-eye' Jones	Player
Erm... I've never actually met one...	Sey... Aslinda hic biriyle tanismadim.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Okay then...	Tamam o zaman.	dialogue	'Beedy-eye' Jones	Player
Brrrr! Its cold up here!	Brrrr! Burasi cok soguk!	dialogue	'Beedy-eye' Jones	Player
You think this is cold? Up by Acheron it gets so cold that when you talk you see the words freeze in the air in front of you!	Sence burasi soguk mu? Acheron'un yukarisi o kadar soguk olur ki konusurken kelimelerin havada dondugunu görürsün!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
REALLY?	GERCEKTEN MI?	dialogue	'Beedy-eye' Jones	Player
Nah, not really. I was exaggerating for humourous effect. It is very very cold though!	Hayir, gercekten degil. Espri olsun diye abartiyordum. Yine de cok cok soguk!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello.	Merhaba.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
So... You're a pirate, huh?	Demek korsansin, ha?	dialogue	'Beedy-eye' Jones	Player
It's what it says on my pay-packet at the end of the month.	Ay sonunda maas paketimde yazan bu.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
How's that working out for you?	Senin icin nasil gidiyor?	dialogue	'Beedy-eye' Jones	Player
Pretty good so far. All the grog and loot that we can plunder, plus full medical including dental.	Simdiye kadar oldukca iyi. Yagmalayabilecegimiz kadar icki ve yagma, arti dis dahil tam saglik sigortasi.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You mean you have insurance?	Yani sigortan mi var?	dialogue	'Beedy-eye' Jones	Player
Not as such. If any of us get sick we kidnap a doctor and don't let him go until we're better.	Öyle degil. Eger birimiz hastalanirsa bir doktor kaciririz ve iyilesene kadar gitmesine izin vermeyiz.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You'd be surprised what an incentive for expert health care that is.	Bunun uzman saglik hizmetleri icin nasil bir tesvik oldugunu bilseniz sasarsiniz.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I can imagine.	Hayal edebiliyorum.	dialogue	'Beedy-eye' Jones	Player
Hello there. So what brings you aboard the Lady Zay?	Merhaba. Sizi Lady Zay'e getiren nedir?	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well, I was planning on visiting the Moon Clan, but I have to say your ship is very impressive.	Ay Klani'ni ziyaret etmeyi planliyordum ama geminizin cok etkileyici oldugunu söylemeliyim.	dialogue	'Beedy-eye' Jones	Player
Aye, she's a beauty alright! The Lady Zay has been my home for many hard months, through storm and sun, and she always gets us to here we were headed!	Evet, cok güzel! Leydi Zay, firtina ve günesle gecen zorlu aylar boyunca benim evim oldu ve bizi her zaman gidecegimiz yere ulastirdi!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Yes, she's certainly one of the finest boats I've seen on my travels!	Evet, kesinlikle seyahatlerimde gördügüm en iyi teknelerden biri!	dialogue	'Beedy-eye' Jones	Player
That she is [lad/lass], that she is.	Iste öyle , iste öyle.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello to you too.	Size de merhaba.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Yar! We be pirates, yar! Avast, ye scurvy land-lubbing lychee!	Yar! Biz korsaniz, yar! Avast, seni igrenc karaci lychee!	dialogue	'Beedy-eye' Jones	Player
Please don't talk like that, it is extremely irritating.	Lütfen böyle konusma, son derece rahatsiz edici.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Also, please don't call me a lychee, whatever that may be.	Ayrica, lütfen bana lici demeyin, ne olursa olsun.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Oh. Okay. Sorry.	Oh. Tamam. Özür dilerim.	dialogue	'Beedy-eye' Jones	Player
So how's life as a pirate?	Bir korsan olarak hayat nasil?	dialogue	'Beedy-eye' Jones	Player
What kind of question is that? How's life as a... I dunno. Whatever it is that you do for a living.	Ne bicim bir soru bu? Hayat nasil... Bilmiyorum. Yasamak icin her ne yapiyorsan.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm a freelance troubleshooter.	Ben serbest calisan bir sorun gidericiyim.	dialogue	'Beedy-eye' Jones	Player
What does that entail then?	Bu neyi gerektiriyor o zaman?	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Mostly killing things for money and delivering items around the planet for people.	Cogunlukla para icin bir seyleri öldürmek ve insanlar icin gezegenin dört bir yanina esya teslim etmek.	dialogue	'Beedy-eye' Jones	Player
I collect stuff.	Bir seyler topluyorum.	dialogue	'Beedy-eye' Jones	Player
So how's that life?	Hayat nasil peki?	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Can't complain, can't complain...	Sikayet edemem, sikayet edemem.	dialogue	'Beedy-eye' Jones	Player
Well, there you go.	Iste böyle.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Sorry, can't stop, the Captain will have my guts for garters if he catches me slacking off talking to the stowaway.	Üzgünüm, duramam. Kaptan beni kacak yolcuyla konusurken yakalarsa bagirsaklarimi jartiyer yapar.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm not a stowaway! I was invited aboard!	Ben kacak yolcu degilim! Gemiye davet edildim!	dialogue	'Beedy-eye' Jones	Player
Yeah, whatever [guy/lady], it doesn't really matter who you are I'll get in trouble!	Evet, her neyse , kim oldugun gercekten önemli degil, basim belaya girecek!	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You know, I've always wondered what life as a pirate actually entails.	Biliyor musun, hep bir korsan olarak yasamin gercekte ne gerektirdigini merak etmisimdir.	dialogue	'Beedy-eye' Jones	Player
Well, at the moment it mostly involves being asked random questions by a stowaway.	Su anda cogunlukla bir kacak yolcu tarafindan rastgele sorular sorulmasini iceriyor.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
I'm not a stowaway! I was invited aboard! By Lokar! Ask him!	Ben kacak yolcu degilim! Gemiye davet edildim! Lokar tarafindan! Ona sor!	dialogue	'Beedy-eye' Jones	Player
Hey, whatever [love/pal]. Just make sure the captain doesn't catch you, pirates don't like stowaways much.	Hey, her neyse . Sadece kaptanin seni yakalamadigindan emin ol, korsanlar kacak yolculari pek sevmezler.	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
What are you cooking?	Ne pisiriyorsun?	dialogue	'Beefy' Burns	Player
My speciality! What else could I be cooking?	Benim spesiyalitemi! Baska ne pisiriyor olabilirim ki?	dialogue	'Beefy' Burns	'Beefy' Burns
Ok, and your speciality is...?	Tamam, peki senin uzmanlik alanin...?	dialogue	'Beefy' Burns	Player
Boiled shark guts with a hint of rosemary and a dash of squid ink.	Biraz biberiye ve bir tutam kalamar mürekkebiyle haslanmis köpekbaligi bagirsagi.	dialogue	'Beefy' Burns	'Beefy' Burns
I think I'll stick to making my own food.	Sanirim kendi yemegimi yapmaya devam edecegim.	dialogue	'Beefy' Burns	Player
Your loss!	Senin kaybin!	dialogue	'Beefy' Burns	'Beefy' Burns
Hello.	Merhaba.	dialogue	'Betty' B.Boppin	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?	Ah, size iyi günler! Yüzünüz tanidik gelmedi, Lunar Adasi'ndaki gemide bize katilmis olabilir misiniz?	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
No, Lokar offered me a lift in Rellekka actually.	Hayir, aslinda Lokar beni Rellekka'ya birakmayi teklif etti.	dialogue	'Betty' B.Boppin	Player
Oh, really? You don't look like a Fremennik to me!	Oh, gercekten mi? Bana bir Fremennik gibi görünmediniz!	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Well... I kind of am, and I kind of aren't. It's a long story.	Sey... Bir bakima öyleyim, bir bakima da degilim. Bu uzun bir hikaye.	dialogue	'Betty' B.Boppin	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!	O zaman dinleyecek vaktim olmadigi icin üzgünüm! Görüsürüz genc fremennik-gercekte-fremennik-olmayan!	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
'Bye.	Hosca kal.	dialogue	'Betty' B.Boppin	Player
You know, I've always wondered what life as a pirate actually entails.	Biliyor musun, bir korsan olarak hayatin gercekte ne gerektirdigini hep merak etmisimdir.	dialogue	'Betty' B.Boppin	Player
Well, at the moment it mostly involves being asked random questions by a stowaway.	Su anda cogunlukla bir kacak yolcu tarafindan rastgele sorular sorulmasini iceriyor.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
I'm not a stowaway! I was invited aboard! By Lokar! Ask him!	Ben kacak yolcu degilim! Gemiye davet edildim! Lokar tarafindan! Ona sor!	dialogue	'Betty' B.Boppin	Player
Hey, whatever [love/pal]. Just make sure the captain doesn't catch you, pirates don't like stowaways much.	Hey, her neyse . Sadece kaptanin seni yakalamadigindan emin ol, korsanlar kacak yolculari pek sevmezler.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Brrrr! Its cold up here!	Brrrr! Burasi cok soguk!	dialogue	'Betty' B.Boppin	Player
You think this is cold? Up by Acheron it gets so cold that when you talk you see the words freeze in the air in front of you!	Sence burasi soguk mu? Acheron'un yukarisi o kadar soguk olur ki konusurken kelimelerin önünüzdeki havada dondugunu görürsünüz!	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
REALLY?	GERCEKTEN MI?	dialogue	'Betty' B.Boppin	Player
Nah, not really. I was exaggerating for humourous effect. It is very very cold though!	Hayir, pek sayilmaz. Espri olsun diye abartiyordum. Yine de cok cok soguk!	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Sorry, can't stop, the Captain will have my guts for garters if he catches me slacking off talking to the stowaway.	Üzgünüm, duramam, Kaptan beni kacak yolcuyla konusurken yakalarsa bagirsaklarimi jartiyer yapar.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
I'm not a stowaway! I was invited aboard!	Ben kacak yolcu degilim! Gemiye davet edildim!	dialogue	'Betty' B.Boppin	Player
Yeah, whatever [guy/lady], it doesn't really matter who you are I'll get in trouble!	Evet, her neyse , kim oldugun önemli degil, basim belaya girecek!	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Hello.	Merhaba.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
So... You're a pirate, huh?	Demek korsansin, ha?	dialogue	'Betty' B.Boppin	Player
It's what it says on my pay-packet at the end of the month.	Ay sonunda maas paketimde öyle yaziyor.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
How's that working out for you?	Senin icin nasil gidiyor?	dialogue	'Betty' B.Boppin	Player
Pretty good so far. All the grog and loot that we can plunder, plus full medical including dental.	Simdiye kadar oldukca iyi. Yagmalayabilecegimiz kadar icki ve yagma, arti dis dahil tam saglik sigortasi.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
You mean you have insurance?	Yani sigortan mi var?	dialogue	'Betty' B.Boppin	Player
Not as such. If any of us get sick we kidnap a doctor and don't let him go until we're better.	Öyle degil. Eger birimiz hastalanirsa bir doktor kaciririz ve iyilesene kadar gitmesine izin vermeyiz.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
You'd be surprised what an incentive for expert health care that is.	Bunun uzman saglik hizmeti icin nasil bir tesvik oldugunu bilseniz sasarsiniz.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
I can imagine.	Hayal edebiliyorum.	dialogue	'Betty' B.Boppin	Player
Hello there. So what brings you aboard the Lady Zay?	Merhaba. Sizi Lady Zay'e getiren nedir?	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Well, I was planning on visiting the Moon Clan, but I have to say your ship is very impressive.	Ay Klani'ni ziyaret etmeyi planliyordum ama geminizin cok etkileyici oldugunu söylemeliyim.	dialogue	'Betty' B.Boppin	Player
Aye, she's a beauty alright! The Lady Zay has been my home for many hard months, through storm and sun, and she always gets us to here we were headed!	Evet, cok güzel! Leydi Zay, firtina ve günesle gecen zorlu aylar boyunca benim evim oldu ve bizi her zaman gidecegimiz yere ulastirdi!	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
Yes, she's certainly one of the finest boats I've seen on my travels!	Evet, kesinlikle seyahatlerimde gördügüm en iyi teknelerden biri!	dialogue	'Betty' B.Boppin	Player
That she is [lad/lass], that she is.	Evet, öyle.	dialogue	'Betty' B.Boppin	'Betty' B.Boppin
So how's life as a pirate?	Peki bir korsan olarak hayat nasil?	dialogue	'Betty' B.Boppin	Player
