english	translation	category	sub_category	source
Destroy	Yok et	inventoryActions	item	Dwarf remains
Drop	Birak	inventoryActions	item	Cannonball
Read	Oku	inventoryActions	item	Nulodion's notes
Set-up	Kur	inventoryActions	item	Cannon base
Blow	Üfle	inventoryActions	item	Magic whistle
Ring	cal	inventoryActions	item	Grail bell
Blow-on	Üfle	inventoryActions	item	Magic gold feather
Extinguish	Söndür	inventoryActions	item	Lit black candle
Wield	Kavra	inventoryActions	item	Excalibur
Wear	Giy	inventoryActions	item	Khazard helmet
Empty	Bosalt	inventoryActions	item	Guam potion (unf)
Drink	Ic	inventoryActions	item	Strength potion(4)
Clean	Temizle	inventoryActions	item	Grimy guam leaf
Eat	Ye	inventoryActions	item	Jangerberries
Equip	Donan	inventoryActions	item	Cattleprod
Plant	Dik	inventoryActions	item	Mithril seeds
Open	Ac	inventoryActions	item	Casket
Throw	At	inventoryActions	item	Bird feed
Bury	Göm	inventoryActions	item	Bones
Inspect	Incele	inventoryActions	item	Ghost's skull
Bail-with	Su topla	inventoryActions	item	Bailing bucket
Activate	Etkinlestir	inventoryActions	item	Locating crystal
Search	Ara	inventoryActions	item	Panning tray
Polish	Cilala	inventoryActions	item	Buttons
Look-at	Bak	inventoryActions	item	Level 1 certificate
Complete	Tamamla	inventoryActions	item	Radimus notes
Swing	Salla	inventoryActions	item	Bullroarer
Look	Bak	inventoryActions	item	Sketch
Enchant-Vials	siseleri-Enfsunla	inventoryActions	item	Binding book
Investigate	Arastir	inventoryActions	item	Dark dagger
Cast Spell	Büyü Yap	inventoryActions	item	Holy force
Hold	Tut	inventoryActions	item	Gnomeball
Dig	Kaz	inventoryActions	item	Spade
Blackout	Karartma	inventoryActions	item	Disk of returning
Check	Kontrol Et	inventoryActions	item	Iban's staff
Locate	Bul	inventoryActions	item	Air talisman
Rub-together	Sürt	inventoryActions	item	Dry sticks
Study	calis	inventoryActions	item	Map part
Rub	Sürt	inventoryActions	item	Amulet of glory
Edgeville		inventoryActions	item	Amulet of glory(1)
