english	translation	category	sub_category	source
Barbarian Assault	Barbar Saldırısı	manual	activity	
Blast Furnace	Yüksek fırın	manual	activity	
Castle Wars	Kale Savaşları	manual	activity	
Fishing Trawler	Balıkçı Trolü	manual	activity	
Burthorpe Games Room	Burthorpe Oyun Odası	manual	activity	
Nightmare Zone	Kabus Bölgesi	manual	activity	
Pest Control	Haşere Kontrolü	manual	activity	
Rat Pits	Fare Çukurları	manual	activity	
Shades of Mort'ton	Mort'ton'un Tonları	manual	activity	
Trouble Brewing	Sorun Çıkıyor	manual	activity	
TzHaar Fight Pit	TzHaar Dövüş Çukuru	manual	activity	
Shield of Arrav	Arrav Kalkanı	manual	activity	
Clan Wars	Klan Savaşları	manual	activity	
Giants' Foundry	Devlerin Dökümhanesi	manual	activity	
God Wars	Tanrı Savaşları	manual	activity	
Guardians of the Rift	Yarık Koruyucuları	manual	activity	
Dagannoth Kings	Dagannoth Kings	manual	activity	
Player Owned Houses	Oyuncuya Ait Evler	manual	activity	
Tithe Farm	On Dal Çiftliği	manual	activity	
Last Man Standing	Son Adam Ayakta	manual	activity	
Volcanic Mine	Volkanik Maden	manual	activity	
Theatre of Blood	Kan Tiyatrosu	manual	activity	
Soul Wars	Ruh Savaşları	manual	activity	
Shooting Stars	Kayan Yıldızlar	manual	activity	
Tombs of Amascut	Amascut Mezarları	manual	activity	
Mage Training Arena	Büyücü Eğitim Arenası	manual	activity	
Yes	Evet	manual	emote	
No	HAYIR	manual	emote	
Bow	Yay	manual	emote	
Angry	Sinirli	manual	emote	
Think	Düşünmek	manual	emote	
Wave	Dalga	manual	emote	
Shrug	Omuz silkme	manual	emote	
Cheer	Tezahürat	manual	emote	
Beckon	Çağırmak	manual	emote	
Laugh	Gülmek	manual	emote	
Jump for Joy	Sevinçten Zıpla	manual	emote	
Yawn	Esneme	manual	emote	
Dance	Dans	manual	emote	
Jig	Jig	manual	emote	
Spin	Döndürmek	manual	emote	
Headbang	Kafa sallama	manual	emote	
Cry	Ağlamak	manual	emote	
Blow Kiss	Öpücük Darbesi	manual	emote	
Panic	Panik	manual	emote	
Raspberry	Ahududu	manual	emote	
Clap	Alkış	manual	emote	
Salute	Selam	manual	emote	
Goblin Bow	Goblin Yayı	manual	emote	
Goblin Salute	Goblin Selamı	manual	emote	
Glass Box	Cam Kutu	manual	emote	
Climb Rope	Tırmanma İpi	manual	emote	
Lean	Eğilmek	manual	emote	
Glass Wall	Cam Duvar	manual	emote	
Idea	Fikir	manual	emote	
Stamp	Damga vurmak	manual	emote	
Flap	Kanat	manual	emote	
Slap Head	Tokat Kafası	manual	emote	
Zombie Walk	Zombi Yürüyüşü	manual	emote	
Zombie Dance	Zombi Dansı	manual	emote	
Scared	Korkmuş	manual	emote	
Rabbit Hop	Tavşan Zıplaması	manual	emote	
Skill Cape	Beceri Pelerini	manual	emote	
Zombie Hand	Zombi Eli	manual	emote	
Air Guitar	Hava Gitarı	manual	emote	
Sit up	Otur	manual	emote	
Push up	Şınav	manual	emote	
Star jump	Yıldız atlayışı	manual	emote	
Jog	Koşu	manual	emote	
Flex	Esnek	manual	emote	
Hypermobile Drinker	Hipermobil İçici	manual	emote	
Uri transform	Uri dönüşümü	manual	emote	
Smooth dance	Yumuşak dans	manual	emote	
Crazy dance	Çılgın dans	manual	emote	
Premier Shield	Premier Shield	manual	emote	
Explore	Keşfetmek	manual	emote	
Relic unlock	Kalıntı kilidini aç	manual	emote	
Party	Parti	manual	emote	
Trick	Kandırmak	manual	emote	
Fortis Salute	Fortis Salute	manual	emote	
Crab dance	Yengeç dansı	manual	emote	
Sit down	Oturmak	manual	emote	
Bald	Kel	manual	hair_beard	
Dreadlocks	Rastalar	manual	hair_beard	
Long	Uzun	manual	hair_beard	
Medium	Orta	manual	hair_beard	
Tonsure	Başın tepesini traş etmek	manual	hair_beard	
Short	Kısa	manual	hair_beard	
Cropped	Kırpılmış	manual	hair_beard	
Wild spikes	Vahşi dikenler	manual	hair_beard	
Spikes	Sivri uçlar	manual	hair_beard	
Mohawk	Mohawk	manual	hair_beard	
Wind braids	Rüzgar örgüsü	manual	hair_beard	
Quiff	Kıvrım	manual	hair_beard	
Samurai	Samuray	manual	hair_beard	
Princely	Prenslik	manual	hair_beard	
Curtains	Perdeler	manual	hair_beard	
Long curtains	Uzun perdeler	manual	hair_beard	
Front split	Ön bölme	manual	hair_beard	
Tousled	Dağınık	manual	hair_beard	
Side wedge	Yan kama	manual	hair_beard	
Front wedge	Ön kama	manual	hair_beard	
Front spikes	Ön sivri uçlar	manual	hair_beard	
Frohawk	Frohawk	manual	hair_beard	
Rear skirt	Arka etek	manual	hair_beard	
Queue	Sıra	manual	hair_beard	
Bun	Topuz	manual	hair_beard	
Pigtails	At kuyrukları	manual	hair_beard	
Earmuffs	Kulaklıklar	manual	hair_beard	
Side pony	Yan midilli	manual	hair_beard	
Curls	Bukleler	manual	hair_beard	
Ponytail	At kuyruğu	manual	hair_beard	
Braids	Örgüler	manual	hair_beard	
Bunches	Demetler	manual	hair_beard	
Bob	Bob	manual	hair_beard	
Layered	Katmanlı	manual	hair_beard	
Straight	Dümdüz	manual	hair_beard	
Straight Braids	Düz Örgüler	manual	hair_beard	
Two-back	İki arka	manual	hair_beard	
Mullet	Kefal	manual	hair_beard	
Undercut	Alttan kesme	manual	hair_beard	
Low Bun	Düşük Topuz	manual	hair_beard	
Messy Bun	Dağınık Topuz	manual	hair_beard	
Pompadour	Pompadour	manual	hair_beard	
Afro	Afro	manual	hair_beard	
Short locs	Kısa locs	manual	hair_beard	
Spiky Mohawk	Dikenli Mohawk	manual	hair_beard	
Slicked Mohawk	Düzleştirilmiş Mohawk	manual	hair_beard	
Long Quiff	Uzun perçem	manual	hair_beard	
Short Choppy	Kısa Kesikli	manual	hair_beard	
Side Afro	Yan Afro	manual	hair_beard	
Punk	Punk	manual	hair_beard	
Half-shaved	Yarı tıraşlı	manual	hair_beard	
Fremennik	Fremennik	manual	hair_beard	
Elven	Elf	manual	hair_beard	
Medium Coils	Orta Bobinler	manual	hair_beard	
High ponytail	Yüksek at kuyruğu	manual	hair_beard	
Plaits	Örgüler	manual	hair_beard	
High Bunches	Yüksek Demetler	manual	hair_beard	
		manual	hair_beard	
Goatee	Keçi sakalı	manual	hair_beard	
Handlebar	Gidon	manual	hair_beard	
Moustache	bıyık	manual	hair_beard	
Pointy	Sivri	manual	hair_beard	
Split	Bölmek	manual	hair_beard	
Mutton	Koyun eti	manual	hair_beard	
Full Mutton	Tam Koyun Eti	manual	hair_beard	
Big Moustache	Büyük Bıyık	manual	hair_beard	
Waxed Moustache	Ağdalı Bıyık	manual	hair_beard	
Dali	Dali	manual	hair_beard	
Vizier	Vezir	manual	hair_beard	
	Hiçbiri	manual	hair_beard	
Rimmington	Rimmington	manual	location	
Taverley	Taverley	manual	location	
Pollnivneach	Pollnivneach	manual	location	
Rellekka	Rellekka	manual	location	
Brimhaven	Brimhaven	manual	location	
Yanille	Yanille	manual	location	
Hosidius	Hosidius	manual	location	
Prifddinas	Prifddinas	manual	location	
Ardougne	Ardougne	manual	location	
Desert	Çöl	manual	location	
