english	translation	category	sub_category	source
Dwarf remains	Cüce kalintilari	name	item	Dwarf remains
Toolkit	Alet çantasi	name	item	Toolkit
Cannonball	Top mermisi	name	item	Cannonball
Nulodion's notes	Nulodion'un notlari	name	item	Nulodion's notes
Ammo mould	Mühimmat kalibi	name	item	Ammo mould
Instruction manual	Kullanim kilavuzu	name	item	Instruction manual
Cannon base	Top tabani	name	item	Cannon base
Cannon stand	Top sehpasi	name	item	Cannon stand
Cannon barrels	Top namlulari	name	item	Cannon barrels
Cannon furnace	Top firini	name	item	Cannon furnace
Railing	Korkuluk	name	item	Railing
Holy table napkin	Kutsal masa peçetesi	name	item	Holy table napkin
Magic whistle	Sihirli düdük	name	item	Magic whistle
Grail bell	Kutsal kase çani	name	item	Grail bell
Magic gold feather	Sihirli altin tüy	name	item	Magic gold feather
Holy grail	Kutsal kase	name	item	Holy grail
White cog	Beyaz disli	name	item	White cog
Black cog	Siyah disli	name	item	Black cog
Blue cog	Mavi disli	name	item	Blue cog
Red cog	Kirmizi disli	name	item	Red cog
Rat poison	Fare zehiri	name	item	Rat poison
Red vine worm	Kirmizi asma kurdu	name	item	Red vine worm
Fishing trophy	Balikçilik ödülü	name	item	Fishing trophy
Fishing pass	Balikçilik geçis karti	name	item	Fishing pass
Insect repellent	Böcek kovucu	name	item	Insect repellent
Bucket of wax	Balmumu kovasi	name	item	Bucket of wax
Lit black candle	Yanan siyah mum	name	item	Lit black candle
Lit candle	Yanan mum	name	item	Lit candle
Excalibur	Excalibur	name	item	Excalibur
Candle	Mum	name	item	Candle
Black candle	Siyah mum	name	item	Black candle
Bronze arrowtips	Bronz ok uçlari	name	item	Bronze arrowtips
Iron arrowtips	Demir ok uçlari	name	item	Iron arrowtips
Steel arrowtips	Çelik ok uçlari	name	item	Steel arrowtips
Mithril arrowtips	Mithril ok uçlari	name	item	Mithril arrowtips
Adamant arrowtips	Adamant ok uçlari	name	item	Adamant arrowtips
Rune arrowtips	Rune ok uçlari	name	item	Rune arrowtips
Opal bolt tips	Opal ok uçlari	name	item	Opal bolt tips
Pearl bolt tips	Inci ok uçlari	name	item	Pearl bolt tips
Barb bolttips	Dikenli ok uçlari	name	item	Barb bolttips
Longbow (u)	Uzun yay (u)	name	item	Longbow (u)
Shortbow (u)	Kisa yay (u)	name	item	Shortbow (u)
Arrow shaft	Ok sapi	name	item	Arrow shaft
Headless arrow	Bassiz ok	name	item	Headless arrow
Oak shortbow (u)	Mese kisa yay (u)	name	item	Oak shortbow (u)
Oak longbow (u)	Mese uzun yay (u)	name	item	Oak longbow (u)
Willow longbow (u)	Sögüt uzun yay (u)	name	item	Willow longbow (u)
Willow shortbow (u)	Sögüt kisa yay (u)	name	item	Willow shortbow (u)
Maple longbow (u)	Akçaagaç uzun yay (u)	name	item	Maple longbow (u)
Maple shortbow (u)	Akçaagaç kisa yay (u)	name	item	Maple shortbow (u)
Yew longbow (u)	Porsuk uzun yay (u)	name	item	Yew longbow (u)
Yew shortbow (u)	Porsuk kisa yay (u)	name	item	Yew shortbow (u)
Magic longbow (u)	Sihirli uzun yay (u)	name	item	Magic longbow (u)
Magic shortbow (u)	Sihirli kisa yay (u)	name	item	Magic shortbow (u)
Khazard helmet	Khazard migferi	name	item	Khazard helmet
Khazard armour	Khazard zirhi	name	item	Khazard armour
Khazard cell keys	Khazard hücre anahtarlari	name	item	Khazard cell keys
Khali brew	Khali iksiri	name	item	Khali brew
Ice arrows	Buz oklari	name	item	Ice arrows
Lever	Kaldiraç	name	item	Lever
Staff of armadyl	Armadyl asasi	name	item	Staff of armadyl
Shiny key	Parlak anahtar	name	item	Shiny key
Pendant of lucien	Lucien kolyesi	name	item	Pendant of lucien
Armadyl pendant	Armadyl kolyesi	name	item	Armadyl pendant
Boots of lightness	Hafiflik botlari	name	item	Boots of lightness
Child's blanket	Çocuk battaniyesi	name	item	Child's blanket
Guam potion (unf)	Guam iksiri (unf)	name	item	Guam potion (unf)
Marrentill potion (unf)	Marrentill iksiri (unf)	name	item	Marrentill potion (unf)
Tarromin potion (unf)	Tarromin iksiri (unf)	name	item	Tarromin potion (unf)
Harralander potion (unf)	Harralander iksiri (unf)	name	item	Harralander potion (unf)
Ranarr potion (unf)	Ranarr iksiri (unf)	name	item	Ranarr potion (unf)
Irit potion (unf)	Irit iksiri (unf)	name	item	Irit potion (unf)
Avantoe potion (unf)	Avantoe iksiri (unf)	name	item	Avantoe potion (unf)
Kwuarm potion (unf)	Kwuarm iksiri (unf)	name	item	Kwuarm potion (unf)
Cadantine potion (unf)	Cadantine iksiri (unf)	name	item	Cadantine potion (unf)
Dwarf weed potion (unf)	Cüce otu iksiri (unf)	name	item	Dwarf weed potion (unf)
Torstol potion (unf)	Torstol iksiri (unf)	name	item	Torstol potion (unf)
Strength potion(4)	Güç iksiri (4)	name	item	Strength potion(4)
Strength potion(3)	Güç iksiri (3)	name	item	Strength potion(3)
Strength potion(2)	Güç iksiri (2)	name	item	Strength potion(2)
Strength potion(1)	Güç iksiri (1)	name	item	Strength potion(1)
Attack potion(3)	Saldiri iksiri (3)	name	item	Attack potion(3)
Attack potion(2)	Saldiri iksiri (2)	name	item	Attack potion(2)
Attack potion(1)	Saldiri iksiri (1)	name	item	Attack potion(1)
Restore potion(3)	Restorasyon iksiri (3)	name	item	Restore potion(3)
Restore potion(2)	Restorasyon iksiri (2)	name	item	Restore potion(2)
Restore potion(1)	Restorasyon iksiri (1)	name	item	Restore potion(1)
Defence potion(3)	Savunma iksiri (3)	name	item	Defence potion(3)
Defence potion(2)	Savunma iksiri (2)	name	item	Defence potion(2)
Defence potion(1)	Savunma iksiri (1)	name	item	Defence potion(1)
Prayer potion(3)	Prayer iksiri (3)	name	item	Prayer potion(3)
Prayer potion(2)	Prayer iksiri (2)	name	item	Prayer potion(2)
Prayer potion(1)	Prayer iksiri (1)	name	item	Prayer potion(1)
Super attack(3)	Süper saldiri (3)	name	item	Super attack(3)
Super attack(2)	Süper saldiri (2)	name	item	Super attack(2)
Super attack(1)	Süper saldiri (1)	name	item	Super attack(1)
Fishing potion(3)	Balikçilik iksiri (3)	name	item	Fishing potion(3)
Fishing potion(2)	Balikçilik iksiri (2)	name	item	Fishing potion(2)
Fishing potion(1)	Balikçilik iksiri (1)	name	item	Fishing potion(1)
Super strength(3)	Süper güç (3)	name	item	Super strength(3)
Super strength(2)	Süper güç (2)	name	item	Super strength(2)
Super strength(1)	Süper güç (1)	name	item	Super strength(1)
Super defence(3)	Süper defans (3)	name	item	Super defence(3)
Super defence(2)	Süper defans (2)	name	item	Super defence(2)
Super defence(1)	Süper defans (1)	name	item	Super defence(1)
Ranging potion(3)	Okçu iksiri (3)	name	item	Ranging potion(3)
Ranging potion(2)	Okçu iksiri (2)	name	item	Ranging potion(2)
