english	translation	category	sub_category	source
Dwarf remains	Restos de enano	name	item	Dwarf remains
Toolkit	Toolkit	name	item	Toolkit
Cannonball	Bala de cañón	name	item	Cannonball
Nulodion's notes	Notas de Nulodion	name	item	Nulodion's notes
Ammo mould	Molde de munición	name	item	Ammo mould
Instruction manual	Manual de instrucciones	name	item	Instruction manual
Cannon base	Base del cañón	name	item	Cannon base
Cannon stand	Soporte para cañones	name	item	Cannon stand
Cannon barrels	Cañones	name	item	Cannon barrels
Cannon furnace	Horno Cannon	name	item	Cannon furnace
Railing	Barandilla	name	item	Railing
Holy table napkin	Santa servilleta de mesa	name	item	Holy table napkin
Magic whistle	Silbato mágico	name	item	Magic whistle
Grail bell	Campana del Grial	name	item	Grail bell
Magic gold feather	Pluma mágica de oro	name	item	Magic gold feather
Holy grail	Santo Grial	name	item	Holy grail
White cog	Engranaje blanco	name	item	White cog
Black cog	Engranaje negro	name	item	Black cog
Blue cog	Engranaje azul	name	item	Blue cog
Red cog	Engranaje rojo	name	item	Red cog
Rat poison	veneno para ratas	name	item	Rat poison
Red vine worm	Gusano de la vid roja	name	item	Red vine worm
Fishing trophy	Trofeo de pesca	name	item	Fishing trophy
Fishing pass	Pase de pesca	name	item	Fishing pass
Insect repellent	Repelente de insectos	name	item	Insect repellent
Bucket of wax	Cubo de cera	name	item	Bucket of wax
Lit black candle	Vela negra encendida	name	item	Lit black candle
Lit candle	Vela encendida	name	item	Lit candle
Excalibur	Excalibur	name	item	Excalibur
Candle	Vela	name	item	Candle
Black candle	Vela negra	name	item	Black candle
Bronze arrowtips	Puntas de flecha de bronce	name	item	Bronze arrowtips
Iron arrowtips	Puntas de flecha de hierro	name	item	Iron arrowtips
Steel arrowtips	Puntas de flecha de acero	name	item	Steel arrowtips
Mithril arrowtips	Puntas de flecha de mithril	name	item	Mithril arrowtips
Adamant arrowtips	Puntas de flecha de adamant	name	item	Adamant arrowtips
Rune arrowtips	Puntas de flecha de runita	name	item	Rune arrowtips
Opal bolt tips	Puntas de ballesta de opal	name	item	Opal bolt tips
Pearl bolt tips	Puntas de ballesta de perla	name	item	Pearl bolt tips
Barb bolttips	Puntas de ballesta de barb	name	item	Barb bolttips
Longbow (u)	Arco largo (u)	name	item	Longbow (u)
Shortbow (u)	Arco corto (u)	name	item	Shortbow (u)
Arrow shaft	Eje de flecha	name	item	Arrow shaft
Headless arrow	Flecha sin cabeza	name	item	Headless arrow
Oak shortbow (u)	Arco corto de roble (u)	name	item	Oak shortbow (u)
