english	translation	category	sub_category	source
Attack	攻撃	interface	generalUI	skillGuide
Weapons	武器	interface	generalUI	skillGuide
Bronze	青銅	interface	generalUI	skillGuide
Iron	鉄	interface	generalUI	skillGuide
Steel	鋼鉄	interface	generalUI	skillGuide
Black	黒鉄	interface	generalUI	skillGuide
Members: White	会員：白鉄	interface	generalUI	skillGuide
Mithril	ミスリル	interface	generalUI	skillGuide
Adamant	アダマント	interface	generalUI	skillGuide
Members: Battlestaves (with <Num0> Magic)	会員：戦杖(魔法<Num0>も）	interface	generalUI	skillGuide
Rune	ルーン	interface	generalUI	skillGuide
Barronite mace (requires Below Ice Mountain)	バロナイトの鎚矛（「氷山の地下」後）	interface	generalUI	skillGuide
Members: Brine sabre	会員：塩水サーベル	interface	generalUI	skillGuide
Members: Ivandis Flail (requires A Taste of Hope)	会員：イバンディスの鎖鎌（「希望の味」後）	interface	generalUI	skillGuide
Members: Mystic staves (with <Num0> Magic)	会員：秘伝の杖（魔法<Num0>も）	interface	generalUI	skillGuide
Members: Void Knight equipment (with <Num0> combat stats and <Num1> Prayer)	会員：ヴォイド・ナイトの装備（各戦闘スキル<Num0>と祈り<Num1>も）	interface	generalUI	skillGuide
Members: Granite maul (with <Num0> Strength)	会員：花崗岩の大槌（腕力<Num0>も）	interface	generalUI	skillGuide
Members: Granite longsword (with <Num0> Strength)	会員：花崗岩の長剣（腕力<Num0>も）	interface	generalUI	skillGuide
Members: Blisterwood (requires Sins of the Father)	会員：ブリスターウッド（「父の罪」後」）	interface	generalUI	skillGuide
Members: Keris dagger (requires Contact!)	会員：ケリスの短剣（「接触！」後）	interface	generalUI	skillGuide
Members: Ancient staff (requires Desert Treasure I and <Num0> Magic)	会員：古代の杖（「砂漠の宝１」と魔法<Num0>も）	interface	generalUI	skillGuide
Members: Ancient sceptre (requires Secrets of the North, <Num0> Strength and <Num1> Magic)	会員：古代の笏（「北陸の秘密」と腕力<Num0>と魔法<Num1>）	interface	generalUI	skillGuide
Members: Purging staves (with <Num0> Magic)	会員：浄化の杖（魔法<Num0>も）	interface	generalUI	skillGuide
Members: Bone mace	会員：骨の槌矛	interface	generalUI	skillGuide
Members: Sulphur blades	会員：硫黄の刃	interface	generalUI	skillGuide
Members: Glacial temotli	会員：氷河のテモトリ	interface	generalUI	skillGuide
Members: Dragon	会員：竜鉄	interface	generalUI	skillGuide
Members: Burning claws	会員：燃える鉤爪	interface	generalUI	skillGuide
Members: Barrelchest Anchor (with <Num0> Strength)	会員：バレルチェストの碇（腕力40も）	interface	generalUI	skillGuide
Members: Obsidian weapons	会員：黒曜石の武器	interface	generalUI	skillGuide
Members: Viggora's Chainmace	会員：ヴィゴラの鎖槌矛	interface	generalUI	skillGuide
Members: Colossal Blade	会員：でかいブレード	interface	generalUI	skillGuide
Members: <Num0>rd age weapons	会員：第<Num0>紀の武器	interface	generalUI	skillGuide
Members: Sarachnis cudgel	会員：サラチニスの棍棒	interface	generalUI	skillGuide
Members: Zombie axe	会員：ゾンビの斧	interface	generalUI	skillGuide
Members: Keris partisan (requires Beneath Cursed Sands)	会員：ケリス・パルチザン（「呪われた砂の下」後）	interface	generalUI	skillGuide
Members: Crystal weaponry (with <Num0> Agility)	会員：水晶の武器（運動神経<Num0>も）	interface	generalUI	skillGuide
Members: Saradomin sword	会員：サラドミンの剣	interface	generalUI	skillGuide
Members: Zamorakian spear	会員：ザモラックの槍	interface	generalUI	skillGuide
Members: Abyssal whip & dagger	会員：深淵の鞭、短剣	interface	generalUI	skillGuide
Members: Abyssal bludgeon (with <Num0> Strength)	会員：深淵の棍棒（腕力70も）	interface	generalUI	skillGuide
Members: Ahrim's staff (with <Num0> Magic)	会員：アリムの杖（魔法<Num0>も）	interface	generalUI	skillGuide
Members: Dharok's greataxe (with <Num0> Strength)	会員：ダロックの大斧（腕力<Num0>も）	interface	generalUI	skillGuide
Members: Torag's hammers (with <Num0> Strength)	会員：トーラッグのハンマー（腕力<Num0>も）	interface	generalUI	skillGuide
Members: Verac's flail	会員：ヴェラックの鎖鎌	interface	generalUI	skillGuide
Members: Guthan's warspear	会員：ガサンの戦槍	interface	generalUI	skillGuide
Members: Ursine Chainmace	会員：ウーサインの鎖槌矛	interface	generalUI	skillGuide
Members: Avernic defender (with <Num0> Defence)	会員：アバーニックの副刀（守備力<Num0>も）	interface	generalUI	skillGuide
Members: Dual Macuahuitl (with <Num0> Strength)	会員：二刀流マクアヒートル（腕力<Num0>も）	interface	generalUI	skillGuide
Members: Blue moon spear (with <Num0> Magic)	会員：ブルームーンの槍（魔法<Num0>も）	interface	generalUI	skillGuide
Members: Arclight	会員：アークライト	interface	generalUI	skillGuide
Members: Godswords	会員：神剣	interface	generalUI	skillGuide
Members: Staff of the Dead (with <Num0> Magic)	会員：死者の杖（魔法<Num0>も）	interface	generalUI	skillGuide
Members: Staff of Light (with <Num0> Magic)	会員：光の杖（魔法<Num0>も）	interface	generalUI	skillGuide
Members: Staff of Balance (with <Num0> Magic)	会員：平衡の杖（魔法<Num0>も）	interface	generalUI	skillGuide
Members: Abyssal tentacle	会員：深淵の触手	interface	generalUI	skillGuide
Members: Blessed Saradomin sword	会員：サラドミンの祝福の剣	interface	generalUI	skillGuide
Members: Elder maul (with <Num0> Strength)	会員：エルダーの大槌（腕力<Num0>も）	interface	generalUI	skillGuide
Members: Dinh's bulwark (with <Num0> Defence)	会員：ディンの防壁（守備力<Num0>も）	interface	generalUI	skillGuide
Members: Vesta's blighted longsword	会員：ベスタの荒廃した長剣	interface	generalUI	skillGuide
Members: Voidwaker	会員：ボイドウェーカー	interface	generalUI	skillGuide
Members: Emberlight	会員：エンバーライト	interface	generalUI	skillGuide
Members: Dragon hunter lance	会員：竜狩りのランス	interface	generalUI	skillGuide
Members: Ghrazi rapier	会員：グラージ・レイピア	interface	generalUI	skillGuide
Members: Inquisitor's mace	会員：異端審問官の鎚矛	interface	generalUI	skillGuide
Members: Blade of Saeldor	会員：サードルの刃	interface	generalUI	skillGuide
Members: Noxious Halberd	会員：猛毒の矛槍	interface	generalUI	skillGuide
Members: Scythe of Vitur (with <Num0> Strength)	会員：ヴァーチャーの大鎌（腕力<Num0>も）	interface	generalUI	skillGuide
Members: Soulreaper axe (with <Num0> Strength)	会員：ソウルリーパーの斧（腕力<Num0>も）	interface	generalUI	skillGuide
Members: Variants of Keris partisan (requires Beneath Cursed Sands)	会員：ケリス・パルチザン全種（「呪われた砂の下」後）	interface	generalUI	skillGuide
Members: Osmumten's Fang	会員：オスマンテンの牙	interface	generalUI	skillGuide
Armour	鎧	interface	generalUI	skillGuide
Salamanders	サラマンダ	interface	generalUI	skillGuide
Armour - Members Only	鎧：会員限定	interface	generalUI	skillGuide
Void Knight equipment (with <Num0> combat stats and <Num1> Prayer)	ヴォイド・ナイトの装備（各戦闘スキル<Num0>と祈り<Num1>も）	interface	generalUI	skillGuide
Members: Ferocious Gloves (with <Num0> Defence)	会員：残忍な手袋（守備力<Num0>も）	interface	generalUI	skillGuide
Salamanders - Members Only	サラマンダ：会員限定	interface	generalUI	skillGuide
Swamp lizard (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	沼トカゲ（攻撃力<Num0>・遠射<Num1>・魔法が全て<Num2>）	interface	generalUI	skillGuide
Orange salamander (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	オレンジ・サラマンダ（攻撃力<Num0>・遠射<Num1>・魔法<Num2>）	interface	generalUI	skillGuide
Red salamander (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	赤サラマンダ（攻撃力<Num0>・遠射<Num1>・魔法<Num2>）	interface	generalUI	skillGuide
Black salamander (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	黒サラマンダ（攻撃力<Num0>・遠射<Num1>・魔法<Num2>）	interface	generalUI	skillGuide
Tecu salamander (with <Num0> Attack, <Num1> Ranged & <Num2> Magic)	テク・サラマンダ（攻撃力<Num0>・遠射<Num1>・魔法<Num2>）	interface	generalUI	skillGuide
Hitpoints	体力	interface	generalUI	skillGuide
Hitpoints are used to tell you how healthy your character is. A character who reaches <Num0> Hitpoints has died, but will reappear in their chosen respawn location (normally Lumbridge).	体力はプレイヤーの健康状態を示します。体力が<Num0>になると死に、リスポーン地点で復活します（デフォルトはランブリッジ）	interface	generalUI	skillGuide
If you see any red 'hit splats' during combat, the number shown corresponds to the number of Hitpoints lost as a result of that strike.	戦闘中に表示される赤い「ヒットマーク」は敵から受けたダメージを表します。	interface	generalUI	skillGuide
Blue hit splats mean no damage has been dealt.	青いヒットマークはダメージを受けなかったことを表します。	interface	generalUI	skillGuide
Green hit splats are poison damage.	緑のヒットマークは毒ダメージです。	interface	generalUI	skillGuide
Teal hit splats are venom damage. (Members)	暗い緑色のヒットマークは猛毒ダメージです。（会員限定）	interface	generalUI	skillGuide
Orange hit splats are disease damage. (Members)	オレンジ色のヒットマークは感染ダメージです。（会員限定）	interface	generalUI	skillGuide
Dark purple hit splats are corruption damage. (Members)	黒紫色のヒットマークは腐敗ダメージです。（会員限定）	interface	generalUI	skillGuide
Healing	回復	interface	generalUI	skillGuide
Equipment	装備	interface	generalUI	skillGuide
Purple Sweets: Restores <Num0>-<Num1> Hitpoints (Members)	紫のアメ：体力を<Num0>-<Num1>回復（会員）	interface	generalUI	skillGuide
Anchovies: Restores <Num0> Hitpoint	アンチョビ：体力を<Num0>回復	interface	generalUI	skillGuide
Shrimp: Restores <Num0> Hitpoints	エビ：体力を<Num0>回復	interface	generalUI	skillGuide
Cooked chicken: Restores <Num0> Hitpoints	焼けた鶏肉：体力を<Num0>回復	interface	generalUI	skillGuide
Sardine: Restores <Num0> Hitpoints	イワシ：体力を<Num0>回復	interface	generalUI	skillGuide
Cooked meat: Restores <Num0> Hitpoints	焼けた肉：体力を<Num0>回復	interface	generalUI	skillGuide
Cooked mystery meat: Restores <Num0> Hitpoints	焼けた謎の肉：体力を<Num0>回復	interface	generalUI	skillGuide
Bread: Restores <Num0> Hitpoints	パン：体力を<Num0>回復	interface	generalUI	skillGuide
Herring: Restores <Num0> Hitpoints	ニシン：体力を<Num0>回復	interface	generalUI	skillGuide
Cooked Rabbit: Restores <Num0> Hitpoints (Members)	焼けたウサギ：体力を<Num0>回復（会員）	interface	generalUI	skillGuide
Steak Sandwich: Restores <Num0> Hitpoints	ステーキサンド：体力を<Num0>回復	interface	generalUI	skillGuide
Mackerel: Restores <Num0> Hitpoints (Members)	サバ：体力を<Num0>回復（会員）	interface	generalUI	skillGuide
Botanical Pie: Restores <Num0> Hitpoints (Members)	植物パイ：体力を<Num0>回復（会員）	interface	generalUI	skillGuide
Slimy Eel: Restores <Num0>-<Num1> Hitpoints (Members)	滑りウナギ：体力を<Num0>-<Num1>回復（会員）	interface	generalUI	skillGuide
Trout: Restores <Num0> Hitpoints	マス：体力を<Num0>回復	interface	generalUI	skillGuide
Cod: Restores <Num0> Hitpoints (Members)	タラ：体力を<Num0>回復（会員）	interface	generalUI	skillGuide
Roast Rabbit: Restores <Num0> Hitpoints (Members)	焼きウサギ：体力を<Num0>回復（会員）	interface	generalUI	skillGuide
Cave Eel: Restores <Num0>-<Num1> Hitpoints (Members)	洞窟ウナギ：体力を<Num0>-<Num1>回復（会員）	interface	generalUI	skillGuide
Pike: Restores <Num0> Hitpoints	パイク：体力を<Num0>回復	interface	generalUI	skillGuide
Wild kebbit: Restores <Num0> Hitpoints (Members)	野生ケビット：体力を<Num0>回復（会員）	interface	generalUI	skillGuide
Salmon: Restores <Num0> Hitpoints	サケ：体力を<Num0>回復	interface	generalUI	skillGuide
Redberry pie: Restores <Num0> Hitpoints	レッドベリーパイ：体力を<Num0>回復	interface	generalUI	skillGuide
Tuna: Restores <Num0> Hitpoints	マグロ：体力を<Num0>回復	interface	generalUI	skillGuide
Crab meat: Restores <Num0> Hitpoints (Members)	カニ肉：体力を<Num0>回復（会員）	interface	generalUI	skillGuide
Cooked fishcake: Restores <Num0> Hitpoints (Members)	焼けたフィッシュケーキ：体力を<Num0>回復（会員）	interface	generalUI	skillGuide
