english	translation	category	sub_category	source
Dwarf remains	Dverg-rester	name	item	Dwarf remains
Toolkit	Verktøysett	name	item	Toolkit
Cannonball	Kanonkule	name	item	Cannonball
Nulodion's notes	Nulodions notater	name	item	Nulodion's notes
Ammo mould	Ammunisjonsform	name	item	Ammo mould
Instruction manual	Bruksanvisning	name	item	Instruction manual
Cannon base	Kanonbase	name	item	Cannon base
Cannon stand	Kanonstativ	name	item	Cannon stand
Cannon barrels	Kanonløp	name	item	Cannon barrels
Cannon furnace	Kanonovn	name	item	Cannon furnace
Railing	Rekkverk	name	item	Railing
Holy table napkin	Hellig bordserviett	name	item	Holy table napkin
Magic whistle	Magisk fløyte	name	item	Magic whistle
Grail bell	Gralklokke	name	item	Grail bell
Magic gold feather	Magisk gullfjær	name	item	Magic gold feather
Holy grail	Hellig gral	name	item	Holy grail
White cog	Hvit tannhjul	name	item	White cog
Black cog	Svart tannhjul	name	item	Black cog
Blue cog	Blått tannhjul	name	item	Blue cog
Red cog	Rød tannhjul	name	item	Red cog
Rat poison	Rottegift	name	item	Rat poison
Red vine worm	Rød vinmark	name	item	Red vine worm
Fishing trophy	Fiskepokal	name	item	Fishing trophy
Fishing pass	Fiskekort	name	item	Fishing pass
Insect repellent	Insektsmiddel	name	item	Insect repellent
Bucket of wax	Bøtte med voks	name	item	Bucket of wax
Lit black candle	Tent svart lys	name	item	Lit black candle
Lit candle	Tent lys	name	item	Lit candle
Null	Null	name	item	Null
Excalibur	Excalibur	name	item	Excalibur
Candle	Lys	name	item	Candle
Black candle	Svart stearinlys	name	item	Black candle
Bronze arrowtips	Bronse pilspisser	name	item	Bronze arrowtips
Iron arrowtips	Pilspisser av jern	name	item	Iron arrowtips
Steel arrowtips	Pilspisser i stål	name	item	Steel arrowtips
Mithril arrowtips	Mithril pilspisser	name	item	Mithril arrowtips
Adamant arrowtips	Adamant pilspisser	name	item	Adamant arrowtips
Rune arrowtips	Rune pilspisser	name	item	Rune arrowtips
Opal bolt tips	Opal boltspisser	name	item	Opal bolt tips
Pearl bolt tips	Perleboltspisser	name	item	Pearl bolt tips
Barb bolttips	Mothake boltspisser	name	item	Barb bolttips
Longbow (u)	Langbue (u)	name	item	Longbow (u)
Shortbow (u)	Kortbue (u)	name	item	Shortbow (u)
Arrow shaft	Pilskaft	name	item	Arrow shaft
Headless arrow	Hodeløs pil	name	item	Headless arrow
Oak shortbow (u)	Eik kortbue (u)	name	item	Oak shortbow (u)
Oak longbow (u)	Eik langbue (u)	name	item	Oak longbow (u)
Willow longbow (u)	Pillangbue (u)	name	item	Willow longbow (u)
Willow shortbow (u)	Willow shortbue (u)	name	item	Willow shortbow (u)
Maple longbow (u)	Langbue av lønn (u)	name	item	Maple longbow (u)
Maple shortbow (u)	Kortbue av lønn (u)	name	item	Maple shortbow (u)
Yew longbow (u)	Barlind langbue (u)	name	item	Yew longbow (u)
Yew shortbow (u)	Barlind kortbue (u)	name	item	Yew shortbow (u)
Magic longbow (u)	Magisk langbue (u)	name	item	Magic longbow (u)
Magic shortbow (u)	Magisk kortbue (u)	name	item	Magic shortbow (u)
Khazard helmet	Khazard hjelm	name	item	Khazard helmet
Khazard armour	Khazard rustning	name	item	Khazard armour
Khazard cell keys	Khazard-celletøkler	name	item	Khazard cell keys
Khali brew	Khali brygg	name	item	Khali brew
Ice arrows	Ispiler	name	item	Ice arrows
Lever	Spak	name	item	Lever
Staff of armadyl	Stav av armadyl	name	item	Staff of armadyl
Shiny key	Skinnende nøkkel	name	item	Shiny key
Pendant of lucien	Anheng av Lucien	name	item	Pendant of lucien
Armadyl pendant	Armadyl anheng	name	item	Armadyl pendant
