english	translation	category	sub_category	source
Attack		interface	generalUI	skillGuide
Weapons		interface	generalUI	skillGuide
Bronze		interface	generalUI	skillGuide
Iron		interface	generalUI	skillGuide
Steel		interface	generalUI	skillGuide
Black		interface	generalUI	skillGuide
Members: White		interface	generalUI	skillGuide
Mithril		interface	generalUI	skillGuide
Adamant		interface	generalUI	skillGuide
Members: Battlestaves (with <Num0> Magic)		interface	generalUI	skillGuide
Rune		interface	generalUI	skillGuide
Barronite mace (requires Below Ice Mountain)		interface	generalUI	skillGuide
Members: Brine sabre		interface	generalUI	skillGuide
Members: Ivandis Flail (requires A Taste of Hope)		interface	generalUI	skillGuide
Members: Mystic staves (with <Num0> Magic)		interface	generalUI	skillGuide
Members: Void Knight equipment (with <Num0> combat stats and <Num1> Prayer)		interface	generalUI	skillGuide
Members: Granite maul (with <Num0> Strength)		interface	generalUI	skillGuide
Members: Granite longsword (with <Num0> Strength)		interface	generalUI	skillGuide
Members: Blisterwood (requires Sins of the Father)		interface	generalUI	skillGuide
Members: Keris dagger (requires Contact!)		interface	generalUI	skillGuide
Members: Ancient staff (requires Desert Treasure I and <Num0> Magic)		interface	generalUI	skillGuide
Members: Ancient sceptre (requires Secrets of the North, <Num0> Strength and <Num1> Magic)		interface	generalUI	skillGuide
Members: Purging staves (with <Num0> Magic)		interface	generalUI	skillGuide
Members: Bone mace		interface	generalUI	skillGuide
Members: Sulphur blades		interface	generalUI	skillGuide
Members: Glacial temotli		interface	generalUI	skillGuide
Members: Dragon		interface	generalUI	skillGuide
Members: Burning claws		interface	generalUI	skillGuide
Members: Barrelchest Anchor (with <Num0> Strength)		interface	generalUI	skillGuide
Members: Obsidian weapons		interface	generalUI	skillGuide
Members: Viggora's Chainmace		interface	generalUI	skillGuide
Members: Colossal Blade		interface	generalUI	skillGuide
Members: <Num0>rd age weapons		interface	generalUI	skillGuide
Members: Sarachnis cudgel		interface	generalUI	skillGuide
Members: Zombie axe		interface	generalUI	skillGuide
Members: Keris partisan (requires Beneath Cursed Sands)		interface	generalUI	skillGuide
