english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.	Goblinler tarafindan parcalanmis bir Cüce'nin cesedi.	examine	item	Dwarf remains
Good for repairing broken cannons.	Kirik toplari onarmak icin iyi.	examine	item	Toolkit
Ammo for the Dwarf Cannon.	Cüce Topu icin mühimmat.	examine	item	Cannonball
Construction notes for Dwarf cannon ammo.	Cüce topu mühimmati icin yapim notlari.	examine	item	Nulodion's notes
Used to make cannon ammunition.	Top mühimmati yapmak icin kullanilir.	examine	item	Ammo mould
An old note book.	Eski bir not defteri.	examine	item	Instruction manual
The cannon is built on this.	Top bunun üzerine insa edilmistir.	examine	item	Cannon base
The mounting for the multicannon.	Coklu top icin montaj parcasi.	examine	item	Cannon stand
The barrels of the multicannon.	Coklu topun namlulari.	examine	item	Cannon barrels
This powers the multicannon.	Bu, coklu topu calistirir.	examine	item	Cannon furnace
A metal railing replacement.	Metal korkuluk yedegi.	examine	item	Railing
A cloth given to me by Sir Galahad.	Sir Galahad'in bana verdigi bir kumas.	examine	item	Holy table napkin
A small tin whistle.	Kücük bir teneke düdük.	examine	item	Magic whistle
I wonder what happens when I ring it?	Caldigimda ne olur acaba?	examine	item	Grail bell
It will point the way for me.	Bana yolu gösterecek.	examine	item	Magic gold feather
A holy and powerful artefact.	Kutsal ve güclü bir eser.	examine	item	Holy grail
A cog from some machinery.	Bir makineden alinmis bir disli.	examine	item	White cog
Doesn't look very tasty.	Pek lezzetli görünmüyor.	examine	item	Rat poison
Wormy.	Kokusmus.	examine	item	Red vine worm
Hemenster fishing contest trophy.	Hemenster balikcilik yarismasi ödülü.	examine	item	Fishing trophy
Pass to the Hemenster fishing contest.	Hemenster balikcilik yarismasina giris bileti.	examine	item	Fishing pass
Drives away all known 6 legged creatures.	Bilinen tüm 6 bacakli yaratiklari uzaklastirir.	examine	item	Insect repellent
It's a bucket of wax.	Bir kova balmumu.	examine	item	Bucket of wax
A lit spooky candle.	Yanan ürkütücü bir mum.	examine	item	Lit black candle
A lit candle.	Yanan bir mum.	examine	item	Lit candle
This used to belong to King Arthur.	Eskiden Kral Arthur'a aitti.	examine	item	Excalibur
A candle.	Bir mum.	examine	item	Candle
A spooky candle.	Ürkütücü bir mum.	examine	item	Black candle
I can make some arrows with these.	Bunlarla ok yapabilirim.	examine	item	Bronze arrowtips
Opal bolt tips.	Opal ok uclari.	examine	item	Opal bolt tips
Pearl bolt tips.	Inci ok uclari.	examine	item	Pearl bolt tips
I can make bolts with these.	Bunlarla ok yapabilirim.	examine	item	Barb bolttips
I need to find a string for this.	Bunun icin bir ip bulmam lazim.	examine	item	Longbow (u)
A wooden arrow shaft.	Tahta ok sapi.	examine	item	Arrow shaft
A wooden arrow shaft with flights attached.	Kanatlari takili tahta ok sapi.	examine	item	Headless arrow
An unstrung oak shortbow; I need a bowstring for this.	Yaysiz mese kisa yay; bunun icin yay ipi lazim.	examine	item	Oak shortbow (u)
An unstrung oak longbow; I need a bowstring for this.	Yaysiz mese uzun yay; bunun icin yay ipi lazim.	examine	item	Oak longbow (u)
