english	translation	category	sub_category	source
All	Tüm	interface	chatButtons	
Game 	Oyun	interface	chatButtons	
Public 	Halk	interface	chatButtons	
Private 	Özel	interface	chatButtons	
 On	Açık	interface	chatButtons	
Channel 	Kanal	interface	chatButtons	
Clan 	Klan	interface	chatButtons	
Trade 	Ticaret	interface	chatButtons	
Group 	Grup	interface	chatButtons	
 <colNum0>Autochat</col>	<colNum0>Otomatik Sohbet</col>	interface	chatButtons	
 <colNum0>Friends</col>	<colNum0>Arkadaşlar</col>	interface	chatButtons	
 <colNum0>Filtered</col>	<colNum0>Filtrelendi</col>	interface	chatButtons	
 <colNum0>Hide</col>	<colNum0>Gizle</col>	interface	chatButtons	
 <colNum0>Off</col>	<colNum0>Kapalı</col>	interface	chatButtons	
Combat Achievements - Overview	Savaş Başarıları - Genel Bakış	interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points	Toplam Puan: <Num0> - <Num1> puanla bir sonraki kilit açma	interface	combAchvmt	
Difficulty Tiers	Zorluk Seviyeleri	interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>	Savaş Profili - <!PLAYER_NAME0>	interface	combAchvmt	
Easy	Kolay	interface	combAchvmt	
Medium	Orta	interface	combAchvmt	
Hard	Zor	interface	combAchvmt	
Elite	Seçkinler	interface	combAchvmt	
Master	Usta	interface	combAchvmt	
Grandmaster	Büyük usta	interface	combAchvmt	
Tasks Completed:	Tamamlanan Görevler:	interface	combAchvmt	
Boss Kill Count:	Boss Öldürme Sayısı:	interface	combAchvmt	
Skilling Boss Kill Count:	Yetenekli Boss Öldürme Sayısı:	interface	combAchvmt	
Raid Completions:	Raid Tamamlamaları:	interface	combAchvmt	
Top Boss:	Üst Patron:	interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)	<!ANY_TRANSLATED0> (<Num0>)	interface	combAchvmt	
Top Skilling Boss:	En İyi Yetenek Patronu:	interface	combAchvmt	
Top Raid:	En İyi Baskın:	interface	combAchvmt	
Nothing!	Hiç bir şey!	interface	combAchvmt	
Overview	Genel Bakış	interface	combAchvmt	
Tasks	Görevler	interface	combAchvmt	
Bosses	Patronlar	interface	combAchvmt	
Rewards	Ödüller	interface	combAchvmt	
Combat Achievements - Tasks	Savaş Başarıları - Görevler	interface	combAchvmt	
There are no tasks available to you that match your filters.	Filtrelerinizle eşleşen herhangi bir görev bulunamadı.	interface	combAchvmt	
Filters	Filtreler	interface	combAchvmt	
Tier:	Aşama:	interface	combAchvmt	
All	Tüm	interface	combAchvmt	
Type:	Tip:	interface	combAchvmt	
Monster:	Canavar:	interface	combAchvmt	
Completed:	Tamamlanmış:	interface	combAchvmt	
Noxious Foe	Zararlı Düşman	interface	combAchvmt	
Barrows Novice	Barrows Acemi	interface	combAchvmt	
Defence? What Defence?	Savunma mı? Hangi Savunma?	interface	combAchvmt	
Big, Black and Fiery	Büyük, Siyah ve Ateşli	interface	combAchvmt	
The Demonic Punching Bag	Şeytani Kum Torbası	interface	combAchvmt	
Bryophyta Novice	Bryophyta Acemi	interface	combAchvmt	
Protection from Moss	Yosun Koruması	interface	combAchvmt	
Preparation Is Key	Hazırlık Anahtardır	interface	combAchvmt	
A Slow Death	Yavaş Bir Ölüm	interface	combAchvmt	
Fighting as Intended II	Amaçlandığı Gibi Savaşmak II	interface	combAchvmt	
Deranged Archaeologist Novice	Deli Arkeolog Acemi	interface	combAchvmt	
The Walking Volcano	Yürüyen Volkan	interface	combAchvmt	
Into the Den of Giants	Devlerin İnine	interface	combAchvmt	
A Greater Foe	Daha Büyük Bir Düşman	interface	combAchvmt	
Not So Great After All	Sonuçta O Kadar da Harika Değil	interface	combAchvmt	
A Demon's Best Friend	Bir Şeytanın En İyi Arkadaşı	interface	combAchvmt	
Obor Novice	Obor Acemi	interface	combAchvmt	
Sleeping Giant	Uyuyan Dev	interface	combAchvmt	
Fighting as Intended	Amaçlandığı Gibi Mücadele	interface	combAchvmt	
King Black Dragon Novice	Kral Kara Ejderha Acemi	interface	combAchvmt	
A Scaley Encounter	Bir Scaley Karşılaşması	interface	combAchvmt	
Shayzien Protector	Shayzien Koruyucusu	interface	combAchvmt	
Giant Mole Novice	Dev Köstebek Acemi	interface	combAchvmt	
Sarachnis Novice	Sarachnis Acemi	interface	combAchvmt	
Wintertodt Novice	Wintertodt Acemi	interface	combAchvmt	
Mummy!	Mumya!	interface	combAchvmt	
Handyman	Tamirci	interface	combAchvmt	
Cosy	Samimi	interface	combAchvmt	
A Slithery Encounter	Kaygan Bir Karşılaşma	interface	combAchvmt	
Tempoross Novice	Tempoross Acemi	interface	combAchvmt	
Master of Buckets	Kovaların Efendisi	interface	combAchvmt	
Calm Before the Storm	Fırtına Öncesi Sessizlik	interface	combAchvmt	
Fire in the Hole!	Delikte Ateş!	interface	combAchvmt	
Scurrius Novice	Scurrius Acemi	interface	combAchvmt	
Sit Rat	Oturan Fare	interface	combAchvmt	
One by one	Tek tek	interface	combAchvmt	
Elemental Company	Elemental Şirketi	interface	combAchvmt	
Let them fight	Bırakın kavga etsinler	interface	combAchvmt	
Sit Back and Relax	Arkanıza yaslanın ve rahatlayın	interface	combAchvmt	
Barrows Champion	Barrows Şampiyonu	interface	combAchvmt	
Can't Touch Me	Bana Dokunamazsın	interface	combAchvmt	
Pray for Success	Başarı İçin Dua Edin	interface	combAchvmt	
Brutal, Big, Black and Firey	Vahşi, Büyük, Siyah ve Ateşli	interface	combAchvmt	
Bryophyta Champion	Bryophyta Şampiyonu	interface	combAchvmt	
Quick Cutter	Hızlı Kesici	interface	combAchvmt	
Demonic Weakening	Şeytani Zayıflama	interface	combAchvmt	
Demonbane Weaponry	Demonbane Silahları	interface	combAchvmt	
Chaos Fanatic Champion	Kaos Fanatiği Şampiyonu	interface	combAchvmt	
Sorry, What Was That?	Pardon, Bu Neydi?	interface	combAchvmt	
