english	translation	category	sub_category	source
Barbarian Assault	Assalto Bárbaro 	manual	activity	
Blast Furnace		manual	activity	
Castle Wars	Guerra das Cidadelas	manual	activity	
Fishing Trawler	Traineira de Pesca	manual	activity	
Burthorpe Games Room	Sala de jogos de Burthorpe	manual	activity	
Nightmare Zone		manual	activity	
Pest Control	Controle de Praga	manual	activity	
Rat Pits		manual	activity	
Shades of Mort'ton	Sombras de Mort'ton	manual	activity	
Trouble Brewing	Me Dá um Refresco	manual	activity	
TzHaar Fight Pit		manual	activity	
Shield of Arrav	Escudo de Arrav	manual	activity	
Clan Wars	Guerra dos clãs	manual	activity	
Giants' Foundry		manual	activity	
God Wars		manual	activity	
Guardians of the Rift		manual	activity	
Dagannoth Kings		manual	activity	
Player Owned Houses	Projeto de Obra Habitacional 	manual	activity	
Tithe Farm		manual	activity	
Last Man Standing	O Último Sobrevivente	manual	activity	
Volcanic Mine		manual	activity	
Theatre of Blood		manual	activity	
Soul Wars	Guerra das almas	manual	activity	
Shooting Stars	Estrela Cadente	manual	activity	
Tombs of Amascut	Tumbas de Amascut	manual	activity	
Mage Training Arena	Arena de Treinamento dos Magos	manual	activity	
Yes	Sim	manual	emote	
No	Não 	manual	emote	
Bow	Arco	manual	emote	
Angry	Bravo	manual	emote	
Think	Pensar 	manual	emote	
Wave	Acenar	manual	emote	
Shrug	Dar de Ombros	manual	emote	
Cheer	Celebrar	manual	emote	
Beckon		manual	emote	
Laugh	Risada	manual	emote	
Jump for Joy	Pular de Alegria	manual	emote	
Yawn	Bocejar	manual	emote	
Dance	Dançar 	manual	emote	
Jig		manual	emote	
Spin	Rodopiar 	manual	emote	
Headbang	Bater com a cabeça 	manual	emote	
Cry	Chorar	manual	emote	
Blow Kiss	Beijo no ar	manual	emote	
Panic	Pânico 	manual	emote	
Raspberry		manual	emote	
Clap	Bater palmas	manual	emote	
Salute	Saudar	manual	emote	
Goblin Bow	Cumprimentar Duende	manual	emote	
Goblin Salute	Saudações Duende	manual	emote	
Glass Box	Caixa de Vidro 	manual	emote	
Climb Rope		manual	emote	
Lean	Inclinar-se	manual	emote	
Glass Wall	Parede de Vidro	manual	emote	
Idea	Ideia	manual	emote	
Stamp		manual	emote	
Flap	Bater Asas	manual	emote	
Slap Head		manual	emote	
Zombie Walk		manual	emote	
Zombie Dance		manual	emote	
Scared		manual	emote	
Rabbit Hop		manual	emote	
Skill Cape		manual	emote	
Zombie Hand	Mão de zumbi	manual	emote	
Air Guitar		manual	emote	
Sit up	Abdominal	manual	emote	
Push up	Flexão	manual	emote	
Star jump	Polichinelo	manual	emote	
Jog		manual	emote	
Flex		manual	emote	
Hypermobile Drinker		manual	emote	
Uri transform		manual	emote	
Smooth dance		manual	emote	
Crazy dance		manual	emote	
Premier Shield		manual	emote	
Explore		manual	emote	
Relic unlock		manual	emote	
Party		manual	emote	
Trick		manual	emote	
Fortis Salute		manual	emote	
Crab dance	Dança do Caranguejo 	manual	emote	
Sit down		manual	emote	
Bald		manual	hair_beard	
Dreadlocks		manual	hair_beard	
Long		manual	hair_beard	
Medium		manual	hair_beard	
Tonsure		manual	hair_beard	
Short		manual	hair_beard	
Cropped		manual	hair_beard	
Wild spikes		manual	hair_beard	
Spikes	Espinhos	manual	hair_beard	
