english	translation	category	sub_category	source
Dwarf remains	Restos de anões	name	item	Dwarf remains
Toolkit	Caixa de ferramentas	name	item	Toolkit
Cannonball	Bala de canhão	name	item	Cannonball
Nulodion's notes	Notas de Nulodion	name	item	Nulodion's notes
Ammo mould	Molde de munição	name	item	Ammo mould
Instruction manual	Manual de instrução	name	item	Instruction manual
Cannon base	Base de canhão	name	item	Cannon base
Cannon stand	Suporte do canhão	name	item	Cannon stand
Cannon barrels	Canos de canhão	name	item	Cannon barrels
Cannon furnace	Fornalha de canhão	name	item	Cannon furnace
Railing	Grade	name	item	Railing
Holy table napkin	Guardanapo sagrado	name	item	Holy table napkin
Magic whistle	Apito mágico	name	item	Magic whistle
Grail bell	Sino do Graal	name	item	Grail bell
Magic gold feather	Pena dourada mágica	name	item	Magic gold feather
Holy grail	Santo Graal	name	item	Holy grail
White cog	Engrenagem branca	name	item	White cog
Black cog	Engrenagem preta	name	item	Black cog
Blue cog	Engrenagem azul	name	item	Blue cog
Red cog	Engrenagem vermelha	name	item	Red cog
Rat poison	Raticida	name	item	Rat poison
Red vine worm	Verme de vinha vermelha	name	item	Red vine worm
Fishing trophy	Troféu de pesca	name	item	Fishing trophy
Fishing pass	Passe para a pescaria	name	item	Fishing pass
Insect repellent	Repelente de insetos	name	item	Insect repellent
Bucket of wax	Balde de cera	name	item	Bucket of wax
Lit black candle	Vela preta acesa	name	item	Lit black candle
Lit candle	Vela acesa	name	item	Lit candle
Null	Null	name	item	Null
Excalibur	Excalibur	name	item	Excalibur
Candle	Vela	name	item	Candle
Black candle	Vela preta	name	item	Black candle
Bronze arrowtips	Pontas de flecha de bronze	name	item	Bronze arrowtips
Iron arrowtips	Pontas de flecha de ferro	name	item	Iron arrowtips
Steel arrowtips	Pontas de flecha de aço	name	item	Steel arrowtips
Mithril arrowtips	Pontas de flecha de mithril	name	item	Mithril arrowtips
Adamant arrowtips	Pontas flecha de adamantio	name	item	Adamant arrowtips
Rune arrowtips	Pontas de flecha rúnicas	name	item	Rune arrowtips
Opal bolt tips	Pontas de seta de opala	name	item	Opal bolt tips
Pearl bolt tips	Pontas de seta de pérola	name	item	Pearl bolt tips
Barb bolttips	Pontas de seta de farpa	name	item	Barb bolttips
Longbow (u)	Arco-longo (s)	name	item	Longbow (u)
Shortbow (u)	Arco curto (s)	name	item	Shortbow (u)
Arrow shaft	Haste de flecha	name	item	Arrow shaft
Headless arrow	Flecha sem ponta	name	item	Headless arrow
Oak shortbow (u)	Arco curto de Carvalho (s)	name	item	Oak shortbow (u)
Oak longbow (u)	Arco-longo de Carvalho (s)	name	item	Oak longbow (u)
Willow longbow (u)	Arco-longo de Salgueiro (s)	name	item	Willow longbow (u)
Willow shortbow (u)	Arco curto de Salgueiro (s)	name	item	Willow shortbow (u)
Maple longbow (u)	Arco-longo de Bordo (s)	name	item	Maple longbow (u)
Maple shortbow (u)	Arco curto de Bordo (s)	name	item	Maple shortbow (u)
Yew longbow (u)	Arco-longo de Teixo (s)	name	item	Yew longbow (u)
Yew shortbow (u)	Arco curto de Teixo (s)	name	item	Yew shortbow (u)
Magic longbow (u)	Arco-longo Mágico (s)	name	item	Magic longbow (u)
Magic shortbow (u)	Arco curto Mágico (s)	name	item	Magic shortbow (u)
Khazard helmet	Elmo Khazard	name	item	Khazard helmet
Khazard armour	Armadura de Khazard	name	item	Khazard armour
Khazard cell keys	Chaves da cela de Khazard	name	item	Khazard cell keys
Khali brew	Garapa de Khali	name	item	Khali brew
Ice arrows	Flechas de gelo	name	item	Ice arrows
Lever	Alavanca	name	item	Lever
Staff of armadyl	Cajado de Armadyl	name	item	Staff of armadyl
Shiny key	Chave brilhante	name	item	Shiny key
Pendant of lucien	Pingente de Lucien	name	item	Pendant of lucien
Armadyl pendant	Pingente de Armadyl	name	item	Armadyl pendant
Boots of lightness	Botas de leveza	name	item	Boots of lightness
Child's blanket	Cobertor de criança	name	item	Child's blanket
Guam potion (unf)	Poção de guam (inc)	name	item	Guam potion (unf)
Marrentill potion (unf)	Poção de marrentil (inc)	name	item	Marrentill potion (unf)
Tarromin potion (unf)	Poção de tarromin (inc)	name	item	Tarromin potion (unf)
Harralander potion (unf)	Poção de harralander (inc)	name	item	Harralander potion (unf)
Ranarr potion (unf)	Poção de ranarr (inc)	name	item	Ranarr potion (unf)
Irit potion (unf)	Poção de irita (inc)	name	item	Irit potion (unf)
Avantoe potion (unf)	Poção de avantoé (inc)	name	item	Avantoe potion (unf)
Kwuarm potion (unf)	Poção de kwuarm (inc)	name	item	Kwuarm potion (unf)
Cadantine potion (unf)	Poção de cadantina (inc)	name	item	Cadantine potion (unf)
Dwarf weed potion (unf)	Poção de erva dos anões (inc)	name	item	Dwarf weed potion (unf)
Torstol potion (unf)	Poção de torstol (inc)	name	item	Torstol potion (unf)
Strength potion(4)	Poção da força(4)	name	item	Strength potion(4)
Strength potion(3)	Poção da força(3)	name	item	Strength potion(3)
Strength potion(2)	Poção da força(2)	name	item	Strength potion(2)
Strength potion(1)	Poção da força(1)	name	item	Strength potion(1)
Attack potion(3)	Poção do ataque(3)	name	item	Attack potion(3)
Attack potion(2)	Poção do ataque(2)	name	item	Attack potion(2)
Attack potion(1)	Poção do ataque(1)	name	item	Attack potion(1)
Restore potion(3)	Poção restauradora(3)	name	item	Restore potion(3)
Restore potion(2)	Poção restauradora(2)	name	item	Restore potion(2)
Restore potion(1)	Poção restauradora(1)	name	item	Restore potion(1)
Defence potion(3)	Poção da defesa(3)	name	item	Defence potion(3)
Defence potion(2)	Poção da defesa(2)	name	item	Defence potion(2)
Defence potion(1)	Poção da defesa(1)	name	item	Defence potion(1)
Prayer potion(3)	Poção do devoto(3)	name	item	Prayer potion(3)
Prayer potion(2)	Poção do devoto(2)	name	item	Prayer potion(2)
Prayer potion(1)	Poção do devoto(1)	name	item	Prayer potion(1)
Super attack(3)	Superataque(3)	name	item	Super attack(3)
Super attack(2)	Superataque(2)	name	item	Super attack(2)
Super attack(1)	Superataque(1)	name	item	Super attack(1)
Fishing potion(3)	Poção do pescador(3)	name	item	Fishing potion(3)
Fishing potion(2)	Poção do pescador(2)	name	item	Fishing potion(2)
Fishing potion(1)	Poção do pescador(1)	name	item	Fishing potion(1)
Super strength(3)	Superforça(3)	name	item	Super strength(3)
Super strength(2)	Superforça(2)	name	item	Super strength(2)
Super strength(1)	Superforça(1)	name	item	Super strength(1)
Super defence(3)	Superdefesa(3)	name	item	Super defence(3)
Super defence(2)	Superdefesa(2)	name	item	Super defence(2)
Super defence(1)	Superdefesa(1)	name	item	Super defence(1)
Ranging potion(3)	Poção do arqueiro(3)	name	item	Ranging potion(3)
Ranging potion(2)	Poção do arqueiro(2)	name	item	Ranging potion(2)
Ranging potion(1)	Poção do arqueiro(1)	name	item	Ranging potion(1)
Antipoison(3)	Antiveneno(3)	name	item	Antipoison(3)
Antipoison(2)	Antiveneno(2)	name	item	Antipoison(2)
Antipoison(1)	Antiveneno(1)	name	item	Antipoison(1)
Superantipoison(3)	Super antiveneno(3)	name	item	Superantipoison(3)
Superantipoison(2)	Super antiveneno(2)	name	item	Superantipoison(2)
Superantipoison(1)	Super antiveneno(1)	name	item	Superantipoison(1)
Weapon poison	Veneno de arma	name	item	Weapon poison
Zamorak brew(3)	Preparado de Zamorak(3)	name	item	Zamorak brew(3)
Zamorak brew(2)	Preparado de Zamorak(2)	name	item	Zamorak brew(2)
Zamorak brew(1)	Preparado de Zamorak(1)	name	item	Zamorak brew(1)
Potion	Poção	name	item	Potion
Poison chalice	Cálice de veneno	name	item	Poison chalice
Grimy guam leaf	Guam sujo	name	item	Grimy guam leaf
Grimy marrentill	Marrentil sujo	name	item	Grimy marrentill
Grimy tarromin	Tarromin sujo	name	item	Grimy tarromin
Grimy harralander	Harralander sujo	name	item	Grimy harralander
Grimy ranarr weed	Ranarr sujo	name	item	Grimy ranarr weed
Grimy irit leaf	Irita sujo	name	item	Grimy irit leaf
Grimy avantoe	Avantoé sujo	name	item	Grimy avantoe
Grimy kwuarm	Kwuarm sujo	name	item	Grimy kwuarm
Grimy cadantine	Cadantina suja	name	item	Grimy cadantine
Grimy dwarf weed	Erva dos anões suja	name	item	Grimy dwarf weed
Grimy torstol	Torstol sujo	name	item	Grimy torstol
Eye of newt	Olho de salamandra	name	item	Eye of newt
Red spiders' eggs	Ovos de aranha vermelha	name	item	Red spiders' eggs
Limpwurt root	Raiz de talsichão	name	item	Limpwurt root
Vial of water	Frasco de água	name	item	Vial of water
Vial	Frasco	name	item	Vial
Snape grass	Capim da cura	name	item	Snape grass
Pestle and mortar	Pilão	name	item	Pestle and mortar
Unicorn horn dust	Pó de chifre de unicórnio	name	item	Unicorn horn dust
Unicorn horn	Chifre de unicórnio	name	item	Unicorn horn
White berries	Alvamoras	name	item	White berries
Dragon scale dust	Pó de escama de dragão	name	item	Dragon scale dust
Blue dragon scale	Escama de dragão azul	name	item	Blue dragon scale
Wine of zamorak	Suco de uva de Zamorak	name	item	Wine of zamorak
Jangerberries	Jangoesas	name	item	Jangerberries
Guam leaf	Guam	name	item	Guam leaf
