english	category	sub_category	source
<colNum0>Click here to continue</col>	dialogue	manual	
Greetings, adventurer. I am Phileas, the Lumbridge Guide. I am here to give information and directions to new players. You can also speak to my good friend Adventurer Jon about Adventure Paths.	dialogue	Lumbridge Guide	Lumbridge Guide
I'm not too sure what to do.	dialogue	Lumbridge Guide	Player
Select an option	dialogue	manual	
There are many monsters around the world which you can fight. They will vary in difficulty but no matter what monster you fight, I would always recommend using a weapon.	dialogue	Lumbridge Guide	Lumbridge Guide
Can you give me some tips on what to fight instead?	dialogue	Lumbridge Guide	Player
Can I ask you something eles?	dialogue	Lumbridge Guide	Player
Ok, I'll go talk to him now.	dialogue	Lumbridge Guide	Player
Very well then, let's see here…	dialogue	Lumbridge Guide	Player
It's going to be tough fighting monsters without a weapon. I suggest you first get a weapon from the bank or see the combat tutors south of the general store.	dialogue	Lumbridge Guide	Lumbridge Guide
The minimap in the top right corner of the game<br>screen has various icons showing the location of things.<br>This icon to the left shows where general stores are.	dialogue	Lumbridge Guide	Lumbridge Guide
The minimap in the top right corner of the game<br>screen has various icons showing the locations of things.<br>This icon to the left shows where banks are.	dialogue	Lumbridge Guide	Lumbridge Guide
Tell me more about security.	dialogue	Lumbridge Guide	Player
Firstly, keep your RuneScape password and bank PIN secure. Never tell anyone your password or share your account with them - they might steal it or get it banned for breaking rules.	dialogue	Lumbridge Guide	Lumbridge Guide
Now, I can tell you more about password security, avoiding item scamming and in-game moderation.	dialogue	Lumbridge Guide	Lumbridge Guide
I can also tell you about the Stronghold of Security, a place where you can learn more about account security and have a bit of an adventure at the same time. So how can I help you?	dialogue	Lumbridge Guide	Lumbridge Guide
There are many nice and helpful players in Old School RuneScape; unfortunately, as in real life, there are some who aren't so honest. Some people may try to trick you out of your items.	dialogue	Lumbridge Guide	Lumbridge Guide
Try not to fall for this, as you won't get your items back.	dialogue	Lumbridge Guide	Lumbridge Guide
When trading, you have a second trade confirmation screen. Always double-check it to ensure you are getting the items you expect, as scammers may change their offer suddenly, hoping you won't notice.	dialogue	Lumbridge Guide	Lumbridge Guide
Remember, once you have clicked Accept on the second trade screen, the trade is not reversible.	dialogue	Lumbridge Guide	Lumbridge Guide
Try and find out from someone else what an item is before spending a lot of money on it. Not all merchants are honest about the rarity or the uses of their wares.	dialogue	Lumbridge Guide	Lumbridge Guide
For example, some people try to pass off spinach rolls as rare, when in fact they're as common as cabbages!	dialogue	Lumbridge Guide	Lumbridge Guide
Be wary of people offering to improve your items. For example, some people will claim they can add a trim to your armour or upgrade your sword to a more powerful one.	dialogue	Lumbridge Guide	Lumbridge Guide
<colNum0>Please wait...</col>	dialogue	manual	
More options…	dialogue	manual	
There is also the wilderness. The wilderness is north of Varrock and you can fight other players there. But bare in mind if you die to another player in the wilderness you will lose your stuff.	dialogue	Melee combat tutor	Melee combat tutor
Tell me about different weapon types I can use.	dialogue	Melee combat tutor	Player
Harlan gives you a Training sword and shield.	dialogue	manual	
I can't help you with that at the moment, sorry.	dialogue	Magic combat tutor	Magic combat tutor
On a members-only world, you could ask for runes to<br>be put directly in a rune pouch when you pick them up<br>from the ground.	dialogue	manual	
