english	category	sub_category	source
Withdraw-1	inventoryActions	item	
Withdraw-X	inventoryActions	item	
Withdraw-All-but-1	inventoryActions	item	
Placeholder	inventoryActions	item	
Edit-tags	inventoryActions	item	
Deposit-X	inventoryActions	item	
Deposit-All	inventoryActions	item	
Withdraw-5	inventoryActions	item	
Withdraw-10	inventoryActions	item	
Withdraw-100	inventoryActions	item	
Deposit-1	inventoryActions	item	
Deposit-5	inventoryActions	item	
Deposit-10	inventoryActions	item	
Deposit-100	inventoryActions	item	
Remove-5	inventoryActions	item	
Remove-10	inventoryActions	item	
Remove-100	inventoryActions	item	
Remove-All	inventoryActions	item	
Remove-X	inventoryActions	item	
Buy-offer	inventoryActions	item	
View tag tab	inventoryActions	item	
Enable	inventoryActions	item	
Contents	inventoryActions	item	
Select	inventoryActions	item	
Collect-item	inventoryActions	item	
Offer	inventoryActions	item	
Smith	inventoryActions	item	
Smith set	inventoryActions	item	
Make	inventoryActions	item	
Other quantity	inventoryActions	item	
Flash icons	inventoryActions	item	
Buy-1	inventoryActions	item	
Buy-5	inventoryActions	item	
Buy-10	inventoryActions	item	
Buy-50	inventoryActions	item	
