english	category	sub_category	source
Minigame Teleport	name	menu	spellBookTab	
Monster Inspect	name	menu	spellBookTab	
Lvl-1 Enchant	name	menu	spellBookTab	
Lvl-2 Enchant	name	menu	spellBookTab	
Lvl-3 Enchant	name	menu	spellBookTab	
Lvl-4 Enchant	name	menu	spellBookTab	
Lvl-5 Enchant	name	menu	spellBookTab	
Lvl-6 Enchant	name	menu	spellBookTab	
Lvl-7 Enchant	name	menu	spellBookTab	
Khaki	name	item	Khaki	
Crimson	name	item	Crimson	
Navy	name	item	Navy	
Straw	name	item	Straw	
White	name	item	White	
Blue	name	item	Blue	
Green	name	item	Green	
Yellow	name	item	Yellow	
Purple	name	item	Purple	
Cyan	name	item	Cyan	
Black	name	item	Black	
Grey	name	item	Grey	
Lumbridge Blue	name	item	Lumbridge Blue	
Deep Blue	name	item	Deep Blue	
Light Pink	name	item	Light Pink	
Cadmium red	name	item	Cadmium red	
Maroon	name	item	Maroon	
Pale green	name	item	Pale green	
Turquoise	name	item	Turquoise	
Deep purple	name	item	Deep purple	
Light purple	name	item	Light purple	

