english	category	sub_category	source
Accurate	actions	menu	combatOptionsTab
Aggressive	actions	menu	combatOptionsTab
Defensive	actions	menu	combatOptionsTab
Controlled	actions	menu	combatOptionsTab
Chop	actions	menu	combatOptionsTab
Slash	actions	menu	combatOptionsTab
Stab	actions	menu	combatOptionsTab
Block	actions	menu	combatOptionsTab
Pound	actions	menu	combatOptionsTab
Pummel	actions	menu	combatOptionsTab
Spike	actions	menu	combatOptionsTab
Impale	actions	menu	combatOptionsTab
Smash	actions	menu	combatOptionsTab
Lunge	actions	menu	combatOptionsTab
Swipe	actions	menu	combatOptionsTab
Hack	actions	menu	combatOptionsTab
Reap	actions	menu	combatOptionsTab
Rapid	actions	menu	combatOptionsTab
Longrange	actions	menu	combatOptionsTab
Flick	actions	menu	combatOptionsTab
Lash	actions	menu	combatOptionsTab
Deflect	actions	menu	combatOptionsTab
Fend	actions	menu	combatOptionsTab
Bash	actions	menu	combatOptionsTab
Blaze	actions	menu	combatOptionsTab
Scorch	actions	menu	combatOptionsTab
Flare	actions	menu	combatOptionsTab
