english	category	sub_category	source
Introduction	interface	generalUI	skillGuide	
Bronze weapons	interface	generalUI	skillGuide	
Iron weapons	interface	generalUI	skillGuide	
Steel weapons	interface	generalUI	skillGuide	
Black weapons	interface	generalUI	skillGuide	
Members: White weapons	interface	generalUI	skillGuide	
Mithril weapons	interface	generalUI	skillGuide	
Adamant weapons	interface	generalUI	skillGuide	
Rune weapons	interface	generalUI	skillGuide	
Members: Dragon weapons	interface	generalUI	skillGuide	
Members: Obsidian melee weapons	interface	generalUI	skillGuide	
Members: Belle's Folly	interface	generalUI	skillGuide	
Members: Battlestaves Requires: <colNum0>Level <Num0> Magic</col>	interface	generalUI	skillGuide	
Members: Teal hit splats are venom damage.	interface	generalUI	skillGuide	
Members: Orange hit splats are disease damage.	interface	generalUI	skillGuide	
Members: Dark purple hit splats are corruption damage.	interface	generalUI	skillGuide	
Members: Purple Sweets: Restores <Num0>-<Num1> Hitpoints	interface	generalUI	skillGuide	
Members: Cooked mystery meat: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Cooked Rabbit: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Mackerel: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Botanical Pie: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Slimy Eel: Restores <Num0>-<Num1> Hitpoints	interface	generalUI	skillGuide	
Members: Cod: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Roast Rabbit: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Cave Eel: Restores <Num0>-<Num1> Hitpoints	interface	generalUI	skillGuide	
Members: Osmumtens fang	interface	generalUI	skillGuide	
Members: Wild kebbit: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
T-bone Steak: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Crab meat: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Cooked fishcake: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Lava Eel: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Larupia: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Garden pie: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Fish pie: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Barb-tailed kebbit: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Bass: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Potato with butter: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Chilli Potato: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Graahk: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Monkfish: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Admiral pie: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Potato with cheese: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Egg Potato: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Kyatt: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Cooked karambwan: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Ugthanki kebab: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Pyre fox: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Shark: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Mushroom Potato: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Sea Turtle: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Sunlight antelope: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Manta Ray: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Dark Crab: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Tuna Potato: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Wild pie: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Summer pie: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Pineapple pizza: Restores <Num0> Hitpoints	interface	generalUI	skillGuide	
Members: Dashing kebbit: Restores <Num0> Hitpoints and <Num1> Run Energy	interface	generalUI	skillGuide	
Members: Moonlight antelope: Restores <Num0> Hitpoints and cures <Num1> level of poison	interface	generalUI	skillGuide	
Members: Anglerfish: Restores Hitpoints based on your Hitpoints level up to a maximum of <Num0> - can boost beyond your level	interface	generalUI	skillGuide	
Members: Saradomin brew: Restores <Num0>% of your Hitpoints level plus <Num1> - can boost beyond your level	interface	generalUI	skillGuide	
Hitsplats	interface	generalUI	skillGuide	
Standard Damage	interface	generalUI	skillGuide	
Status Effects	interface	generalUI	skillGuide	
Drains and Restores	interface	generalUI	skillGuide	
Enter the Zamorak area of the God Wars Dungeon	interface	generalUI	skillGuide	
Mining allows you to get various minerals from the world for use in other skills, primarily Smithing.	interface	generalUI	skillGuide	
To mine a rock, simply interact with it while holding a pickaxe you have the level to use and you'll start mining it. Eventually, you'll collect the ore and the rock will deplete. Low-level rocks will replenish themselves fairly quickly, but higher-level ones will take longer and longer to come back.	interface	generalUI	skillGuide	
Members: Lead ore	interface	generalUI	skillGuide	
Members: Motherlode Mine paydirt	interface	generalUI	skillGuide	
Members: Nickel ore	interface	generalUI	skillGuide	
Pipe squeeze in Karamja Dungeon	interface	generalUI	skillGuide	
Monkey bars under Yanille	interface	generalUI	skillGuide	
Falador low wall climb	interface	generalUI	skillGuide	
Kourend Catacombs contortion shortcut	interface	generalUI	skillGuide	
Summer Shore rock scramble	interface	generalUI	skillGuide	
Anglers' Retreat stepping stone	interface	generalUI	skillGuide	
Great Conch eastern plateau rock scramble (south-west side)	interface	generalUI	skillGuide	
Cape Conch rock scramble	interface	generalUI	skillGuide	
Great Conch eastern plateau rock scramble (north-east side)	interface	generalUI	skillGuide	
Laguna Aurorae stepping stones	interface	generalUI	skillGuide	
Grimstone uneven stone ledges climb	interface	generalUI	skillGuide	
Deepfin Point dungeon crevice	interface	generalUI	skillGuide	
Brimhaven Dungeon vine to baby green dragons	interface	generalUI	skillGuide	
Karuulm Dungeon pipe	interface	generalUI	skillGuide	
Revenant Cave jump (hard)	interface	generalUI	skillGuide	
Viyeldi Caves cliff climb	interface	generalUI	skillGuide	
Meiyerditch Laboratories advanced shortcut	interface	generalUI	skillGuide	
