english	category	sub_category	source
Combat Achievements - Overview	interface	combAchvmt	
Total Points: <Num0> - Next unlock in <Num1> points	interface	combAchvmt	
Difficulty Tiers	interface	combAchvmt	
Combat Profile - <!PLAYER_NAME0>	interface	combAchvmt	
Easy	interface	combAchvmt	
Medium	interface	combAchvmt	
Hard	interface	combAchvmt	
Elite	interface	combAchvmt	
Master	interface	combAchvmt	
Grandmaster	interface	combAchvmt	
Tasks Completed:	interface	combAchvmt	
Boss Kill Count:	interface	combAchvmt	
Skilling Boss Kill Count:	interface	combAchvmt	
Raid Completions:	interface	combAchvmt	
Top Boss:	interface	combAchvmt	
<!ANY_TRANSLATED0> (<Num0>)	interface	combAchvmt	
Top Skilling Boss:	interface	combAchvmt	
Top Raid:	interface	combAchvmt	
Nothing!	interface	combAchvmt	
Overview	interface	combAchvmt	
Tasks	interface	combAchvmt	
Bosses	interface	combAchvmt	
Rewards	interface	combAchvmt	
Combat Achievements - Tasks	interface	combAchvmt	
There are no tasks available to you that match your filters.	interface	combAchvmt	
Filters	interface	combAchvmt	
Tier:	interface	combAchvmt	
All	interface	combAchvmt	
Type:	interface	combAchvmt	
Monster:	interface	combAchvmt	
Completed:	interface	combAchvmt	
Noxious Foe	interface	combAchvmt	
Barrows Novice	interface	combAchvmt	
Defence? What Defence?	interface	combAchvmt	
Big, Black and Fiery	interface	combAchvmt	
The Demonic Punching Bag	interface	combAchvmt	
Bryophyta Novice	interface	combAchvmt	
Protection from Moss	interface	combAchvmt	
Preparation Is Key	interface	combAchvmt	
A Slow Death	interface	combAchvmt	
Fighting as Intended II	interface	combAchvmt	
Deranged Archaeologist Novice	interface	combAchvmt	
The Walking Volcano	interface	combAchvmt	
Into the Den of Giants	interface	combAchvmt	
A Greater Foe	interface	combAchvmt	
Not So Great After All	interface	combAchvmt	
A Demon's Best Friend	interface	combAchvmt	
Obor Novice	interface	combAchvmt	
Sleeping Giant	interface	combAchvmt	
Fighting as Intended	interface	combAchvmt	
King Black Dragon Novice	interface	combAchvmt	
A Scaley Encounter	interface	combAchvmt	
Shayzien Protector	interface	combAchvmt	
Giant Mole Novice	interface	combAchvmt	
Sarachnis Novice	interface	combAchvmt	
Wintertodt Novice	interface	combAchvmt	
Mummy!	interface	combAchvmt	
Handyman	interface	combAchvmt	
Cosy	interface	combAchvmt	
A Slithery Encounter	interface	combAchvmt	
Tempoross Novice	interface	combAchvmt	
Master of Buckets	interface	combAchvmt	
Calm Before the Storm	interface	combAchvmt	
Fire in the Hole!	interface	combAchvmt	
Scurrius Novice	interface	combAchvmt	
Sit Rat	interface	combAchvmt	
One by one	interface	combAchvmt	
Elemental Company	interface	combAchvmt	
Let them fight	interface	combAchvmt	
Sit Back and Relax	interface	combAchvmt	
Barrows Champion	interface	combAchvmt	
Can't Touch Me	interface	combAchvmt	
Pray for Success	interface	combAchvmt	
Brutal, Big, Black and Firey	interface	combAchvmt	
Bryophyta Champion	interface	combAchvmt	
Quick Cutter	interface	combAchvmt	
Demonic Weakening	interface	combAchvmt	
Demonbane Weaponry	interface	combAchvmt	
Chaos Fanatic Champion	interface	combAchvmt	
Sorry, What Was That?	interface	combAchvmt	
Crazy Archaeologist Champion	interface	combAchvmt	
Mage of the Ruins	interface	combAchvmt	
I'd Rather Not Learn	interface	combAchvmt	
Deranged Archaeologist Champion	interface	combAchvmt	
Mage of the Swamp	interface	combAchvmt	
I'd Rather Be Illiterate	interface	combAchvmt	
A Smashing Time	interface	combAchvmt	
Obor Champion	interface	combAchvmt	
Back to the Wall	interface	combAchvmt	
Squashing the Giant	interface	combAchvmt	
King Black Dragon Champion	interface	combAchvmt	
Claw Clipper	interface	combAchvmt	
Hide Penetration	interface	combAchvmt	
Antifire Protection	interface	combAchvmt	
Master of Broad Weaponry	interface	combAchvmt	
Giant Mole Champion	interface	combAchvmt	
Avoiding Those Little Arms	interface	combAchvmt	
Dagannoth Prime Champion	interface	combAchvmt	
Dagannoth Rex Champion	interface	combAchvmt	
A Frozen King	interface	combAchvmt	
Sarachnis Champion	interface	combAchvmt	
Newspaper Enthusiast	interface	combAchvmt	
A Frozen Foe from the Past	interface	combAchvmt	
Dagannoth Supreme Champion	interface	combAchvmt	
Wintertodt Champion	interface	combAchvmt	
Can We Fix It?	interface	combAchvmt	
Leaving No One Behind	interface	combAchvmt	
Skotizo Champion	interface	combAchvmt	
Tempoross Champion	interface	combAchvmt	
The Lone Angler	interface	combAchvmt	
Scurrius Champion	interface	combAchvmt	
Perfect Scurrius	interface	combAchvmt	
Efficient Pest Control	interface	combAchvmt	
Lunar Triplet	interface	combAchvmt	
Perilous Novice	interface	combAchvmt	
Back to Our Roots	interface	combAchvmt	
Moons of Peril Speed-Trialist	interface	combAchvmt	
Hueycoatl Champion	interface	combAchvmt	
You're a wizard	interface	combAchvmt	
Amoxliatl Champion	interface	combAchvmt	
Temotli Triumph	interface	combAchvmt	
Royal Titan Champion	interface	combAchvmt	
Royal Titan Adept	interface	combAchvmt	
It takes too long	interface	combAchvmt	
Abyssal Adept	interface	combAchvmt	
They Grow Up Too Fast	interface	combAchvmt	
Don't Whip Me	interface	combAchvmt	
Don't Stop Moving	interface	combAchvmt	
Kree'arra Adept	interface	combAchvmt	
Airborne Showdown	interface	combAchvmt	
General Graardor Adept	interface	combAchvmt	
Ourg Freezer	interface	combAchvmt	
General Showdown	interface	combAchvmt	
Just Like That	interface	combAchvmt	
Faithless Crypt Run	interface	combAchvmt	
Callisto Adept	interface	combAchvmt	
Skotizo Adept	interface	combAchvmt	
Chaos Elemental Adept	interface	combAchvmt	
Hoarder	interface	combAchvmt	
The Flincher	interface	combAchvmt	
Chaos Fanatic Adept	interface	combAchvmt	
Praying to the Gods	interface	combAchvmt	
Crazy Archaeologist Adept	interface	combAchvmt	
Grotesque Guardians Adept	interface	combAchvmt	
Don't Look at the Eclipse	interface	combAchvmt	
Prison Break	interface	combAchvmt	
Granite Footwork	interface	combAchvmt	
Heal No More	interface	combAchvmt	
Static Awareness	interface	combAchvmt	
Hespori Adept	interface	combAchvmt	
Hesporisn't	interface	combAchvmt	
Weed Whacker	interface	combAchvmt	
Kalphite Queen Adept	interface	combAchvmt	
Chitin Penetrator	interface	combAchvmt	
Who Is the King Now?	interface	combAchvmt	
Kraken Adept	interface	combAchvmt	
Unnecessary Optimisation	interface	combAchvmt	
Krakan't Hurt Me	interface	combAchvmt	
Why Are You Running?	interface	combAchvmt	
Whack-a-Mole	interface	combAchvmt	
Nightmare Adept	interface	combAchvmt	
Dagannoth Prime Adept	interface	combAchvmt	
Dagannoth Rex Adept	interface	combAchvmt	
Ready to Pounce	interface	combAchvmt	
Inspect Repellent	interface	combAchvmt	
Commander Zilyana Adept	interface	combAchvmt	
Commander Showdown	interface	combAchvmt	
Scorpia Adept	interface	combAchvmt	
I Can't Reach That	interface	combAchvmt	
Guardians No More	interface	combAchvmt	
Zulrah Adept	interface	combAchvmt	
Dagannoth Supreme Adept	interface	combAchvmt	
Theatre of Blood: SM Adept	interface	combAchvmt	
Venenatis Adept	interface	combAchvmt	
Vet'ion Adept	interface	combAchvmt	
Why Fletch?	interface	combAchvmt	
K'ril Tsutsaroth Adept	interface	combAchvmt	
Yarr No More	interface	combAchvmt	
Demonic Showdown	interface	combAchvmt	
Demonbane Weaponry II	interface	combAchvmt	
Dress Like You Mean It	interface	combAchvmt	
Why Cook?	interface	combAchvmt	
Novice Tomb Explorer	interface	combAchvmt	
Novice Tomb Looter	interface	combAchvmt	
Movin' on up	interface	combAchvmt	
Confident Raider	interface	combAchvmt	
Phantom Muspah Adept	interface	combAchvmt	
Perilous Dancer	interface	combAchvmt	
Fortified	interface	combAchvmt	
Betrayal	interface	combAchvmt	
Moons of Peril Speed-Chaser	interface	combAchvmt	
Fat of the Land	interface	combAchvmt	
The Clone Zone	interface	combAchvmt	
Perilous Champion	interface	combAchvmt	
Hueycoatl Adept	interface	combAchvmt	
Pillar Lover	interface	combAchvmt	
I'm your son	interface	combAchvmt	
Amoxliatl Adept	interface	combAchvmt	
Amoxliatl Speed-Trialist	interface	combAchvmt	
Nagua Negation	interface	combAchvmt	
Kemo Makti	interface	combAchvmt	
Totally Shattered	interface	combAchvmt	
Perfect Royal Titans	interface	combAchvmt	
Royal Titan Speed-Runner	interface	combAchvmt	
Titan Killer	interface	combAchvmt	
I need room	interface	combAchvmt	
Abyssal Veteran	interface	combAchvmt	
Respiratory Runner	interface	combAchvmt	
Demonic Rebound	interface	combAchvmt	
Perfect Sire	interface	combAchvmt	
Kree'arra Veteran	interface	combAchvmt	
General Graardor Veteran	interface	combAchvmt	
Ourg Freezer II	interface	combAchvmt	
Reflecting on This Encounter	interface	combAchvmt	
Callisto Veteran	interface	combAchvmt	
Demon Evasion	interface	combAchvmt	
Up for the Challenge	interface	combAchvmt	
Cerberus Veteran	interface	combAchvmt	
Ghost Buster	interface	combAchvmt	
Unrequired Antifire	interface	combAchvmt	
Anti-Bite Mechanics	interface	combAchvmt	
Chaos Elemental Veteran	interface	combAchvmt	
Corporeal Beast Veteran	interface	combAchvmt	
Hot on Your Feet	interface	combAchvmt	
Finding the Weak Spot	interface	combAchvmt	
Chicken Killer	interface	combAchvmt	
If Gorillas Could Fly	interface	combAchvmt	
Hitting Them Where It Hurts	interface	combAchvmt	
Galvek Speed-Trialist	interface	combAchvmt	
Grotesque Guardians Veteran	interface	combAchvmt	
Done before Dusk	interface	combAchvmt	
Perfect Grotesque Guardians	interface	combAchvmt	
Grotesque Guardians Speed-Trialist	interface	combAchvmt	
From Dusk...	interface	combAchvmt	
Corrupted Gauntlet Veteran	interface	combAchvmt	
<Num0>, <Num1>, <Num2> - Mage	interface	combAchvmt	
Gauntlet Veteran	interface	combAchvmt	
<Num0>, <Num1>, <Num2> - Range	interface	combAchvmt	
Egniol Diet	interface	combAchvmt	
Crystalline Warrior	interface	combAchvmt	
Wolf Puncher	interface	combAchvmt	
Glough Speed-Trialist	interface	combAchvmt	
Plant-Based Diet	interface	combAchvmt	
Hespori Speed-Trialist	interface	combAchvmt	
Alchemical Veteran	interface	combAchvmt	
Fight Caves Veteran	interface	combAchvmt	
