english	category	sub_category	source
Welcome to Old School RuneScape	interface	loginScreen	
You last logged in a minute ago.	interface	loginScreen	
You last logged in <Num0> minutes ago.	interface	loginScreen	
You last logged in <Num0> hours ago.	interface	loginScreen	
You last logged in <Num0> hours, <Num1> minutes ago.	interface	loginScreen	
You last logged in <Num0> days ago.	interface	loginScreen	
You last logged in <Num0> days, <Num1> hours ago.	interface	loginScreen	
You last logged in <Num0> days, <Num1> minutes ago.	interface	loginScreen	
You last logged in <Num0> days, <Num1> hours, <Num2> minutes ago.	interface	loginScreen	
You have <colNum0><Num0></col> days of membership left.	interface	loginScreen	
You are not a member. Subscribe to access extra skills, areas, quests, and more.	interface	loginScreen	
You have <Num0> unread messages in your inbox.	interface	loginScreen	
CLICK HERE TO PLAY	interface	loginScreen	
It's been some time coming but this weeks update contains almost all of the QoL changes as proposed in <colNum0>Poll <Num0></col>! With a variety of changes, please check out the <colNum1>update post</col> for all the latest info!	interface	loginScreen	
