english	category	sub_category	source
Unarmed	interface	mainTabs	combatOptionsTab
Punch	interface	mainTabs	combatOptionsTab
Kick	interface	mainTabs	combatOptionsTab
Combat Lvl: <Num0>	interface	mainTabs	combatOptionsTab
Auto Retaliate (On)	interface	mainTabs	combatOptionsTab
Auto Retaliate (Off)	interface	mainTabs	combatOptionsTab
Special Attack: <Num0>%	interface	mainTabs	combatOptionsTab
When active your character will automatically fight back if attacked.	interface	mainTabs	combatOptionsTab
Category: Pickaxe	interface	mainTabs	combatOptionsTab
Category: Spear	interface	mainTabs	combatOptionsTab
Category: Axe	interface	mainTabs	combatOptionsTab
Category: Stab Sword	interface	mainTabs	combatOptionsTab
Category: Thrown	interface	mainTabs	combatOptionsTab
Category: Bow	interface	mainTabs	combatOptionsTab
Category: Crossbow	interface	mainTabs	combatOptionsTab
Category: Staff	interface	mainTabs	combatOptionsTab
Category: Powered Staff	interface	mainTabs	combatOptionsTab
Category: 2h Sword	interface	mainTabs	combatOptionsTab
Category: Banner	interface	mainTabs	combatOptionsTab
Category: Blunt	interface	mainTabs	combatOptionsTab
Category: Bludgeon	interface	mainTabs	combatOptionsTab
Category: Bulwark	interface	mainTabs	combatOptionsTab
Category: Claw	interface	mainTabs	combatOptionsTab
Category: Partisan	interface	mainTabs	combatOptionsTab
Category: Polearm	interface	mainTabs	combatOptionsTab
Category: Polestaff	interface	mainTabs	combatOptionsTab
Category: Scythe	interface	mainTabs	combatOptionsTab
Category: Slash Sword	interface	mainTabs	combatOptionsTab
Category: Spiked	interface	mainTabs	combatOptionsTab
Category: Unarmed	interface	mainTabs	combatOptionsTab
Category: Whip	interface	mainTabs	combatOptionsTab
Category: Chinchompas	interface	mainTabs	combatOptionsTab
Category: Gun	interface	mainTabs	combatOptionsTab
Category: Bladed Staff	interface	mainTabs	combatOptionsTab
Category: Salamander	interface	mainTabs	combatOptionsTab
Category: Multi-style	interface	mainTabs	combatOptionsTab
(Accurate) (Stab) (Attack XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Stab) (Strength XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Stab) (Defence XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Stab) (Shared XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Slash) (Attack XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Slash) (Strength XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Slash) (Defence XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Slash) (Shared XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Crush) (Attack XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Crush) (Strength XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Crush) (Defence XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Crush) (Shared XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Stab) (Attack XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Stab) (Strength XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Stab) (Defence XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Stab) (Shared XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Slash) (Attack XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Slash) (Strength XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Slash) (Defence XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Slash) (Shared XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Crush) (Attack XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Crush) (Strength XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Crush) (Defence XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Heavy) (Crush) (Shared XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Stab) (Attack XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Stab) (Strength XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Stab) (Defence XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Stab) (Shared XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Slash) (Attack XP)	interface	mainTabs	combatOptionsTab
(Accurate) (Light) (Slash) (Strength XP)	interface	mainTabs	combatOptionsTab
