english	category	sub_category	source
W<Num0>	interface	mainTabs	groupTab
Vacancy	interface	mainTabs	groupTab
<colNum0>Settings</col>	interface	mainTabs	groupTab
<colNum0><colNum1>Connecting...</col></col>	interface	mainTabs	groupTab
<colNum0>Join</col>	interface	mainTabs	groupTab
Setup	interface	mainTabs	groupTab
<colNum0>Leave</col>	interface	mainTabs	groupTab
<colNum0>Chat-channel</col>	interface	mainTabs	groupTab
<colNum0>Not in channel</col>	interface	mainTabs	groupTab
Recent FCs	interface	mainTabs	groupTab
Settings	interface	mainTabs	groupTab
You are not currently chatting in this clan's channel.	interface	mainTabs	groupTab
<colNum0>Chat</col>	interface	mainTabs	groupTab
Your Clan	interface	mainTabs	groupTab
<colNum0>No current clan</col>	interface	mainTabs	groupTab
<colNum0>Discard</col>	interface	mainTabs	groupTab
View another clan	interface	mainTabs	groupTab
<colNum0>Find</col>	interface	mainTabs	groupTab
<colNum0>Fetching data...</col>	interface	mainTabs	groupTab
PvP Arena	interface	mainTabs	groupTab
You have currently loaded <col=ffb83f><!PLAYER_NAME0></col>, which is not a PvP Arena group.	interface	mainTabs	groupTab	interface	mainTabs	groupTab
Options	interface	mainTabs	groupTab
Grouping	interface	mainTabs	groupTab
Select an activity...	interface	mainTabs	groupTab
You are not currently in a grouping chat-channel.	interface	mainTabs	groupTab
Suggested world:	interface	mainTabs	groupTab
Teleport	interface	mainTabs	groupTab
Barbarian Assault	interface	mainTabs	groupTab
Blast Furnace	interface	mainTabs	groupTab
Burthorpe Games Room	interface	mainTabs	groupTab
Castle Wars	interface	mainTabs	groupTab
Clan Wars	interface	mainTabs	groupTab
Dagannoth Kings	interface	mainTabs	groupTab
Fishing Trawler	interface	mainTabs	groupTab
Giants' Foundry	interface	mainTabs	groupTab
God Wars	interface	mainTabs	groupTab
Guardians of the Rift	interface	mainTabs	groupTab
Last Man Standing	interface	mainTabs	groupTab
Mage Training Arena	interface	mainTabs	groupTab
Nightmare Zone	interface	mainTabs	groupTab
Pest Control	interface	mainTabs	groupTab
Player Owned Houses	interface	mainTabs	groupTab
Rat Pits	interface	mainTabs	groupTab
Royal Titans	interface	mainTabs	groupTab
Shades of Mort'ton	interface	mainTabs	groupTab
Shield of Arrav	interface	mainTabs	groupTab
Shooting Stars	interface	mainTabs	groupTab
Soul Wars	interface	mainTabs	groupTab
Theatre of Blood	interface	mainTabs	groupTab
Tithe Farm	interface	mainTabs	groupTab
Tombs of Amascut	interface	mainTabs	groupTab
Trouble Brewing	interface	mainTabs	groupTab
TzHaar Fight Pit	interface	mainTabs	groupTab
Volcanic Mine	interface	mainTabs	groupTab
Join	interface	mainTabs	groupTab
(none)	interface	mainTabs	groupTab
Leave	interface	mainTabs	groupTab
You are currently talking in the <colNum0><!ANY_TRANSLATED0></col> channel.	interface	mainTabs	groupTab
Click <colNum0>Find</col> to find a PvP Arena group.  Once you've found a suitable group, <colNum1>sign up</col> to be invited to its fights.	interface	mainTabs	groupTab
<Num0>v<Num1> Tournament	interface	mainTabs	groupTab
<Num0>v<Num1> Duels	interface	mainTabs	groupTab
<img=1> Official Group	interface	mainTabs	groupTab
Loading player list...	interface	mainTabs	groupTab
<colNum0>Sign up</col> to be invited to fights.	interface	mainTabs	groupTab
<colNum0>Sign up</col>	interface	mainTabs	groupTab
