english	category	sub_category	source
Use the buttons below to logout or switch worlds safely.	interface	mainTabs	logoutTab
Click here to logout	interface	mainTabs	logoutTab
How much did you enjoy playing Old School RuneScape today?	interface	mainTabs	logoutTab
<colNum0>Loading...</col>	interface	mainTabs	worldSwitcherTab
Right-click on worlds to set them as Favourites.	interface	mainTabs	worldSwitcherTab
Current world - <Num0>	interface	mainTabs	worldSwitcherTab
<Num0> skill to...	interface	mainTabs	worldSwitcherTab
<Num0> skill t...	interface	mainTabs	worldSwitcherTab
<Num0> skill total	interface	mainTabs	worldSwitcherTab
Agility Train...	interface	mainTabs	worldSwitcherTab
Barbarian A...	interface	mainTabs	worldSwitcherTab
Blast Furnace	interface	mainTabs	worldSwitcherTab
Bounty Hunt...	interface	mainTabs	worldSwitcherTab
Brimhaven ...	interface	mainTabs	worldSwitcherTab
Burthorpe G...	interface	mainTabs	worldSwitcherTab
Castle Wars...	interface	mainTabs	worldSwitcherTab
Castle Wars <Num0>	interface	mainTabs	worldSwitcherTab
Clan Recruit...	interface	mainTabs	worldSwitcherTab
Clan Wars - ...	interface	mainTabs	worldSwitcherTab
Deadman	interface	mainTabs	worldSwitcherTab
Falador Part...	interface	mainTabs	worldSwitcherTab
Fishing Traw...	interface	mainTabs	worldSwitcherTab
Forestry	interface	mainTabs	worldSwitcherTab
Group PvM	interface	mainTabs	worldSwitcherTab
Group Skilling	interface	mainTabs	worldSwitcherTab
Guardians o...	interface	mainTabs	worldSwitcherTab
High Risk W...	interface	mainTabs	worldSwitcherTab
House Party...	interface	mainTabs	worldSwitcherTab
LMS Casual	interface	mainTabs	worldSwitcherTab
LMS Competi...	interface	mainTabs	worldSwitcherTab
Locked Deve...	interface	mainTabs	worldSwitcherTab
Mort'ton te...	interface	mainTabs	worldSwitcherTab
Nex FFA	interface	mainTabs	worldSwitcherTab
Nightmare o...	interface	mainTabs	worldSwitcherTab
Ourania Altar	interface	mainTabs	worldSwitcherTab
Pest Control	interface	mainTabs	worldSwitcherTab
PvP Arena (...	interface	mainTabs	worldSwitcherTab
PvP World	interface	mainTabs	worldSwitcherTab
PvP World -...	interface	mainTabs	worldSwitcherTab
Pyramid Plu...	interface	mainTabs	worldSwitcherTab
Role-playing	interface	mainTabs	worldSwitcherTab
Royal Titans	interface	mainTabs	worldSwitcherTab
Soul Wars	interface	mainTabs	worldSwitcherTab
Speedrunni...	interface	mainTabs	worldSwitcherTab
Sulliuscep c...	interface	mainTabs	worldSwitcherTab
Tempoross	interface	mainTabs	worldSwitcherTab
Theatre of B...	interface	mainTabs	worldSwitcherTab
ToA FFA	interface	mainTabs	worldSwitcherTab
Tombs of Am...	interface	mainTabs	worldSwitcherTab
Trade - Free	interface	mainTabs	worldSwitcherTab
Trade - Mem...	interface	mainTabs	worldSwitcherTab
Trouble Bre...	interface	mainTabs	worldSwitcherTab
TzHaar Fight...	interface	mainTabs	worldSwitcherTab
Varlamore P...	interface	mainTabs	worldSwitcherTab
Volcanic Mine	interface	mainTabs	worldSwitcherTab
Wilderness ...	interface	mainTabs	worldSwitcherTab
Wintertodt	interface	mainTabs	worldSwitcherTab
Zalcano	interface	mainTabs	worldSwitcherTab
Zeah Runec...	interface	mainTabs	worldSwitcherTab
Agility Training	interface	mainTabs	worldSwitcherTab
Barbarian Assault	interface	mainTabs	worldSwitcherTab
Bounty Hunter World	interface	mainTabs	worldSwitcherTab
Brimhaven Agility	interface	mainTabs	worldSwitcherTab
Brimhaven Agility Arena	interface	mainTabs	worldSwitcherTab
Burthorpe Games Room	interface	mainTabs	worldSwitcherTab
Castle Wars - Free	interface	mainTabs	worldSwitcherTab
Clan Recruitment	interface	mainTabs	worldSwitcherTab
Clan Wars - Free-for-all	interface	mainTabs	worldSwitcherTab
Falador Party Room	interface	mainTabs	worldSwitcherTab
Fishing Trawler	interface	mainTabs	worldSwitcherTab
Guardians of the Rift	interface	mainTabs	worldSwitcherTab
High Risk World	interface	mainTabs	worldSwitcherTab
House Party, Gilded Altar	interface	mainTabs	worldSwitcherTab
LMS Competitive	interface	mainTabs	worldSwitcherTab
Locked Developer World	interface	mainTabs	worldSwitcherTab
Mort'ton temple, Rat Pits	interface	mainTabs	worldSwitcherTab
Nightmare of Ashihama	interface	mainTabs	worldSwitcherTab
PvP Arena (AUS)	interface	mainTabs	worldSwitcherTab
PvP Arena (Legacy Duels)	interface	mainTabs	worldSwitcherTab
PvP Arena (UK)	interface	mainTabs	worldSwitcherTab
PvP Arena (US)	interface	mainTabs	worldSwitcherTab
PvP World - Free	interface	mainTabs	worldSwitcherTab
PvP World - High Risk	interface	mainTabs	worldSwitcherTab
Pyramid Plunder	interface	mainTabs	worldSwitcherTab
Speedrunning World	interface	mainTabs	worldSwitcherTab
Sulliuscep cutting	interface	mainTabs	worldSwitcherTab
Theatre of Blood	interface	mainTabs	worldSwitcherTab
Tombs of Amascut	interface	mainTabs	worldSwitcherTab
Trade - Members	interface	mainTabs	worldSwitcherTab
Trouble Brewing	interface	mainTabs	worldSwitcherTab
TzHaar Fight Pit	interface	mainTabs	worldSwitcherTab
Varlamore PvM	interface	mainTabs	worldSwitcherTab
Wilderness PK - Free	interface	mainTabs	worldSwitcherTab
Wilderness PK - Members	interface	mainTabs	worldSwitcherTab
Zeah Runecrafting	interface	mainTabs	worldSwitcherTab
