english	category	sub_category	source
Your Attack level is used to determine how likely you are to hit your target in melee combat. A higher Attack level will give you a better chance to hit.	interface	generalUI	skillGuide
Additionally, a higher Attack level will allow you to wield more powerful weapons. A weapon with a higher Attack bonus will give you more accuracy in combat.	interface	generalUI	skillGuide
You can select your Attack style from the Combat Options side panel. Different enemies are weaker or stronger against different Attack styles, so choose carefully.	interface	generalUI	skillGuide
As with any skill, you will restore <Num0> missing Hitpoint every minute, but the best way of recovering Hitpoints is by eating food.	interface	generalUI	skillGuide
Mining allows you to get various minerals from the world, for use in other skills; primarily Smithing.	interface	generalUI	skillGuide
To mine a rock, simply interact with it while holding a pickaxe you have the level to use and you'll start mining it. Eventually, you'll collect the ore and the rock will deplete. Low level rocks will replenish themselves fairly quickly, but higher level ones will take longer and longer to come back.	interface	generalUI	skillGuide
At higher mining levels, you'll have an increased chance of successfully mining a rock. You'll also be able to use more powerful pickaxes, which decrease the amount of time between mining attempts.	interface	generalUI	skillGuide
Note that while most pickaxes have an Attack level requirement to equip them, you're still able to use them from within your inventory if you have the required Mining level.	interface	generalUI	skillGuide
Your Strength level determines your max hit in combat. Whenever you hit your opponent, you will deal a random amount of damage up to your max hit.	interface	generalUI	skillGuide
Most weapons have a Strength bonus that will also increase your max hit. You can view your Strength bonus (and all of your equipment's stats) by selecting 'View equipment stats' under the Worn Equipment side panel.	interface	generalUI	skillGuide
Agility - Members Only	interface	generalUI	skillGuide
Agility both increases the rate at which your Run Energy replenishes while not running and decreases the rate at which it drains while you run.	interface	generalUI	skillGuide
You will also gain access to useful shortcuts across Gielinor; these are marked with a green arrow on your map.	interface	generalUI	skillGuide
In order to train your Agility skill, you will need an Agility course; these are a series of obstacles that reward experience upon completion.	interface	generalUI	skillGuide
Smithing lets you convert raw ores into useful metals, then use those metals to make your own weapons and armour.	interface	generalUI	skillGuide
To smelt ores, simply take the mix of ores you need to any furnace and you'll be able to convert them into bars.	interface	generalUI	skillGuide
Once you have your bars, grab a hammer and take them to an anvil. Bigger items will need more bars to make.	interface	generalUI	skillGuide
