english	translation	category	sub_category	source
Total level: <Num0>		interface	mainTabs	skillsTab
Attack XP:		interface	mainTabs	skillsTab
Hitpoints XP:		interface	mainTabs	skillsTab
Mining XP:		interface	mainTabs	skillsTab
Smithing XP:		interface	mainTabs	skillsTab
Agility XP:		interface	mainTabs	skillsTab
Strength XP:		interface	mainTabs	skillsTab
Defence XP:		interface	mainTabs	skillsTab
Ranged XP:		interface	mainTabs	skillsTab
Prayer XP:		interface	mainTabs	skillsTab
Magic XP:		interface	mainTabs	skillsTab
Runecraft XP:		interface	mainTabs	skillsTab
Construction XP:		interface	mainTabs	skillsTab
Hunter XP:		interface	mainTabs	skillsTab
Slayer XP:		interface	mainTabs	skillsTab
Fletching XP:		interface	mainTabs	skillsTab
Crafting XP:		interface	mainTabs	skillsTab
Thieving XP:		interface	mainTabs	skillsTab
Herblore XP:		interface	mainTabs	skillsTab
Fishing XP:		interface	mainTabs	skillsTab
Cooking XP:		interface	mainTabs	skillsTab
Firemaking XP:		interface	mainTabs	skillsTab
Woodcutting XP:		interface	mainTabs	skillsTab
Farming XP:		interface	mainTabs	skillsTab
Attack XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Hitpoints XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Mining XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Smithing XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Agility XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Strength XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Defence XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Ranged XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Prayer XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Magic XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Runecraft XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Construction XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Hunter XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Slayer XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Fletching XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Crafting XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Thieving XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Herblore XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Fishing XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Cooking XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Firemaking XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Woodcutting XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Farming XP:<br>Next level at:<br>Remaining XP:		interface	mainTabs	skillsTab
Total XP:		interface	mainTabs	skillsTab
