english	translation	category	sub_category	source
Filters		interface	mainTabs	spellBookTab
Lumbridge Home Teleport		interface	mainTabs	spellBookTab
Requires no runes - recharge time <Num0> mins. Warning: This spell takes a long time to cast and will be interrupted by combat.		interface	mainTabs	spellBookTab
Level <Num0>: Wind Strike		interface	mainTabs	spellBookTab
A basic Air missile		interface	mainTabs	spellBookTab
Crossbow Bolt Enchantments		interface	mainTabs	spellBookTab
View the various crossbow bolt enchantment spells (<Num0>+ Magic required)		interface	mainTabs	spellBookTab
Level <Num0>: Water Strike		interface	mainTabs	spellBookTab
A basic Water missile		interface	mainTabs	spellBookTab
Jewellery Enchantments		interface	mainTabs	spellBookTab
View the various jewellery enchantment spells (<Num0>+ Magic required)		interface	mainTabs	spellBookTab
Level <Num0>: Earth Strike		interface	mainTabs	spellBookTab
A basic Earth missile		interface	mainTabs	spellBookTab
Level <Num0>: Weaken		interface	mainTabs	spellBookTab
Reduces your opponent's strength by <Num0>%		interface	mainTabs	spellBookTab
Level <Num0>: Low Level Alchemy		interface	mainTabs	spellBookTab
Converts an item into gold		interface	mainTabs	spellBookTab
Level <Num0>: Telekinetic Grab		interface	mainTabs	spellBookTab
Take an item you can see but can't reach		interface	mainTabs	spellBookTab
Level <Num0>: Bind		interface	mainTabs	spellBookTab
Holds your opponent for <Num0> seconds		interface	mainTabs	spellBookTab
Level <Num0>: Curse		interface	mainTabs	spellBookTab
Reduces your opponent's defence by <Num0>%		interface	mainTabs	spellBookTab
Level <Num0>: Wind Bolt		interface	mainTabs	spellBookTab
A low level Air missile		interface	mainTabs	spellBookTab
Level <Num0>: Bones to Bananas		interface	mainTabs	spellBookTab
Changes held bones into bananas		interface	mainTabs	spellBookTab
Level <Num0>: Fire Strike		interface	mainTabs	spellBookTab
A basic Fire missile		interface	mainTabs	spellBookTab
Level <Num0>: Water Bolt		interface	mainTabs	spellBookTab
A low level Water missile		interface	mainTabs	spellBookTab
Level <Num0>: Varrock Teleport		interface	mainTabs	spellBookTab
Teleports you to Varrock		interface	mainTabs	spellBookTab
Level <Num0>: Earth Bolt		interface	mainTabs	spellBookTab
A low level Earth missile		interface	mainTabs	spellBookTab
Level <Num0>: Lumbridge Teleport		interface	mainTabs	spellBookTab
Teleports you to Lumbridge		interface	mainTabs	spellBookTab
Level <Num0>: Fire Bolt		interface	mainTabs	spellBookTab
A low level Fire missile		interface	mainTabs	spellBookTab
Level <Num0>: Falador Teleport		interface	mainTabs	spellBookTab
Teleports you to Falador		interface	mainTabs	spellBookTab
Level <Num0>: Crumble Undead		interface	mainTabs	spellBookTab
Hits skeletons, ghosts, shades & zombies hard		interface	mainTabs	spellBookTab
Level <Num0>: Iban Blast		interface	mainTabs	spellBookTab
Summons the wrath of Iban		interface	mainTabs	spellBookTab
Level <Num0>: Kourend Castle Teleport		interface	mainTabs	spellBookTab
Teleports you to Kourend Castle		interface	mainTabs	spellBookTab
Level <Num0>: Water Blast		interface	mainTabs	spellBookTab
A medium level Water missile		interface	mainTabs	spellBookTab
Level <Num0>: Camelot Teleport		interface	mainTabs	spellBookTab
Teleports you to Camelot		interface	mainTabs	spellBookTab
Level <Num0>: Superheat Item		interface	mainTabs	spellBookTab
Smelt ore without a furnace		interface	mainTabs	spellBookTab
Level <Num0>: Wind Blast		interface	mainTabs	spellBookTab
A medium level Air missile		interface	mainTabs	spellBookTab
Level <Num0>: Teleport to House		interface	mainTabs	spellBookTab
Teleports you to your house		interface	mainTabs	spellBookTab
Level <Num0>: Snare		interface	mainTabs	spellBookTab
Level <Num0>: Magic Dart		interface	mainTabs	spellBookTab
A magic dart of slaying		interface	mainTabs	spellBookTab
Level <Num0>: Ardougne Teleport		interface	mainTabs	spellBookTab
Teleports you to Ardougne		interface	mainTabs	spellBookTab
Level <Num0>: Earth Blast		interface	mainTabs	spellBookTab
A medium level Earth missile		interface	mainTabs	spellBookTab
Level <Num0>: Civitas illa Fortis Teleport		interface	mainTabs	spellBookTab
Teleports you to Civitas illa Fortis		interface	mainTabs	spellBookTab
Level <Num0>: High Level Alchemy		interface	mainTabs	spellBookTab
Converts an item into more gold		interface	mainTabs	spellBookTab
Level <Num0>: Charge Water Orb		interface	mainTabs	spellBookTab
Needs to be cast on a water obelisk		interface	mainTabs	spellBookTab
Level <Num0>: Flames of Zamorak		interface	mainTabs	spellBookTab
Summons the power of Zamorak		interface	mainTabs	spellBookTab
Level <Num0>: Claws of Guthix		interface	mainTabs	spellBookTab
Summons the power of Guthix		interface	mainTabs	spellBookTab
Level <Num0>: Saradomin Strike		interface	mainTabs	spellBookTab
Summons the power of Saradomin		interface	mainTabs	spellBookTab
Level <Num0>: Bones to Peaches		interface	mainTabs	spellBookTab
Turns Bones into Peaches		interface	mainTabs	spellBookTab
Level <Num0>: Charge Earth Orb		interface	mainTabs	spellBookTab
Needs to be cast on an earth obelisk		interface	mainTabs	spellBookTab
Level <Num0>: Fire Blast		interface	mainTabs	spellBookTab
A medium level Fire missile		interface	mainTabs	spellBookTab
Level <Num0>: Watchtower Teleport		interface	mainTabs	spellBookTab
Teleports you to the Watchtower		interface	mainTabs	spellBookTab
Level <Num0>: Trollheim Teleport		interface	mainTabs	spellBookTab
Teleports you to Trollheim		interface	mainTabs	spellBookTab
Level <Num0>: Wind Wave		interface	mainTabs	spellBookTab
A high level Air missile		interface	mainTabs	spellBookTab
Level <Num0>: Charge Fire Orb		interface	mainTabs	spellBookTab
Needs to be cast on a fire obelisk		interface	mainTabs	spellBookTab
Level <Num0>: Ape Atoll Teleport		interface	mainTabs	spellBookTab
Teleports you to Ape Atoll		interface	mainTabs	spellBookTab
Level <Num0>: Water Wave		interface	mainTabs	spellBookTab
A high level Water missile		interface	mainTabs	spellBookTab
Level <Num0>: Charge Air Orb		interface	mainTabs	spellBookTab
Needs to be cast on an air obelisk		interface	mainTabs	spellBookTab
Level <Num0>: Vulnerability		interface	mainTabs	spellBookTab
Level <Num0>: Charge		interface	mainTabs	spellBookTab
Temporarily increases the power of the three arena spells when wearing Mage Arena capes		interface	mainTabs	spellBookTab
Level <Num0>: Stun		interface	mainTabs	spellBookTab
Reduces your opponent's attack by <Num0>%		interface	mainTabs	spellBookTab
Level <Num0>: Entangle		interface	mainTabs	spellBookTab
Level <Num0>: Fire Wave		interface	mainTabs	spellBookTab
A high level Fire missile		interface	mainTabs	spellBookTab
Level <Num0>: Teleother Lumbridge		interface	mainTabs	spellBookTab
Teleports target to Lumbridge		interface	mainTabs	spellBookTab
Level <Num0>: Enfeeble		interface	mainTabs	spellBookTab
Level <Num0>: Earth Wave		interface	mainTabs	spellBookTab
A high level Earth missile		interface	mainTabs	spellBookTab
Level <Num0>: Wind Surge		interface	mainTabs	spellBookTab
A very high level Air missile		interface	mainTabs	spellBookTab
Level <Num0>: Teleother Falador		interface	mainTabs	spellBookTab
Teleports target to Falador		interface	mainTabs	spellBookTab
Level <Num0>: Water Surge		interface	mainTabs	spellBookTab
A very high level Water missile		interface	mainTabs	spellBookTab
Level <Num0>: Tele Block		interface	mainTabs	spellBookTab
Stops your target from teleporting		interface	mainTabs	spellBookTab
Level <Num0>: Teleport to Target		interface	mainTabs	spellBookTab
Teleports you near your Target		interface	mainTabs	spellBookTab
Level <Num0>: Teleother Camelot		interface	mainTabs	spellBookTab
Teleports target to Camelot		interface	mainTabs	spellBookTab
Level <Num0>: Earth Surge		interface	mainTabs	spellBookTab
A very high level Earth missile		interface	mainTabs	spellBookTab
Level <Num0>: Fire Surge		interface	mainTabs	spellBookTab
A very high level Fire missile		interface	mainTabs	spellBookTab
Edgeville Home Teleport		interface	mainTabs	spellBookTab
Level <Num0>: Smoke Rush		interface	mainTabs	spellBookTab
A single target smoke attack		interface	mainTabs	spellBookTab
Level <Num0>: Shadow Rush		interface	mainTabs	spellBookTab
A single target shadow attack		interface	mainTabs	spellBookTab
Level <Num0>: Paddewwa Teleport		interface	mainTabs	spellBookTab
A teleportation spell		interface	mainTabs	spellBookTab
Level <Num0>: Smoke Burst		interface	mainTabs	spellBookTab
A multi-target smoke attack		interface	mainTabs	spellBookTab
Level <Num0>: Senntisten Teleport		interface	mainTabs	spellBookTab
Level <Num0>: Ice Rush		interface	mainTabs	spellBookTab
A single target ice attack		interface	mainTabs	spellBookTab
Level <Num0>: Blood Rush		interface	mainTabs	spellBookTab
A single target blood attack		interface	mainTabs	spellBookTab
Level <Num0>: Shadow Burst		interface	mainTabs	spellBookTab
A multi-target shadow attack		interface	mainTabs	spellBookTab
Level <Num0>: Kharyrll Teleport		interface	mainTabs	spellBookTab
Level <Num0>: Blood Burst		interface	mainTabs	spellBookTab
A multi-target blood attack		interface	mainTabs	spellBookTab
Level <Num0>: Ice Burst		interface	mainTabs	spellBookTab
A multi-target ice attack		interface	mainTabs	spellBookTab
Level <Num0>: Dareeyak Teleport		interface	mainTabs	spellBookTab
Level <Num0>: Shadow Blitz		interface	mainTabs	spellBookTab
A single target strong shadow attack		interface	mainTabs	spellBookTab
Level <Num0>: Smoke Blitz		interface	mainTabs	spellBookTab
A single target strong smoke attack		interface	mainTabs	spellBookTab
Level <Num0>: Lassar Teleport		interface	mainTabs	spellBookTab
Level <Num0>: Blood Blitz		interface	mainTabs	spellBookTab
A single target strong blood attack		interface	mainTabs	spellBookTab
Level <Num0>: Ice Blitz		interface	mainTabs	spellBookTab
A single target strong ice attack		interface	mainTabs	spellBookTab
Level <Num0>: Carrallanger Teleport		interface	mainTabs	spellBookTab
Level <Num0>: Blood Barrage		interface	mainTabs	spellBookTab
A multi-target strong blood attack		interface	mainTabs	spellBookTab
Level <Num0>: Annakarl Teleport		interface	mainTabs	spellBookTab
