english	translation	category	sub_category	source
Yes		interface	mainTabs	emotesTab
No		interface	mainTabs	emotesTab
Bow		interface	mainTabs	emotesTab
Angry		interface	mainTabs	emotesTab
Think		interface	mainTabs	emotesTab
Wave		interface	mainTabs	emotesTab
Shrug		interface	mainTabs	emotesTab
Cheer		interface	mainTabs	emotesTab
Beckon		interface	mainTabs	emotesTab
Laugh		interface	mainTabs	emotesTab
Jump for Joy		interface	mainTabs	emotesTab
Yawn		interface	mainTabs	emotesTab
Dance		interface	mainTabs	emotesTab
Jig		interface	mainTabs	emotesTab
Spin		interface	mainTabs	emotesTab
Headbang		interface	mainTabs	emotesTab
Cry		interface	mainTabs	emotesTab
Blow Kiss		interface	mainTabs	emotesTab
Panic		interface	mainTabs	emotesTab
Raspberry		interface	mainTabs	emotesTab
Glass Box		interface	mainTabs	emotesTab
Clap		interface	mainTabs	emotesTab
Salute		interface	mainTabs	emotesTab
Goblin Bow		interface	mainTabs	emotesTab
Goblin Salute		interface	mainTabs	emotesTab
Climb Rope		interface	mainTabs	emotesTab
Lean		interface	mainTabs	emotesTab
Glass Wall		interface	mainTabs	emotesTab
Idea		interface	mainTabs	emotesTab
Stamp		interface	mainTabs	emotesTab
Flap		interface	mainTabs	emotesTab
Slap Head		interface	mainTabs	emotesTab
Zombie Walk		interface	mainTabs	emotesTab
Zombie Dance		interface	mainTabs	emotesTab
Scared		interface	mainTabs	emotesTab
Rabbit Hop		interface	mainTabs	emotesTab
Sit up		interface	mainTabs	emotesTab
Push up		interface	mainTabs	emotesTab
Star jump		interface	mainTabs	emotesTab
Jog		interface	mainTabs	emotesTab
Flex		interface	mainTabs	emotesTab
Zombie Hand		interface	mainTabs	emotesTab
Hypermobile Drinker		interface	mainTabs	emotesTab
Skill Cape		interface	mainTabs	emotesTab
Air Guitar		interface	mainTabs	emotesTab
Uri transform		interface	mainTabs	emotesTab
Smooth dance		interface	mainTabs	emotesTab
Crazy dance		interface	mainTabs	emotesTab
Premier Shield		interface	mainTabs	emotesTab
Explore		interface	mainTabs	emotesTab
Relic unlock		interface	mainTabs	emotesTab
Party		interface	mainTabs	emotesTab
Trick		interface	mainTabs	emotesTab
Fortis Salute		interface	mainTabs	emotesTab
Sit down		interface	mainTabs	emotesTab
