english	translation	category	sub_category	source
Total level: <Num0>		interface	mainTabs	skillsTab
Attack XP:		interface	mainTabs	skillsTab
Hitpoints XP:		interface	mainTabs	skillsTab
Mining XP:		interface	mainTabs	skillsTab
Smithing XP:		interface	mainTabs	skillsTab
Agility XP:		interface	mainTabs	skillsTab
Strength XP:		interface	mainTabs	skillsTab
Defence XP:		interface	mainTabs	skillsTab
Ranged XP:		interface	mainTabs	skillsTab
Prayer XP:		interface	mainTabs	skillsTab
Magic XP:		interface	mainTabs	skillsTab
Runecraft XP:		interface	mainTabs	skillsTab
Construction XP:		interface	mainTabs	skillsTab
Hunter XP:		interface	mainTabs	skillsTab
Slayer XP:		interface	mainTabs	skillsTab
Fletching XP:		interface	mainTabs	skillsTab
Crafting XP:		interface	mainTabs	skillsTab
Thieving XP:		interface	mainTabs	skillsTab
Herblore XP:		interface	mainTabs	skillsTab
Fishing XP:		interface	mainTabs	skillsTab
Cooking XP:		interface	mainTabs	skillsTab
Firemaking XP:		interface	mainTabs	skillsTab
Woodcutting XP:		interface	mainTabs	skillsTab
Farming XP:		interface	mainTabs	skillsTab
Total XP:		interface	mainTabs	skillsTab
Next level at:		interface	mainTabs	skillsTab
Remaining XP:		interface	mainTabs	skillsTab
<colNum0>Construction:</col>		interface	mainTabs	skillsTab
<colNum0>Members Only</col>		interface	mainTabs	skillsTab
<colNum0>Hunter:</col>		interface	mainTabs	skillsTab
Free Total Level:		interface	mainTabs	skillsTab
<colNum0>Farming:</col>		interface	mainTabs	skillsTab
<colNum0>Slayer:</col>		interface	mainTabs	skillsTab
<colNum0>Fletching:</col>		interface	mainTabs	skillsTab
<colNum0>Thieving:</col>		interface	mainTabs	skillsTab
<colNum0>Herblore:</col>		interface	mainTabs	skillsTab
<colNum0>Agility:</col>		interface	mainTabs	skillsTab
