english	category	sub_category	source
Ground Markers	name	menu	
Instance Map	name	menu	
Attack	name	menu	
Hitpoints	name	menu	
Mining	name	menu	
Strength	name	menu	
Agility	name	menu	
Smithing	name	menu	
Defence	name	menu	
Herblore	name	menu	
Fishing	name	menu	
Ranged	name	menu	
Thieving	name	menu	
Cooking	name	menu	
Prayer	name	menu	
Crafting	name	menu	
Firemaking	name	menu	
Magic	name	menu	
Fletching	name	menu	
Woodcutting	name	menu	
Runecraft	name	menu	
Slayer	name	menu	
Farming	name	menu	
Construction	name	menu	
Hunter	name	menu	
XP drops	name	menu	
Quick-prayers	name	menu	
Special Attack	name	menu	
Wiki	name	menu	
Old School Wiki	name	menu	
Merchandise	name	menu	
Hiscores	name	menu	
Customer Support	name	menu	
Old School Website	name	menu	
Grand Exchange	name	menu	
Search	name	menu	
All	name	menu	
Music	name	menu	
Sound Effects	name	menu	
Area Sounds	name	menu	
<colNum0>PvP Arena</col> options	name	menu	
Ardougne Elite Diary	name	menu	
Desert Elite Diary	name	menu	
Falador Elite Diary	name	menu	
Fremennik Elite Diary	name	menu	
Kandarin Elite Diary	name	menu	
Karamja Elite Diary	name	menu	
Kourend & Kebos Elite Diary	name	menu	
Lumbridge & Draynor Elite Diary	name	menu	
Morytania Elite Diary	name	menu	
Varrock Elite Diary	name	menu	
Western Provinces Elite Diary	name	menu	
Wilderness Elite Diary	name	menu	
Ardougne Hard Diary	name	menu	
Desert Hard Diary	name	menu	
Falador Hard Diary	name	menu	
Fremennik Hard Diary	name	menu	
Kandarin Hard Diary	name	menu	
Karamja Hard Diary	name	menu	
Kourend & Kebos Hard Diary	name	menu	
Lumbridge & Draynor Hard Diary	name	menu	
Morytania Hard Diary	name	menu	
Varrock Hard Diary	name	menu	
Western Provinces Hard Diary	name	menu	
Wilderness Hard Diary	name	menu	
Ardougne Medium Diary	name	menu	
Desert Medium Diary	name	menu	
Falador Medium Diary	name	menu	
Fremennik Medium Diary	name	menu	
Kandarin Medium Diary	name	menu	
Karamja Medium Diary	name	menu	
Kourend & Kebos Medium Diary	name	menu	
Lumbridge & Draynor Medium Diary	name	menu	
Morytania Medium Diary	name	menu	
Varrock Medium Diary	name	menu	
Western Provinces Medium Diary	name	menu	
Wilderness Medium Diary	name	menu	
Ardougne Easy Diary	name	menu	
Desert Easy Diary	name	menu	
Falador Easy Diary	name	menu	
Fremennik Easy Diary	name	menu	
Kandarin Easy Diary	name	menu	
Karamja Easy Diary	name	menu	
Kourend & Kebos Easy Diary	name	menu	
Lumbridge & Draynor Easy Diary	name	menu	
Morytania Easy Diary	name	menu	
Varrock Easy Diary	name	menu	
Western Provinces Easy Diary	name	menu	
Wilderness Easy Diary	name	menu	
