english	translation	category	sub_category	source
Attack		interface	generalUI	skillGuide
Weapons		interface	generalUI	skillGuide
Bronze		interface	generalUI	skillGuide
Iron		interface	generalUI	skillGuide
Steel		interface	generalUI	skillGuide
Black		interface	generalUI	skillGuide
Members: White		interface	generalUI	skillGuide
Mithril		interface	generalUI	skillGuide
Adamant		interface	generalUI	skillGuide
Members: Battlestaves (with 30 Magic)		interface	generalUI	skillGuide
Rune		interface	generalUI	skillGuide
Barronite mace (requires Below Ice Mountain)		interface	generalUI	skillGuide
Members: Brine sabre		interface	generalUI	skillGuide
Members: Ivandis Flail (requires A Taste of Hope)		interface	generalUI	skillGuide
Members: Mystic staves (with 40 Magic)		interface	generalUI	skillGuide
Members: Void Knight equipment (with 42 combat stats and 22 Prayer)		interface	generalUI	skillGuide
Members: Granite maul  (with 50 Strength)		interface	generalUI	skillGuide
Members: Granite longsword  (with 50 Strength)		interface	generalUI	skillGuide
Members: Blisterwood (requires Sins of the Father)		interface	generalUI	skillGuide
Members: Keris dagger (requires Contact!)		interface	generalUI	skillGuide
Members: Ancient staff  (requires Desert Treasure I and 50 Magic)		interface	generalUI	skillGuide
Members: Ancient sceptre  (requires Secrets of the North, 60 Strength and 70 Magic)		interface	generalUI	skillGuide
Members: Purging staves  (with 77 Magic)		interface	generalUI	skillGuide
Members: Bone mace		interface	generalUI	skillGuide
Members: Sulphur blades		interface	generalUI	skillGuide
Members: Glacial temotli		interface	generalUI	skillGuide
Members: Dragon		interface	generalUI	skillGuide
Members: Burning claws		interface	generalUI	skillGuide
Members: Barrelchest Anchor  (with 40 Strength)		interface	generalUI	skillGuide
Members: Obsidian weapons		interface	generalUI	skillGuide
Members: Viggora's Chainmace		interface	generalUI	skillGuide
Members: Colossal Blade		interface	generalUI	skillGuide
Members: 3rd age weapons		interface	generalUI	skillGuide
Members: Sarachnis cudgel		interface	generalUI	skillGuide
Members: Zombie axe		interface	generalUI	skillGuide
Members: Keris partisan (requires Beneath Cursed Sands)		interface	generalUI	skillGuide
