english	category	sub_category
Monkeys	manual	slayer_mob
Goblins	manual	slayer_mob
Rats	manual	slayer_mob
Spiders	manual	slayer_mob
Birds	manual	slayer_mob
Cows	manual	slayer_mob
Scorpions	manual	slayer_mob
Bats	manual	slayer_mob
Wolves	manual	slayer_mob
Zombies	manual	slayer_mob
Skeletons	manual	slayer_mob
Ghosts	manual	slayer_mob
Bears	manual	slayer_mob
Hill Giants	manual	slayer_mob
Ice Giants	manual	slayer_mob
Fire Giants	manual	slayer_mob
Moss Giants	manual	slayer_mob
Trolls	manual	slayer_mob
Ice Warriors	manual	slayer_mob
Ogres	manual	slayer_mob
Hobgoblins	manual	slayer_mob
Dogs	manual	slayer_mob
Ghouls	manual	slayer_mob
Green Dragons	manual	slayer_mob
Blue Dragons	manual	slayer_mob
Red Dragons	manual	slayer_mob
Black Dragons	manual	slayer_mob
Lesser Demons	manual	slayer_mob
Greater Demons	manual	slayer_mob
Black Demons	manual	slayer_mob
Hellhounds	manual	slayer_mob
Shadow Warriors	manual	slayer_mob
Werewolves	manual	slayer_mob
Vampyres	manual	slayer_mob
Dagannoth	manual	slayer_mob
Turoth	manual	slayer_mob
Cave Crawlers	manual	slayer_mob
Banshees	manual	slayer_mob
Crawling Hands	manual	slayer_mob
Infernal Mages	manual	slayer_mob
Aberrant Spectres	manual	slayer_mob
Abyssal Demons	manual	slayer_mob
Basilisks	manual	slayer_mob
Cockatrice	manual	slayer_mob
Kurask	manual	slayer_mob
Gargoyles	manual	slayer_mob
Pyrefiends	manual	slayer_mob
Bloodveld	manual	slayer_mob
Dust Devils	manual	slayer_mob
Jellies	manual	slayer_mob
Rockslugs	manual	slayer_mob
Nechryael	manual	slayer_mob
Kalphite	manual	slayer_mob
Earth Warriors	manual	slayer_mob
Otherworldly Beings	manual	slayer_mob
Elves	manual	slayer_mob
Dwarves	manual	slayer_mob
Bronze Dragons	manual	slayer_mob
Iron Dragons	manual	slayer_mob
Steel Dragons	manual	slayer_mob
Wall Beasts	manual	slayer_mob
CaveSlimes	manual	slayer_mob
CaveBugs	manual	slayer_mob
Shades	manual	slayer_mob
Crocodiles	manual	slayer_mob
Dark Beasts	manual	slayer_mob
Mogres	manual	slayer_mob
Lizards	manual	slayer_mob
Fever Spiders	manual	slayer_mob
Harpie Bug Swarms	manual	slayer_mob
Sea Snakes	manual	slayer_mob
FossilIsland Wyverns	manual	slayer_mob
Skeletal Wyverns	manual	slayer_mob
Killerwatts	manual	slayer_mob
Mutated Zygomites	manual	slayer_mob
Icefiends	manual	slayer_mob
Minotaurs	manual	slayer_mob
Fleshcrawlers	manual	slayer_mob
Catablepon	manual	slayer_mob
Ankou	manual	slayer_mob
